Location	Cat_A	Cat_B	Cat_C	Cat_D	Avg_Score
Taipei - Taoyuan	5.76	0.04	7.47	0.73	3.5
Incheon	2.17	0	4.74	0.98	1.97
Dubai	5.41	4.06	3.6	8.04	5.28
Jeju	4.21	0.01	3.37	1.13	2.18
Tel-Aviv	6.25	5.63	7.7	7.53	6.78
Shanghai Pudong	4.1	1.72	1.86	2.28	2.49
Istanbul Airport	6.67	6.06	8.47	8.39	7.4
Doha	5.7	10	5.22	7.87	6.26
Kuwait	7.24	7.73	7.39	9.18	7.88
Tokyo - Narita	5.68	2.75	7.32	5.61	5.34
Antalya Airport	5.49	6.61	8.24	8.33	7.17
Hong Kong	6.41	1.18	6.73	0.02	3.58
Amman	7.37	7.21	9.5	8.78	8.22
Tokyo - Haneda	6.42	10	7.36	5.55	6.44
Osaka - Kansai	5.52	3.54	5.61	5.28	4.99
Beijing	6.67	1.92	3.1	2.58	3.57
Beirut - Rafik Hariri	5.53	10	2.85	8.74	5.71
Marrakech	7.56	7.18	9.7	8.07	8.13
Istanbul Asia Airport	6.56	6.77	6.69	8.47	7.12
Cairo	6.92	6.23	5.19	8.64	6.74
Everrich Downtown Kinmen	4.85	0.04	0	0	1.22
Tenerife	6.67	6.73	8.85	0	5.56
RIYADH	7.33	8.56	6.3	0	5.55
Guangzhou Baiyun	7.44	2.45	5.08	3.09	4.52
Addis Ababa	6.06	9.2	9.33	9.87	8.61
Palma De Mallorca	6	3.93	8.04	8.45	6.6
Muscat	5.67	10	4.53	7.89	6.03
Casablanca	7.04	7.48	9.81	8.19	8.13
Busan - Kimhae	3.52	0	3.4	0.69	1.9
Jeddah	6.04	8.56	6.38	9.69	7.67
Abu Dhabi	5.75	10	4.52	8.95	6.41
Alicante	7.33	6.63	7.72	8.25	7.48
Gran Canaria	5.33	6.73	8.76	8.29	7.28
Tunis	6.54	7.48	5.21	8.16	6.85
Paris Charles De Gaulle	7.62	6.59	7.02	9.71	7.74
Malaga	7	6.44	7.07	9.35	7.46
Barcelona	7	3.36	7.49	3.37	5.31
Zurich	6.67	7.92	8.32	8.31	7.8
Dalaman Airport	5.89	5.11	8.9	6.89	6.7
Manchester	6.67	6.11	6.4	6.31	6.37
Belgrade	7.5	3.65	2.95	8.85	5.74
Tirana	5.56	6.98	5.57	8.2	6.58
Hurgada	6.67	10	8.03	7.23	7.31
Kuala Lumpur	6.97	5.27	5.49	3.59	5.33
Cancun	7.12	7.3	5	8.87	7.07
Sharjah	6.67	7.06	4.02	7.41	6.29
Izmir Airport	6.87	6.71	8.44	8.22	7.56
Kaohsiung	6.06	0.04	7.54	0.72	3.59
Singapore - Changi	7.44	10	5.87	1.67	4.99
Gdansk	5.88	9.5	6.25	9.98	7.9
Krakow Balice	6.04	9.78	6.13	9.95	7.98
Riga	6	10	4.44	5.93	5.46
Roland Garros	4.81	7.63	8.49	7.5	7.11
Dublin	5	5.71	7.07	4.18	5.49
Agadir	7.05	7.14	9.73	7.95	7.97
Indira Gandhi	6.11	10	2.13	9.6	5.95
Paris Orly	6.9	8.25	8.61	9.72	8.37
Madrid Barajas	7.33	3.75	7.47	6.52	6.27
Monastir	5.8	10	4.66	9.32	6.59
London Heathrow	8.1	5.75	5.58	8.28	6.93
Warsaw	6.25	9.4	5.94	9.57	7.79
Punta Cana - Higuey	6.67	6.64	7.77	9.21	7.57
Fukuoka	5.87	3.91	6.45	4.88	5.28
London Gatwick	5.56	5.2	6.8	6.56	6.03
Port Louis	6.67	10	9.03	9.27	8.32
Geneva	6.48	8.54	7.88	9.39	8.07
Sofia	7.5	1.76	1.06	9.26	4.89
Fuerteventura	6.33	6.73	8.17	7.82	7.26
Fes	6.82	7.79	9.51	8.46	8.14
Shanghai Hongqiao	6.67	1.72	1.25	2.05	2.92
Baghdad	5.49	10	1.02	1.19	2.57
Chubu	5.9	3.56	8.34	5.72	5.88
Macau	6.67	1.49	4.63	2.46	3.81
DAMMAM	6.89	8.6	6.96	0	5.61
Frankfurt	6.67	10	7.38	10	7.02
Jerba	6.27	7.87	6.37	8.53	7.26
Ibiza	6.67	4.93	7.5	9.28	7.1
Seoul	3.16	0	4.79	0.74	2.17
Oslo	6.67	10	5.18	9.59	7.15
Amsterdam - Schiphol	5.71	10	8.35	9.67	7.91
Basel	5.78	8.85	9.61	9.35	8.4
Tangier	7.54	7.65	9.88	8.47	8.38
Rabat	7.47	7.33	9.81	8.16	8.19
Yerevan	3.33	3.89	1.8	9.26	4.57
Katowice	6	10	5.89	9.97	7.29
Ngurah Rai	9.05	3.83	5.11	5.53	5.88
Gibraltar	5.83	10	7.36	9.86	7.68
Hangzhou Xiaoshan	5.38	1.81	1.92	2.32	2.86
Athens	6.51	6.6	4.26	9.35	6.68
Rome Fiumicino	6.88	7.91	7.49	9.38	7.92
Marsa Aalam	7.27	10	0	0	2.42
Colombo	6.13	5.21	0	0	2.84
Wroclaw	6	10	6.06	9.96	7.34
PRISTINA	6.67	10	1.96	9.8	6.14
London Stansted	7.78	5.75	7.34	6.43	6.82
Mexico City	7.17	6.96	5.36	8.85	7.08
Johannesburg	5.76	6.62	5.69	8.68	6.69
Chattrapati Shivaji	5.79	10	1.67	9.6	5.69
Bodrum Airport	6.02	5.71	8.54	7.08	6.84
Skopje	6.46	10	8.26	8.74	7.82
Faro Airport	5	7.08	6	8.07	6.54
Hanoi	6	0.01	7.08	2.5	3.9
Milan - Malpensa	6.67	6.47	7.15	8.5	7.2
Kaunas	8.33	10	7.5	9.81	8.55
Birmingham	6.67	5.32	6.22	6.62	6.21
Salalah	4.95	10	4.78	8.61	6.11
Vilnius	7.5	10	7.26	0	4.92
Xiamen Gaoqi	6.36	3.09	3.36	3.76	4.14
Buenos Aires - Ezeiza	5.76	8.93	8.37	9.13	8.05
Daegu	4.63	0.02	1.02	0.31	1.5
Oujda	7.14	7.53	9.44	8.38	8.12
Male	5.61	10	7.89	8.8	7.43
Lisbon	6.67	7.08	8.51	9.52	7.94
Warsaw-Modlin	5.48	0.78	6.11	9.67	5.51
Sao Paulo - Guarulhos	7.27	7.7	8	9.27	8.06
Santiago Arturo Merino Benitez	6.67	7.6	3.48	7.95	6.42
Valencia	6	6.77	8.19	8.14	7.28
Tuzla	6.67	10	0	0	2.22
Ankara Airport	6.61	6.77	4.99	8.33	6.67
Bogota	6.29	6.46	8.77	8.48	7.5
Montego Bay	6.49	7.88	5.37	9.03	7.19
Ras El Khaymah	5.94	10	7.05	8.71	7.23
Kunming Wujiaba	6.67	2.39	5.47	2.73	4.32
Glasgow	6.67	5.3	6.49	6.44	6.22
Lima	6.67	8.42	5.43	9.42	7.48
Newcastle	6.67	4.78	7.19	6.44	6.27
Poznan-Lawica	6	10	6.02	9.97	7.33
Edinburgh	5.56	5.15	7.6	6.63	6.24
Brussels	6.67	9.11	9.55	9.74	8.77
Copenhagen	6.67	10	7.76	7.66	7.36
Pointe-a-Pitre	7.44	9.98	9.08	9.7	9.05
Danang	6.67	0	3.61	2.36	3.16
Rhodes	6.33	6.97	3.7	8.54	6.38
Liverpool	5.56	5.39	6.77	6.41	6.03
Sharm El Sheikh	6.96	10	6.7	8.32	7.33
Fort-de-France	6.67	9.65	9.34	9.7	8.84
Prague	5	9.25	6.06	9.36	7.42
Munich	6.94	6.74	6.87	9.37	7.48
Espargos	6.39	2.41	9.15	7.19	6.29
Jomo Kenyatta	5.71	7.18	5.98	9.13	7
London Luton	6	4.62	6.44	4.19	5.31
Pamandzi	6.67	10	9.93	9.09	8.56
Porto	7.78	7.51	9.39	8.32	8.25
Erbil International Airport	5.83	10	2.88	0.33	3.01
Rzeszow	6	10	5.95	9.97	7.31
Bristol	5.56	5.41	6.89	6.39	6.06
Leopold Sedar Senghar	7.41	8.42	7.68	8.74	8.06
Enfidha	5.3	10	5.33	9.08	6.57
Chengdu Tianfu	5.15	1.94	0	0	1.77
Sevilla	5.56	3.46	8.31	2.47	4.95
Tbilisi	6.15	10	8.8	8.69	7.88
Baku	5.76	10	7.41	9.28	7.48
Vienna	5.83	10	7.02	6.82	6.56
Mahon Airport	6.33	6.06	7.84	8.67	7.22
Ho Chi Minh	5.67	0.49	7.93	2.57	4.16
Soekarno Hatta	7.92	5.71	1.26	7.21	5.52
Xian Xianyang	5.9	1.8	3.86	2.12	3.42
Chitose	6.67	10	5.78	5.66	6.04
Santo Domingo Las Americas	7.26	7.05	8.15	7.88	7.58
Curacao	6.05	10	6.6	9.36	7.34
Qingdao Liuting	5.15	2.58	5.16	3.11	4
Rio de Janeiro	7.42	8.12	7.87	9.13	8.14
Basrah	5.24	10	0.25	2.48	2.66
Lyon Saint Exupery	6.9	6.78	9.11	9.15	7.98
