Year,DF_Market,Location,TMO,CR_BrandId,SKU,Item per Bundle,Volume
2024,Bahrain,Manama,PMI,114978,MARLBORO - DOUBLE ICE KS RCS 600 C SPECIAL OUTER WHITE - GCC DF,600,1350000
2024,Peru,Lima,PMI,139312,MARLBORO - SILVER BLUE (3.5) KS RCB WHITE - GENERIC DF-ENG TXT,200,133800
2024,Japan,Chubu,JTI,46303,SEVEN STARS - KS SOFT,200,4795200
2024,Switzerland,Zurich,JTI,49844,CAMEL - (YELLOW) KS BOX,600,113400
2024,Uzbekistan,Tashkent,PMI,114553,MARLBORO - (GOLD 3.0) KS RCB - CES-EE-CA DF-ENG TXT,200,517540
2024,Spain,Gerona,BAT,57357,LUCKY STRIKE - BLUE KS BOX,200,6200
2024,Morocco,Ouarzazate,JTI,88440,CAMEL - FILTER KS BOX,600,61776
2024,Turkey,Konya Airport,BAT,106878,KENT - SPARK NAVY BLUE KS RCB,200,1200
2024,United Arab Emirates,Sharjah,JTI,54088,WINSTON - BLUE KS BOX,200,202200
2024,China,Wenzhou Longwan,NANYANG BROTHERS,103412,DOUBLE HAPPINESS - DELUXE (RED) KS BOX,200,93170
2024,China,Beijing,JTI,49692,SALEM - KS SOFT,200,1759034
2024,Morocco,Fes,PMI,123639,L&M - BLUE LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,202000
2024,Brazil,Sao Paulo - Guarulhos,PMI,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,1159000
2024,Italy,Venice,JTI,54087,WINSTON - CLASSIC KS BOX,200,50600
2024,Canary Islands,Lanzarote,PMI,125678,MARLBORO - RED 3.5 KS BOX - CANARY ISLANDS DF - IDM SPAIN,200,4346800
2024,Great Britain,Aberdeen,IMPERIAL BRANDS,96896,LAMBERT & BUTLER - BLUE KS BOX,600,79800
2024,Brazil,Sao Paulo - Guarulhos,BAT,106878,KENT - SPARK NAVY BLUE KS RCB,200,84400
2024,Jamaica,Montego Bay,PMI,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,478470
2024,Dominican Republic,Samana El Catey,PMI,139307,MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - GENERIC DF-ENG TXT - ALTERNATIVE,600,35400
2024,Poland,Warsaw,JTI,49844,CAMEL - (YELLOW) KS BOX,200,166000
2024,Indonesia,Ngurah Rai,PMI,137392,MARLBORO - RED 3.5 KS BOX - INDONESIA DF,200,3636200
2024,Saudi Arabia,DAMMAM,PMI,123642,L&M - BLUE LABEL (5.0 CWB) KS RCB WHITE - GENERIC DF-ENG TXT,200,494400
2024,Turkey,Bodrum Airport,PMI,124801,MARLBORO - TOUCH BLUE KS DSP SLIMS WHITE - TURKEY DF,200,114200
2024,Serbia,Belgrade,KING'S TOBACCO,106307,THE KING - BLUE KS BOX,200,1778400
2024,Tunisia,Tunis,PMI,101080,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - NORTH AFRICA DF,600,15133800
2024,South Korea,Incheon,JTI,94996,MEVIUS - LSS ONE KS PUSH AND SLIDE BOX,200,4741000
2024,United Arab Emirates,Dubai,ITC Ltd.,124531,CLASSIC - BALANCED TASTE KS BOX,200,455200
2024,Guatemala,Guatemala City,PMI,139312,MARLBORO - SILVER BLUE (3.5) KS RCB WHITE - GENERIC DF-ENG TXT,200,47400
2024,China,Shenyang Taoxian,JTI,43025,CAMEL - LIGHTS KS BOX,200,146523
2024,Bulgaria,Sofia,KING'S TOBACCO,65334,MERILYN - SLIMS (BLUE) 100's BOX EXTRA SLIMS,200,146800
2024,China,Wuhan Tianhe,PMI,105625,MARLBORO - WHITE MENTHOL (2.0) MENTHOL KS BOX WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,351800
2024,Morocco,Nador,PMI,123639,L&M - BLUE LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,200,64400
2024,Japan,Tokyo - Haneda,PMI,118653,MARLBORO - GOLD (3.0 ORIGINAL) KS RCB 400 SPECIAL OUTER WHITE - JAPAN DF,400,5624800
2024,Kuwait,Kuwait,JTI,56993,WINSTON - (RED) KS BOX,200,168200
2024,Canary Islands,Gran Canaria,JTI,44904,STERLING - KS BOX,200,453800
2024,France,Paris Charles De Gaulle,PMI,121200,PHILIP MORRIS - BLEUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,663200
2024,Ecuador,Quito,JTI,54224,GLAMOUR - PINKS 100's L-STICK BOX SUPERSLIMS,200,35400
