Year,DF_Market,Location,TMO,CR_BrandId,SKU,Item per Bundle,Volume
2024,Germany,Hamburg,PMI,125532,MARLBORO - RED 3.5 KS BOX - ENGLISH GHW TPD2 DF - IDM GERMANY,200,242800
2024,Turkey,Samsun Airport,PMI,94143,MARLBORO - (RED FWD) KS BOX 400 - TURKEY DF,400,410800
2024,Saint Marteen (NL),St. Maarten Princess Juliana,PMI,125840,MARLBORO - RED 3.5 KS BOX 600 SPECIAL OUTER - GENERIC DF-ENG TXT,600,949175
2024,Turkey,Gaziantep Airport,PMI,70907,PARLIAMENT - AQUA BLUE KS RCB 600 WHITE - TURKEY DF,600,261000
2024,Caribbean Other,Basseterre (Saint Kitts),PMI,125837,MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,5200
2024,Japan,Chitose,PMI,114605,MARLBORO - MENTHOL 8 MENTHOL KS BOX WHITE - JAPAN DF,200,78000
2024,United Arab Emirates,Sharjah,PMI,120075,MARLBORO - DOUBLE MIX MIX KS RCS C JUMBO RC WHITE - UAE DF,200,967400
2024,Turkey,Ankara Airport,PMI,70907,PARLIAMENT - AQUA BLUE KS RCB 600 WHITE - TURKEY DF,600,1670400
2024,Turkey,Samsun Airport,PMI,42446,L&M - BLUE LABEL KS RCB - TURKEY DF,200,56600
2024,Japan,Tokyo - Haneda,PMI,119099,MARLBORO - ICE BLAST MEGA 5 MENTHOL KS BOX C WHITE - JAPAN DF,200,1190600
2024,Turkey,Konya Airport,PMI,94143,MARLBORO - (RED FWD) KS BOX 400 - TURKEY DF,400,123200
2024,Colombia,Bogota,PMI,124032,CHESTERFIELD - ORIGINAL (4.0) KS BOX - GENERIC DF-ENG TXT,200,94400
2024,South Korea,Busan - Kimhae (downtown),PMI,122718,MARLBORO - GOLD (3.5) KS RCB WHITE - KOREA DF,200,1712000
2024,Japan,Chitose,PMI,119099,MARLBORO - ICE BLAST MEGA 5 MENTHOL KS BOX C WHITE - JAPAN DF,200,78600
2024,Tunisia,Monastir,PMI,157067,L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,200,25200
2024,France,Paris Charles De Gaulle,PMI,121200,PHILIP MORRIS - BLEUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,663200
2024,Brazil,Belo Horizonte,PMI,125841,MARLBORO - RED 3.5 KS BOX 400 - GENERIC DF-ENG TXT,400,54000
2024,Poland,Szczecin,PMI,144363,CHESTERFIELD - ORIGINAL (4.0) KS BOX - ENGLISH GHW TPD2 DF - IDM POLAND,200,13940
2024,Peru,Lima,PMI,139312,MARLBORO - SILVER BLUE (3.5) KS RCB WHITE - GENERIC DF-ENG TXT,200,200600
2024,Great Britain,Leeds Bradford,PMI,122747,MARLBORO - (RED FWD) KS RCB 400 TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,400,52000
2024,Poland,Warsaw-Modlin,PMI,124253,L&M - RED LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM POLAND,200,212000
2024,Jamaica,Montego Bay,PMI,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,612870
2024,China,Hohhot Baita,PMI,109526,MARLBORO - ICE BLAST MICRO MENTHOL 100's BOX C SUPERSLIMS WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,30000
2024,Australia,Melbourne,PMI,99568,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX 25 TRANSPARENT BUNDLE - AUSTRALIA DOM,200,132987
2024,South Korea,Seoul (downtown),PMI,147070,MARLBORO - RED 3.5 KS BOX (PROMO) - KOREA DF,200,1400
2024,France DP,Marseille,PMI,121200,PHILIP MORRIS - BLEUE KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,5200
2024,Brazil,Sao Paulo - Guarulhos,PMI,139305,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT - ALTERNATIVE,200,1467800
2024,Saudi Arabia,Jeddah,PMI,125067,PARLIAMENT - SILVER BLUE KS RCS WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,200,1588400
2024,Greece,Kavala,PMI,124229,L&M - RED LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM GREECE,200,28600
2024,China,Zhengzhou Xinzheng,PMI,137745,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - CHINA DF - CNSC(ZF),200,146400
2024,Switzerland,Zurich,PMI,147884,CHESTERFIELD - ORIGINAL (4.0) KS BOX 400 TRANSPARENT BUNDLE - ZONE 1 DF,400,627600
2024,United Arab Emirates,Sharjah,PMI,123039,MARLBORO - WHITE (3.5) KS RCS WHITE - UAE DF,200,1575400
2024,Vietnam,Danang Downtown Shop,PMI,122665,MARLBORO - GOLD (3.5) KS RCB WHITE - INDOCHINA DF,200,4800
2024,Indonesia,Soekarno Hatta,PMI,144387,MARLBORO - SUMMER SPLASH KS BOX C MUL WHITE - INDONESIA DF,200,222800
