DF_Market,Location,SKU,skuid,CR_BrandId,Item per Bundle,2022 MC,2022 NOR,2023 MC,2023 NOR,2024 MC,2024 NOR
Egypt,Sharm El Sheikh,L&M - RED LABEL (5.0 CWB) KS RCB - GENERIC DF-ENG TXT,21817,123645,200,11861.37,14304.65,19455.65,24093.47,13381.77,16335.16
Spain DP,Ibiza,L&M - RED LABEL (5.0 CWB) KS RCB - SPAIN DF - IDM SPAIN,21610,123310,200,6347.63,9468.53,10754.93,15206.82,19243.61,25176.22
Turkey,Istanbul Airport,L&M - RED LABEL KS RCB 600 - TURKEY DF,14896,87049,600,69443.32,88786.84,67535.76,88849.35,0,0
South Korea,Incheon,PARLIAMENT - ONE KS RCB JUMBO RC WHITE - KOREA DF - IDM KOREA,20850,121941,200,22276.76,26096.67,217735.59,278613.1,221006.15,275395.3
United Arab Emirates,Abu Dhabi,L&M - SILVER LABEL KS RCB WHITE - UAE DF,20192,120009,200,20002.58,22517.48,24.13,27.53,0,0
Germany,Frankfurt,MARLBORO - GOLD (3.5) KS BOX (PROMO) - ENGLISH GHW TPD2 DF - IDM GERMANY,23070,137262,200,0,0,64486.38,72547.58,97898.62,108771.04
China,Hebei,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C WHITE - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),18844,105695,200,0,0,0,0,696.3,950.54
Great Britain,London Heathrow,MARLBORO - (RED FWD) KS RCB 400 TRANSPARENT BUNDLE - UNITED KINGDOM DF - IDM UNITED KINGDOM,21297,122747,400,63630.01,73926.15,76154.2,89680.93,86950.34,100753.77
United Arab Emirates,Dubai,MARLBORO - TOUCH 3.5 KS RCS SLIMS WHITE - UAE DF,21962,123998,200,231986.87,263644.28,233936.38,268544.12,197222.69,224963.9
Kuwait,Kuwait,MARLBORO - GOLD (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,21757,123515,200,492796.02,564898.55,397022.95,464072.72,371408.41,432734.23
Italy,Milan - Malpensa,PHILIP MORRIS - SELECTION BLUE KS RCB TRANSPARENT BUNDLE - ITALY DF - IDM ITALY,20501,120995,200,5740.15,7324.82,7656.26,10116.81,8804.08,10866.69
Czech Republic,Prague,L&M - BLUE LABEL (5.0 CWB) KS RCB - ENGLISH GHW TPD2 DF - IDM CZECH REPUBLIC,21830,123667,200,72781.31,79200.37,87376.59,94761.84,83613.24,91051.81
Saint Marteen (NL),St. Maarten Princess Juliana,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - GENERIC DF-ENG TXT,22483,125088,200,0,0,4465.03,4923.06,14642.2,16224.04
Spain,Malaga,PHILIP MORRIS - KS BOX TRANSPARENT BUNDLE - SPAIN DF - IDM SPAIN,21110,122429,200,2987.36,3435.34,3497.18,4039.72,4002.02,4475.5
Poland,Lublin,L&M - RED LABEL (5.0 CWB) KS RCB 400 TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM POLAND,22130,124294,400,9473.41,11424.73,7423.75,8947.4,12562.77,14648.65
Turkey,Antalya Gazipasa Airport,L&M - RED LABEL (5.0 CWB) KS RCB 400 - TURKEY DF,21218,122595,400,0,0,0,0,6597.24,7851.56
Saudi Arabia,Jeddah,MARLBORO - GOLD (3.5) KS RCS 600 SPECIAL OUTER WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,22639,125325,600,0,0,180060.63,205445.42,478377.02,543394.5
France,Nantes,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX 400 TRANSPARENT BUNDLE - FRANCE DF GHW-FR05 - IDM FRANCE,21806,123635,400,20441.39,22859.72,26698.58,29889.93,20173.85,22410.35
Italy,Venice,PHILIP MORRIS - SELECTION RED KS RCB TRANSPARENT BUNDLE - ITALY DF - IDM ITALY,20502,121004,200,612.06,709.01,1043.73,1237.35,779.42,891.89
Morocco,Nador,MARLBORO - DOUBLE FUSION PURPLE MENTHOL KS RCB C TRU JUMBO RC WHITE - JORDAN DF,20983,122221,200,10.62,12.36,2690.6,3167.92,2541.7,2984.04
Japan,Chitose,MARLBORO - BLOSSOM FUSION MENTHOL KS BOX C CHI WHITE - JAPAN DF,23214,138184,200,0,0,0,0,9935.36,11504.27
Turkey,Bodrum Airport,MARLBORO - EXOTIC FUSION KS RCT C PSW SLIMS WHITE - TURKEY DF,23271,138635,200,0,0,0,0,1520.52,1696.21
Turkey,Trabzon Airport,L&M - RED LABEL KS RCB - TURKEY DF,12238,42447,200,286.12,360.35,3478.07,4415.03,2887.44,3687.54
Vietnam,Hanoi,MARLBORO - PURPLE BURST MENTHOL KS BOX C TRU 200 JUMBO WHITE - INDOCHINA DF,21232,122623,200,0,0,32801.31,38339.81,22993.26,26939.16
Denmark,Billund,MARLBORO - ONE KS RCB 400 TRANSPARENT BUNDLE - DENMARK DF - IDM DENMARK,22461,125063,400,33939.53,38195.28,45574.85,51625.54,44784.7,50761.97
Mexico,Mazatlan,MARLBORO - DOUBLE FUSION MENTHOL KS BOX C TRU TRANSPARENT BUNDLE WHITE - LA&CANADA DF-ENG TXT,18483,104519,200,79.17,91.35,112.24,131.96,0,0
South Korea,Incheon,VIRGINIA SLIMS - 1MG 100's RCB SLIMS PRL - KOREA DF,12786,55188,200,15073.68,18829.59,0,0,0,0
Turkey,Gaziantep Airport,MARLBORO - (RED FWD) 100's SOFT - TURKEY DF,16166,94155,200,4604.2,5420.17,3526.99,4211.41,4424.86,5257.86
Iraq,Erbil International Airport,MARLBORO - GOLD (3.5) KS RCB - GENERIC DF-ENG TXT,21755,123512,200,99703.04,114999.36,78086.43,91952.4,92564.27,109937.4
Spain,Sevilla,MARLBORO - RED 3.5 KS BOX - SPAIN DF - IDM SPAIN,22902,125679,200,0,0,5587.03,6508.14,10830.47,12403.46
Spain DP,Malaga,PHILIP MORRIS - KS BOX TRANSPARENT BUNDLE - SPAIN DF - IDM SPAIN,21110,122429,200,14405.41,21098.5,20734.75,29215.61,33990.69,43848.53
Latvia,Riga,MARLBORO - (RED FWD) KS BOX - ENGLISH GHW TPD2 DF - IDM LATVIA,20371,120763,200,85470.77,96400.19,80188.6,92486.52,53759.57,60584.81
Tunisia,Tunis,MARLBORO - SOL SHUFFLE MENTHOL KS RCS (PROMO) C MUL JUMBO RC WHITE - GENERIC DF-ENG TXT,23743,142484,200,0,0,0,0,19364.21,22446.11
Ireland,Cork,MARLBORO - (RED FWD) KS BOX - IRELAND DF - IDM IRELAND,21327,122789,200,5301.27,5938.03,6752.11,7641.66,6159.77,6982.44
Panama,Panama Tocumen,MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C JUMBO WHITE - LA&CANADA DF-ENG TXT,16612,95487,200,6946.63,8601.18,9221.05,11329.55,0,0
United Arab Emirates,Abu Dhabi,MARLBORO - DOUBLE ICE KS RCS 600 C SPECIAL OUTER WHITE - UAE DF,20233,120093,600,0,0,5326.21,6089.52,39050.81,44303.05
China,Pengsheng,MARLBORO - BLACK MENTHOL (2.0) MENTHOL KS BOX WHITE - CHINA DF - IDM CN05 SHENZEN DF (SZ),18770,105439,200,0,0,0,0,3504.33,4643.24
Russia,Ufa,PARLIAMENT - CARAT (BLUE) 90's BEV SLIMS WHITE - RUSSIA DF,14890,86984,200,1.37,1.57,0,0,0,0
Turkey,Dalaman Airport,MARLBORO - BLOSSOM FUSION MENTHOL KS RCB 600 C CHI SPECIAL OUTER WHITE - TURKEY DF,22624,125311,600,0,0,8271.56,9383.99,7363.67,8324.83
Spain DP,Santander,MARLBORO - (RED FWD) KS BOX TRANSPARENT BUNDLE - SPAIN DF - IDM SPAIN,22442,125051,200,834.01,1220.24,811.92,1143.28,0,0
France DP,Grenoble,MARLBORO - GOLD (2.0 ORIGINAL) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,21310,122766,200,70.73,98.56,18.48,26.37,32.34,42.67
Mexico,La Paz Manuel Marquez de Leon,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER WHITE - LA&CANADA DF-ENG TXT,18446,104357,600,340.21,418.5,0,0,0,0
