DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,Comp_Seg_SKU,Comp Total,SoM_Comp
Saudi Arabia,RIYADH,JTI,Regular,Full Flavor,STD,KS,4,1574193800,3.1
South Korea,Busan - Kimhae,KT & G,NTD Caps,Lights,STD,KS,9,740053000,0.3
Brazil,Sao Paulo - Guarulhos,BAT,Regular,Full Flavor,STD,KS,10,1584810800,15.3
Great Britain,Humberside,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,132961400,0.1
Germany,Bremen,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,70787000,1
Saudi Arabia,RIYADH,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,1320815400,2.6
Indonesia,Ngurah Rai,BAT,Regular,Full Flavor,STD,KS,7,2103182000,20.8
South Korea,Daegu,KT & G,Regular,Full Flavor,STD,KS,2,21598200,0
Tunisia,Jerba,JTI,Regular,Full Flavor,STD,KS,12,3347500200,8.5
China,Xiamen Gaoqi,BAT,Regular,Full Flavor,STD,KS,15,488092774,0.1
Bulgaria,Sofia,JTI,Regular,Lights,STD,KS,2,2163062400,25.9
Tunisia,Sfax,BAT,NTD Caps,Full Flavor,STD,KS,1,3094000,0
China,Hangzhou Xiaoshan,BAT,Regular,Full Flavor,STD,100,1,65989280,0
Taiwan,Taipei - Taoyuan,TAIWAN TOBACCO & LIQ,Regular,Full Flavor,STD,KS,4,2302331418,1.4
Turkey,Bodrum Airport,BAT,Regular,Lights,STD,KS,2,76934000,0
Turkey,Cukurova Airport,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,2,22092200,0
Tunisia,Tunis,JTI,Regular,Full Flavor,STD,KS,10,9474300800,24.2
Switzerland,Zurich,BAT,Regular,Full Flavor,SSL,100,2,2237419200,2.8
Turkey,Bodrum Airport,BAT,Regular,Full Flavor,STD,KS,19,1065648000,0.4
Turkey,Samsun Airport,BAT,Regular,Full Flavor,STD,KS,18,236700000,0.1
Great Britain,Glasgow,JTI,Menthol,Full Flavor,STD,KS,1,21714000,0
Italy,Milan - Malpensa,POESCHL TABAK,Regular,Full Flavor,STD,KS,1,1218000,0
Italy,Treviso,JTI,Regular,Lights,SLI,100,1,341000,0
Bulgaria,Varna,JTI,Regular,Lights,STD,KS,2,183491400,2.2
Tunisia,Tunis,IMPERIAL BRANDS,Regular,1mg,SSL,100,1,23155200,0.1
Mexico,Guadalajara,BAT,Regular,Full Flavor,STD,KS,6,65323600,0.3
Spain,Palma De Mallorca,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,11,5599892200,6.3
Morocco,Agadir,IMPERIAL BRANDS,Regular,Lights,STD,100,1,76214400,0.1
South Korea,Daegu (downtown),KT & G,NTD Caps,Lights,SSL,100,8,564760000,0.3
Morocco,Fes,BAT,Regular,Lights,SSL,100,1,161293600,0.1
China,Guangzhou Baiyun,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,699826678,0.2
Saudi Arabia,Jeddah,IMPERIAL BRANDS,Regular,Lights,SSL,100,1,52385400,0.1
China,Shanghai Hongqiao,JTI,Regular,1mg,STD,KS,1,181248700,0
Great Britain,Edinburgh,IMPERIAL BRANDS,Regular,Lights,STD,100,1,25704000,0
Greece,Kos,IMPERIAL BRANDS,Regular,Full Flavor,SSL,100,1,4194400,0
Bulgaria,Sofia,JTI,Regular,Full Flavor,SSL,100,1,67000,0
Russia,Moscow - Sheremetyevo,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,1,349200,0
Mexico,Monterrey,JTI,Regular,Full Flavor,STD,KS,7,59192000,0.3
Turkey,Diyarbakir Airport,JTI,Regular,Ultralights,STD,KS,1,672000,0
Senegal,Leopold Sedar Senghar,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,5,238582600,4.5
Great Britain,Newcastle,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,44322600,0
Canary Islands,Gran Canaria,BAT,Regular,Full Flavor,STD,KS,4,11762753600,8.5
Turkey,Cukurova Airport,BAT,Regular,Full Flavor,SSL,100,1,22977000,0
China,Zhengzhou Xinzheng,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,3,22657692,0
China,Harbin Taiping,IMPERIAL BRANDS,Menthol,Full Flavor,STD,LONGER THAN KS,1,6680,0
India,Indira Gandhi,KT & G,,,,,1,2735921,0.1
China,Changsha Huanghua,JTI,Regular,Full Flavor,STD,KS,11,321622356,0.1
Morocco,Tangier,IMPERIAL BRANDS,Menthol,Full Flavor,STD,KS,1,169022,0
Ghana,Accra,JTI,Menthol,Lights,STD,KS,1,6575000,0.6
Cambodia,Phnom Penh,IMPERIAL BRANDS,NTD Caps,Full Flavor,SSL,KS,1,7400,0
Poland,Lublin,JTI,,,,,1,2382196,0
Japan,Okayama,JTI,,,,,1,785351,0
Russia,Astrakhan,JTI,Regular,Full Flavor,STD,KS,2,4058800,0.1
Vietnam,Danang Downtown Shop,JTI,Regular,Full Flavor,STD,KS,3,6484800,0.1
Spain,Alicante,IMPERIAL BRANDS,Regular,Lights,STD,KS,4,666201400,0.8
China,Guangzhou Baiyun,NANYANG BROTHERS,Regular,Full Flavor,STD,KS,5,2003828229,0.5
France,Paris Charles De Gaulle,IMPERIAL BRANDS,Regular,Full Flavor,STD,KS,6,3756869200,8
China,Hefei Xinqiao,CHINA NATIONAL,Regular,Lights,STD,KS,1,11371290,0
South Korea,Jeju (downtown),KT & G,Menthol,Lights,SSL,100,1,18491200,0
Italy,Rome Fiumicino,JTI,Regular,Full Flavor,STD,KS,3,1317515800,5.6
Serbia,Belgrade,KING'S TOBACCO,Regular,Full Flavor,SSL,100,3,126833800,1.2
Italy,Bergamo,KING'S TOBACCO,Regular,Lights,STD,KS,1,2314600,0
Greece,Heraklion Airport,KARELIA TOBACCO,Regular,1mg,STD,KS,1,1260000,0
Jordan,Amman,BAT,Regular,Full Flavor,STD,KS,15,2642146600,10.5
Dominican Republic,Puerto Plata,BAT,Menthol,Full Flavor,STD,KS,2,60919200,0.4
Turkey,Antalya Airport,KT & G,NTD Caps,Lights,SSL,100,4,25429400,0
United Arab Emirates,Abu Dhabi,ITC Ltd.,NTD Caps,Full Flavor,STD,KS,1,69537800,0
Dominican Republic,Samana El Catey,JTI,Regular,Lights,STD,KS,1,12567000,0.1
France,Tarbes - Lourdes,JTI,Regular,Lights,STD,KS,1,8448000,0
