DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
Egypt,Sharm El Sheikh,PMI,Regular,Full Flavor,STD,KS,25,1172111611,3.5
Egypt,Marsa Aalam,PMI,NTD Caps,Full Flavor,STD,KS,6,217195000,0.6
Gabon,Gabon,PMI,Regular,Full Flavor,STD,KS,9,130113600,100
China,Hebei,PMI,Regular,Full Flavor,STD,KS,5,31770900,0.4
Japan,Tokyo - Narita,PMI,NTD Caps,Full Flavor,STD,KS,8,1151666400,8.4
United Arab Emirates,Ras El Khaymah,PMI,NTD Caps,Full Flavor,STD,KS,6,24681600,0.1
Tunisia,Enfidha,PMI,Regular,Full Flavor,STD,KS,17,1649548800,7.4
Japan,Osaka - Kansai,PMI,Regular,Full Flavor,STD,KS,11,1424522000,10.4
El Salvador,San Salvador Comalapa,PMI,Regular,Full Flavor,STD,KS,17,539573687,41.1
Germany,Munster-Osnabruck,PMI,Regular,Full Flavor,STD,KS,9,51442791,1.6
Turkey,Adana Airport,PMI,Regular,Full Flavor,SSL,KS,1,1948800,0
Portugal,Madeira,PMI,Regular,Full Flavor,STD,KS,4,60996600,8.5
Nigeria,Lagos,PMI,Regular,Full Flavor,STD,KS,3,49662800,32.3
Cape Verde,Praia,PMI,Regular,Full Flavor,STD,KS,8,283170000,4.8
Turkey,Kayseri Airport,PMI,Regular,Full Flavor,STD,KS,50,2533827600,1.5
Grenada,St. George's Point Saline,PMI,Menthol,Full Flavor,STD,KS,1,3203200,5.6
Turkey,Cukurova Airport,PMI,Regular,Full Flavor,SSL,KS,1,1402200,0
Greece,Rhodes,PMI,Regular,Full Flavor,STD,KS,13,84058200,6.5
China,Hefei Xinqiao,PMI,NTD Caps,Full Flavor,STD,KS,2,6775000,0.1
Turkey,Denizli Cardak Airport,PMI,NTD Caps,Full Flavor,STD,KS,10,8602000,0
Great Britain,Glasgow Prestwick,PMI,Regular,Full Flavor,SLI,KS,1,1144600,0
Poland,Krakow Balice,PMI,Regular,Full Flavor,STD,KS,11,2268426940,19.2
France,Paris Orly,PMI,Regular,Lights,STD,KS,2,108090800,0.9
Macedonia,Ohrid,PMI,Regular,Full Flavor,STD,KS,6,19910600,1.8
Japan,Kagoshima,PMI,Menthol,Full Flavor,STD,KS,1,975200,0
Spain,Asturias,PMI,Regular,Full Flavor,STD,KS,4,19784000,0.2
Spain,Santiago De Compostela,PMI,Regular,Full Flavor,STD,KS,5,83732600,0.7
Colombia,Bogota,PMI,Menthol Caps,Full Flavor,STD,KS,3,46926366,1.1
Portugal,Faro Airport,PMI,Regular,Full Flavor,SLI,KS,2,18186800,2.5
Great Britain,Edinburgh,PMI,Regular,Full Flavor,STD,KS,4,140331800,2.7
Sri Lanka,Colombo,PMI,Regular,Full Flavor,SLI,KS,6,109966466,10.8
Egypt,Luxor,PMI,Regular,Full Flavor,STD,KS,24,123410635,0.4
Egypt,Aswan,PMI,Menthol Caps,Full Flavor,STD,KS,2,5830400,0
Dominican Republic,Santo Domingo Las Americas,PMI,Regular,Full Flavor,SLI,KS,3,944951400,9.7
Brazil,Belo Horizonte,PMI,Regular,Full Flavor,SLI,KS,3,27805200,0.5
Japan,Fukuoka,PMI,NTD Caps,Full Flavor,STD,KS,8,141503600,1
Italy,Verona,PMI,Regular,Full Flavor,SLI,KS,3,22338000,0.5
Caribbean Other,Port-au-Prince (Haiti),PMI,Regular,Full Flavor,SLI,KS,3,30932000,5.1
Jamaica,Montego Bay,PMI,Regular,Full Flavor,STD,KS,17,831757907,51.4
Martinique,Fort-de-France,PMI,Regular,Full Flavor,SLI,KS,2,238211600,31.1
South Korea,Busan - Kimhae,PMI,Regular,1mg,SSL,KS,1,51865800,0.3
China,Jinan Xiaoqiang,PMI,Regular,Full Flavor,STD,KS,4,14433200,0.2
Turkey,Kayseri Airport,PMI,Menthol Caps,Full Flavor,STD,KS,6,57051000,0
Russia,Zhukovsky,PMI,NTD Caps,Full Flavor,STD,KS,1,8000,0
Spain,Malaga,PMI,Regular,Full Flavor,STD,KS,8,1540454000,13.1
China,Xiamen Gaoqi,PMI,NTD Caps,Full Flavor,STD,KS,3,35296600,0.4
South Korea,Seoul,PMI,NTD Caps,Full Flavor,STD,KS,6,123454000,0.7
