DF_Market,Location,TMO,Brand Family,CR_BrandId,SKU,Item per Bundle,2022 Volume,2023 Volume,2024 Volume,2022Month,2023Month,2024Month,2022 Revenue,2023 Revenue,2024 Revenue
Turkey,Konya Airport,BAT,KENT,62490,KENT - SWITCH KS RCB C,200,3200,24600,10200,1,9,4,488.35,4253.12,1791.95
France,Paris Charles De Gaulle,PMI,MARLBORO,122774,MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - FRANCE DF GHW-FR05 - IDM FRANCE,600,5239800,4690200,4585200,12,12,11,1374896.5,1399233.9,1382564.38
China,Hohhot Baita,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,200,0,240,2755,0,0,0,0,144,1653
Indonesia,Ngurah Rai,JTI,SEVEN STARS,37891,SEVEN STARS,200,22400,279000,339400,6,12,11,0,721671604.48,911190401.37
Great Britain,Manchester,JTI,SILK CUT,45375,SILK CUT - PURPLE KS BOX,200,915400,954000,824200,12,12,11,292928,326915.41,319219
Poland,Warsaw,PMI,MARLBORO,120910,MARLBORO - (RED FWD) KS BOX - ENGLISH GHW TPD2 DF - IDM POLAND,200,1284600,0,0,12,0,0,1051976,0,0
South Korea,Incheon,KT & G,ESSE,107108,ESSE - ROYAL PALACE 100's RCB SUPERSLIMS,200,1159800,3319000,5453600,12,12,11,342141,979795,1669248.88
United Arab Emirates,Dubai,JTI,WINSTON,118895,WINSTON - BLUE LE KS BOX,200,326200,902400,995600,6,11,11,31021.83,97499.26,113213.71
Morocco,Marrakech,BAT,LUCKY STRIKE,51260,LUCKY STRIKE - ORIGINAL RED KS BOX,400,544780,1526932,1833529,9,12,11,73545.3,206899.29,247526.415
Morocco,Tangier,IMPERIAL BRANDS,DAVIDOFF,70865,DAVIDOFF - (WHITE) KS BOX,200,67549,69455,50522,9,12,11,10807.84,11280.8,8237.52
Saudi Arabia,DAMMAM,PMI,PARLIAMENT,125064,PARLIAMENT - AQUA BLUE KS RCS WHITE - GENERIC DF-ENG TXT - SAUDI ARABIA,200,0,120800,497000,0,6,11,0,83956,355476.74
Turkey,Izmir Airport,JTI,WINSTON,54448,WINSTON - CLASSIC KS RCB,200,312600,237800,0,12,12,0,44710.68,39574,0
Japan,Chitose,PMI,PARLIAMENT,97144,PARLIAMENT - PLATINUM BLUE 100's RCB WHITE - JAPAN DF,200,3400,65600,46200,1,12,10,73780,1423520,1002540
Japan,Komatsu,BAT,UNDEFINED,0,UNDEFINED,0,0,0,67657,0,0,10,0,0,0
Great Britain,Manchester,JTI,STERLING,91239,STERLING - SUPERKINGS MENTHOL MENTHOL 100's BOX,400,1110800,992000,1012800,12,12,11,227714,221720.66,247471
Japan,Osaka - Kansai,PMI,MARLBORO,122726,MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS BOX C WRG WHITE - JAPAN DF,200,74000,1089600,2744000,11,12,12,1614700,23798491.25,59925365.83
Saudi Arabia,Jeddah,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,600,157200,981600,813600,3,12,7,0,305720.24,266808
Germany,Hannover,PMI,L&M,125729,L&M - BLUE LABEL (5.0 CWB) KS BOX TRANSPARENT BUNDLE - ENGLISH GHW TPD2 DF - IDM GERMANY,200,12200,0,0,3,0,0,3287.9,0,0
South Korea,Incheon,KT & G,ESSE,125779,ESSE - CHANGE GRAM 100's D-HEXAGONAL (FRONT/BACK OCT) C SUPERSLIMS,200,1837800,5090800,5404000,10,12,11,273940,763620,810600
Indonesia,Ngurah Rai,CHINA NATIONAL,YUN YAN,103389,YUN YAN - CLASSIC KS SOFT,200,8800,37800,11800,2,6,2,0,72379190.58,22406999.95
China,Changsha Huanghua,CHINA NATIONAL,ZHONG NAN HAI,56694,ZHONG NAN HAI - FIVE KS BOX,200,1248,48601,90249,0,10,11,499.2,19440.4,36099.6
Gabon,Gabon,JTI,CAMEL,52735,CAMEL - BLUE KS BOX,400,73200,104800,94800,11,8,11,1068000,7574500.02,7658000
China,Chengdu Tianfu,PMI,MARLBORO,105689,MARLBORO - (RED FWD) KS BOX - CHINA DF - IDM CN05 CHINA DF GROUP (ZM),200,0,275400,628000,0,10,11,0,199035,423900
Taiwan,Taipei - Taoyuan,IMPERIAL BRANDS,DAVIDOFF,53129,DAVIDOFF - CLASSIC KS OCTAGONAL PACK,200,8118967,42858291,60406845,12,12,12,29634229.55,160111795.2,229546011
Gabon,Gabon,BAT,DUNHILL,47577,DUNHILL - INTERNATIONAL KS BOX,200,22400,52200,26400,7,11,9,504000,4693000.2,2697500
Nigeria,Lagos,BAT,BENSON & HEDGES,42858,BENSON & HEDGES - SILVER KS BOX,200,53400,91600,65200,12,12,10,0,17741.28,11090.78
Dominican Republic,Samana El Catey,JTI,WINSTON,54087,WINSTON - CLASSIC KS BOX,200,1800,4400,1800,0,1,0,288,704,328
Gambia,Banjul,IMPERIAL BRANDS,LAMBERT & BUTLER,43912,LAMBERT & BUTLER - KS BOX,400,64400,284800,243600,4,11,10,278640,1537920,1315440
Morocco,Casablanca,IMPERIAL BRANDS,FORTUNA,43467,FORTUNA - KS BOX,400,360940,823498,470414,12,12,11,28669.3,67742.31,38669.33
Greece,Athens,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,671200,735400,984000,12,12,11,93646.46,112148.5,150060
Dominican Republic,Santo Domingo Las Americas,PMI,MARLBORO,99921,MARLBORO - WHITE MINT (2.0) MENTHOL KS BOX ORH WHITE - LA&CANADA DF-ENG TXT,200,122400,70800,0,9,5,0,25750,15776,0
Turkey,Istanbul Airport,PMI,L&M,122595,L&M - RED LABEL (5.0 CWB) KS RCB 400 - TURKEY DF,400,0,0,1365600,0,0,11,0,0,202750.6
Mexico,Mexico City,PMI,MARLBORO,113618,MARLBORO - (GOLD 3.0) 100's RCB WHITE - LA&CANADA DF-ENG TXT,200,647000,487600,0,12,10,0,106755,90504,0
Portugal,Faro Airport,JTI,WINSTON,54088,WINSTON - BLUE KS BOX,200,122000,281000,355000,9,12,12,24570,60386.7,76680
Greece,Zakynthos,JTI,WINSTON,55025,WINSTON - SILVER KS BOX,200,15400,10400,7200,5,5,3,2348.5,1586,1332
South Korea,Jeju,KT & G,ESSE,122813,ESSE - CHANGE DOUBLE 100's BOX C SUPERSLIMS,200,1240800,1637400,2098200,12,12,11,179953,240442,310259
Morocco,Ouarzazate,BAT,VOGUE,45104,VOGUE - SUPER SLIMS MENTHOL 100's BOX SUPERSLIMS,200,9952,9738,12663,5,2,6,1691.84,1655.46,2152.71
Saudi Arabia,RIYADH,BAT,DUNHILL,50827,DUNHILL - (GOLD) KS BOX,200,2509000,1594600,732800,11,12,11,0,940814,427934.63
Turkey,Istanbul Airport,BAT,VOGUE,104076,VOGUE - CLIC BLEUE 100's BOX C SUPERSLIMS,200,0,540200,0,0,9,0,0,102963.7,0
China,Weihai Dashuibo,NANYANG BROTHERS,DOUBLE HAPPINESS,103412,DOUBLE HAPPINESS - DELUXE (RED) KS BOX,200,0,73310,102800,0,8,11,0,51317,71960
