Location,IATA
Santo Domingo Las Americas,SDQ
Muan,MWX
Zurich,ZRH
Lviv,LWO
Asuncion Silvio Petterossi,ASU
Aland,
Ukraine/Belarus,
Trondheim,TRD
Cairns,CNS
Damascus,DAM
Gerona,GRO
Frankfurt,FRA
Brisbane,BNE
Fredrikshavn,
Juanda,SUB
Marsa Aalam,MUH
Min Vody,MRV
Munster-Osnabruck,FMO
Norwich,NWI
Zagreb,ZAG
Ixtapa Zihuatanejo,ZIH
Tampa,TPA
Aqaba,AQJ
Punta Cana - Higuey,PUJ
Astana,
Amman,AMM
Tirana,TIA
Zaragoza,ZAZ
Atyrau,GUW
Cildir Aktas Turkey Georgia Border,
Quanzhou Jinjiang,JJN
Trabzon Airport,TZX
Nimroz,
Penang,PEN
Nice,NCE
Charleroi,CRL
Tashkent,TAS
Bridgetown,BGI
Nairobi,WIL
Ipsala Turkey Greece Border,
Khorgos,
Kyrgy/Kazakh,
Asyut,CAI
Toronto,YYZ
Tokyo - Haneda,HND
Everrich Downtown Kinmen,KNH
Port Louis,MRU
San Jose,SJO
Haiphong,HPH
Kuching,KCH
Paris Charles De Gaulle,CDG
Cali,CLO
Managua,MGA
Oranjestad,AUA
Warsaw-Modlin,WMI
Lusaka,LUN
Perm,PEE
Juba (inactive),JUB
Yaounde,YAO
Jeddah,JED
Gurbulak Turkey Iranian Border,
Kristiansand,
Karaganda,KGF
Orenburg,REN
Sochi,AER
Santa Cruz Viru Viru,VVI
Izmir Airlines,
Detroit,DTW
Ibiza,IBZ
Vigo,
Esbjerg,
Esendere Turkey Iran Border,
Van Setur Kapikoy Turkey Iran Border,
Port-au-Prince (Haiti),PAP
Bratislava,BTS
Johor Bahru,JHB
Naples,NAP
Milazzo,
Guangzhou Baiyun,CAN
Maya,BZV
Berlin Brandenburg,BER
Luxembourg,
Eindhoven,EIN
Oslo,
Tromso,TOS
Antalya Gazipasa Airport,GZP
Sarajevo,SJJ
Langkawi,LGK
Salerno,
DAMMAM,DMM
Dubai,DXB
Belarus/Poland,
Munich,MUC
Sfax,SFA
Kaohsiung,KHH
Moldova/Romania,
Belfast,BFS
Travemunde,
Haikou Meilan,HAK
Bremen,BRE
Samarkand,SKD
Jaber (Syria border),
Shijiazhuang Zhengding,SJW
Doha,DOH
Said Port,
Tulear,TLE
Nay Pyi Taw,NYT
Murmansk,MMK
Julfa,
Istanbul Airport,IST
Espargos,SID
Belem,BEL
Cochin,COK
Annaba,AAE
Rygge,RYG
Mahon Airport,MAH
Sandefjord-Torp,TRF
Doncaster,DSA
Tripoli,TIP
Aqaba (Saudi border),
San Pedro Sula,SAP
Bodrum Port,
Naberezhnye Chelny,NBC
Phnom Penh,PNH
Baku,
Araxos Peloponnese,GPA
Kuusamo,KAO
Mitilini Port,
Russia/Estonia,
Panemune,
Tangier,TNG
Dushanbe,DYU
Oran,ORN
Porto,OPO
Jieyang Chaoshan,SWA
Karpathos,AOK
Dilucu Turkey Nakhchivan Border,
Karlstad,KSD
Tirstrup,AAR
Harbin Taiping,HRB
Minsk,
Nizhniy Novgorod,GOJ
Dubai,
Lugano,LUG
Buenos Aires Aeroparque,AEP
Rostock,RLG
