Location	2022 Volume	2023 Volume	2024 Volume	2022 Revenue	2023 Revenue	2024 Revenue	2022 Profit	2023 Profit	2024 Profit	Average Profit
A Coruna	174800	287200	299800	36322.15	68478.62	76386.58	0.20779262	0.238435306	0.254791795	0.23367324
Aalborg	568405	404823	480288	432763.085	302852.76	315401.265	0.761363966	0.748111545	0.656691954	0.722055821
Aarhus	774407	485704	352875	587405.145	340753.975	307602.95	0.758522515	0.701567158	0.871705136	0.777264936
Aberdeen	2151800	2649000	2643400	502842.58	632265.28	678719.66	0.233684627	0.23868074	0.256760104	0.243041824
Abidjan	4729400	5898600	5611200	399735	626429971.5	598908776.6	0.084521292	106.1997714	106.7345268	71.00627315
Abu Dhabi	90565637	90735810	62708200	7014477.09	10783515.52	32695291.46	0.077451861	0.1188452	0.521387816	0.239228292
Abuja	406000	439800	473000	33489	64489.86	62518.72	0.082485222	0.146634516	0.132174884	0.12043154
Acapulco	83400	65400	0	12587.71	11176	0	0.150931775	0.17088685		0.160909312
Accra	2439200	2967200	3641800	153007.5	416376.14	508248.1	0.062728559	0.140326281	0.139559586	0.114204808
Adana Airport	589000	1787600	890000	83323.62	244953.0067	122497.36	0.141466248	0.137028981	0.137637483	0.138710904
Addis Ababa	67172122	108309129	50915155	2860173.833	4163911.69	4041545.967	0.042579775	0.038444697	0.079378055	0.053467509
Adelaide	0	0	19384	0	0	8611			0.444232357	0.444232357
Agadir	53897232	58895203	76846376	6154887.636	8396697.263	11128684.4	0.11419673	0.142570139	0.144817296	0.133861388
Aktau	139400	18800	0	16625	2090	0	0.119261119	0.111170213		0.115215666
Aktio	1285800	1459125	1442600	217784.63	282863.9102	285902.59	0.169376754	0.193858587	0.19818563	0.187140323
Al Hoceima	50136	85736	97815	6559.948808	11163.7854	12587.37927	0.130843083	0.130211176	0.128685572	0.129913277
Alesund	1780712	0	0	2372397.775	0	0	1.332274829			1.332274829
Alexandoupolis	2793800	3539589	4023400	465785.23	684878.213	811019.25	0.166721036	0.193490886	0.201575595	0.187262506
Alexandria	8058053	6427667	4582376	915998.9607	716568.1635	478155.375	0.113674973	0.111481843	0.104346604	0.109834474
Alicante	46714600	59676200	60877600	9089405.75	14692732.24	17966091.12	0.194573126	0.246207571	0.295118256	0.245299651
Almaty	1634760	3608484	2912099	175410	355047.819	236169.564	0.107300154	0.098392516	0.081099428	0.095597366
Almeria	1508600	1537000	1307400	302755.25	379435.24	384195.35	0.200686232	0.24686743	0.293862131	0.247138598
Amman	228070600	224905000	207425400	32334547.51	33942010.4	31908959.73	0.141774291	0.1509171	0.153833425	0.148841605
Amritsar	127388	206262	733747	516009.1925	15815.2775	53668.8225	4.050689174	0.076675672	0.073143498	1.400169448
Amsterdam - Schiphol	24943159	31067106	27233090	5007173.25	5350792.4	4518242.7	0.200743348	0.172233371	0.165910027	0.179628915
Ankara Airport	15501600	16484200	17212000	2498924.22	2839495.323	3067841.6	0.161204277	0.172255573	0.178238531	0.170566127
Anna	127388	206262	733747	516009.1925	15815.2775	53668.8225	4.050689174	0.076675672	0.073143498	1.400169448
Antalya Airport	255167200	249963800	241598600	41689678.83	45009733.8	49071770.64	0.163381809	0.180065009	0.20311281	0.182186543
Antalya Gazipasa Airport	2375400	2733600	4845000	520357.5667	644175.61	1291209.39	0.219061028	0.235651013	0.266503486	0.240405176
Antigua	0	559950	549223	0	74134.38	64737.365		0.132394642	0.117870819	0.125132731
Aomori	0	0	117050	0	0	462190			3.948654421	3.948654421
Aqaba	1193200	1833800	625800	179378.38	279509.32	99426.87	0.150333875	0.152420831	0.158879626	0.153878111
Astana	1096800	1590800	1748200	132353.13	219368.44	242764.68	0.120672073	0.13789819	0.138865507	0.13247859
Astrakhan	695600	1325600	231800	35074.5	65579.44	20376.5	0.050423376	0.049471515	0.087905522	0.062600137
Asturias	152000	299400	254200	32228.05	71162.58	63972.05	0.212026645	0.237683968	0.251660307	0.233790307
Asuncion Silvio Petterossi	1148406	0	695994	86471.39	0	83189.25	0.075296881		0.119525815	0.097411348
Aswan	2993312	5394991	2488168	311101.495	618000.0519	278150.625	0.103932198	0.11455071	0.111789327	0.110090745
Asyut	0	0	1035593	0	0	148338.3635			0.143240021	0.143240021
Athens	22063055	27651383	28008087	3378731.72	4539864.7	4804763.381	0.153139795	0.164182193	0.171549145	0.162957044
Auckland	1255142	358024	1111083	205875	58725	172365	0.164025266	0.164025317	0.155132425	0.161061002
Baghdad	61934615	40816542	42901966	5221700	3391677.5	3612310	0.084309881	0.08309566	0.084199172	0.083868237
Baku	18301801	13141107	17409737	2280782.21	1612415.82	2154179.05	0.124620643	0.122700152	0.123734152	0.123684982
Bamako	725600	4500630	5755941	74239.5	562413.5	751761	0.102314636	0.124963283	0.130606099	0.119294673
Bandaranaike	4249649	1410730	2239328	158705.1258	69361.58817	231015	0.037345467	0.04916716	0.103162645	0.063225091
Bangalore	5459800	7956200	10593800	36351555.5	95032812.36	144176437.9	6.658037932	11.94449767	13.60951103	10.73734888
Bangui	120000	0	300000	15000	0	0	0.125		0	0.0625
Banja Luka	0	0	1598840	0	0	194895.6			0.121898126	0.121898126
Banjul	917800	1853600	2804000	1928207.5	11263630.03	16910816.8	2.100901613	6.076623883	6.030961769	4.736162422
Barcelona	25958400	30170800	28858800	5389060.35	7249496.85	7839858.36	0.207603718	0.24028189	0.27166266	0.239849423
Bari	501868	830622	1201787	103121.8	129313.4	187330.61	0.205475942	0.155682609	0.155876715	0.172345089
Bariloche	0	27000	25200	0	3105	2898		0.115	0.115	0.115
Basel	29241600	29486600	30124600	6980457.8	7989764.67	7584748.84	0.238716684	0.270962562	0.251779238	0.253819495
Basrah	14459785	11306520	11595465	1215550	938715	976650	0.084064182	0.08302422	0.084226894	0.083771765
Basseterre (Saint Kitts)	809970	138400	207000	86928.95042	23883.1	38478.04	0.107323667	0.172565751	0.185884251	0.15525789
Batumi	5451488	4544467	6670363	581854.6	414915	655354.6	0.106733171	0.091301136	0.098248716	0.098761008
Beauvais	1222200	1450800	1271000	342496	462214.32	429274.8	0.280229095	0.318592721	0.337745712	0.312189176
Beijing	20883612	191089362	339012605	21291564.22	192425307.9	343991975.3	1.019534562	1.00699121	1.014687862	1.013737878
Beira	448237	0	0	43250	0	0	0.096489134			0.096489134
Beirut - Rafik Hariri	157868273	169530006	137338503	9628861.85	9617616.38	7134073.93	0.060993014	0.056731057	0.051945185	0.056556419
Belgorod	33800	0	0	896.4	0	0	0.02652071			0.02652071
Belgrade	57249600	71206400	56578800	5139419.13	7196810.2	6995711.62	0.08977214	0.10106971	0.123645458	0.104829103
Belize City	1771052	1685063	1969393	179058.845	170695.815	198630.38	0.101103099	0.101299367	0.100858681	0.101087049
Belo Horizonte	399600	440400	411600	48315.99	60723.36	59003.9	0.120910886	0.137882289	0.143352527	0.134048567
Bergamo	3711800	5844000	5733600	779065.83	1284003.57	1281635.44	0.209888957	0.219713137	0.223530668	0.217710921
Bergen	5357774	5719375	5383472	11345304.69	9202564.44	8449427	2.117540734	1.609015747	1.569512575	1.765356352
Berlin Brandenburg	11447658	11069829	11287378	2166280.34	1540878.02	1445701.3	0.189233496	0.13919619	0.128081234	0.152170306
Bilbao	1252600	1554400	1655600	261160.85	372303.65	431955.34	0.20849501	0.239515987	0.260905617	0.236305538
Billund	5396359	5734801	4311011	4074413.475	4303529.493	3961105.593	0.7550301	0.750423509	0.91883449	0.808096033
Birmingham	15649200	21730000	23583800	3781462.9	5393038.87	6164616.65	0.241639375	0.248184025	0.261392	0.250405133
Bodrum Airport	24784000	22595800	23326200	4521179.64	4275002.43	4432734.39	0.182423323	0.18919456	0.190032427	0.18721677
Bogota	15074800	18664300	18122434	1875238.24	1726855766	2015431168	0.124395563	92.52186076	111.2119469	67.9527344
Bologna	1566161	2363335	2566206	349868.4	393169.3	394356.51	0.223392359	0.166362069	0.153672975	0.181142467
Bordeaux	2485000	2771800	2185600	695641.9	917825.5	758284.9	0.279936378	0.331129771	0.346945873	0.319337341
Bourgas	7133237	7722456	7739200	593264.66	1768887.68	1609377.56	0.083169066	0.229057657	0.207951411	0.173392711
Bournemouth	814400	1014600	1017800	203313	262196.75	286500.3	0.249647593	0.258423763	0.281489782	0.263187046
Brasilia	236200	259800	255800	28815.49	35366	36299.54	0.121996147	0.136127791	0.141905942	0.133343293
Bremen	633800	798860	664000	133716.19	163057.51	143250.75	0.210975371	0.204112748	0.215739081	0.210275733
Bridgetown	5407674	4979075	4375798	622240.395	573239.47	503019.96	0.115066181	0.115129712	0.114955023	0.115050305
Brisbane	559342	948877	1022624	139794	243612	245854.565	0.249925806	0.256737175	0.240415407	0.249026129
Bristol	8459200	12773400	14484400	2030704	3099817.32	3677265.97	0.240058634	0.242677542	0.253877687	0.245537955
Brno	1251420	3920139	3097570	3516000	10006000	9619950	2.809608285	2.552460512	3.105644102	2.822570966
Brussels	13786600	14764800	12485800	3330935	3655323.4	3297704.3	0.241606705	0.247570126	0.26411638	0.251097737
Budapest	1345600	0	0	24672004.5	0	0	18.33531845			18.33531845
Buenos Aires - Ezeiza	18991800	20894800	15517800	1854292.43	2413661.58	1857632	0.097636476	0.115514941	0.119709753	0.110953723
Buenos Aires Aeroparque	3310200	3155400	2117400	325817.52	368105.92	255838	0.098428349	0.116659035	0.120826485	0.11197129
Bujumbura	195200	181600	201200	11302	10633	11897	0.05789959	0.058551762	0.059130219	0.05852719
Busan - Kimhae	22653200	104726900	119507800	3406978.23	15802110.16	18105984.09	0.150397217	0.150888742	0.151504622	0.150930194
Bydgoszcz	5669971	9065365	8843919	3221188	4968863	4757215.6	0.568113664	0.548115051	0.537908093	0.551378936
Cairns	0	48817	19384	0	9380	8611		0.192146179	0.444232357	0.318189268
