Year,EBROMId,Market,EBROM,Volume
2024,50031761,Czech Republic,GAULOISES BLONDES (BLUE) KS BOX 20 (-),12079
2024,50066321,Germany,JOHN PLAYER SPECIAL RED KS BOX 20 (-),322016
2024,60192417,Slovak Republic,L&M BLUE LABEL (5.0 CWB) 100 RCB 20 (-),116583
2024,60129773,Russia,P&S (WHITE) KS RCB 20 (-),3460
2024,50049618,Turkish Cyprus,JOHN PLAYER GOLD LEAF KS BOX 20 (-),14517
2024,60038682,Bahrain,WINSTON ONE KS RCB 20 (-),9344
2024,60078747,Romania,BENSON & HEDGES BLACK 100 BOX 20 (-),927
2024,60235315,Slovak Republic,MARLBORO RED 3.5 100 BOX 20 (-),17932
2024,60130298,Other South Pacific,PETER JACKSON HYBRIDSI MNT KS BOX 20 (-),760
2024,60118459,UAE,BON MENTHOL MNT KS BOX 20 (-),318
2024,60207691,Portugal,CAMEL ACTIVATE WHITE KS CUR 20 (-),85027
2024,50039681,Serbia,SOBRANIE BLACK RUSSIAN 100 SHO 20 (-),23704
2024,50069084,North Macedonia,WINSTON BLUE KS RCB 20 (-),63806
2024,60235956,Serbia,SOBRANIE COLLECTION BLUE KS DSP 20 SLI (-),8578
2024,60233690,Poland,MARLBORO RED 3.5 KS BOB 22 (-),41212
2024,60199466,Finland,PALL MALL RED KS BOX 24 (-),17459
2024,60213056,Albania,PHILIP MORRIS WHITE KS RCB 20 (-),2441
2024,60214403,Bosnia & Herz.,LUCKY STRIKE AMBER RESIZED KS RCB 20 SLI (-),40087
2024,60212650,Canada,BENSON & HEDGES UNISON KS S&S 20 (-),3584
2024,60272076,Russia,MILANO LAS VEGAS NIGHT KS RCB 20 (-),1825
2024,50057978,Armenia,ESSE BLUE 100 BOX 20 SSL (-),8775
2024,60232383,Greece,WINSTON RED KS BOX 26 (-),105607
2024,60062727,Japan,MEVIUS SUPER LIGHTS 6 KS RCB 20 (-),525913
2024,60078283,Malaysia,MEVIUS DUO MNT KS RCB 20 (-),17081
2024,50019103,Japan,HI-LITE MNT KS SOF 20 (-),553745
2024,50074393,Pakistan,CAPSTAN ORIGINAL KS BOX 20 (-),18590677
2024,50058854,Italy,YESMOKE (WHITE) KS BOX 20 (-),32681
2024,60205984,Russia,HARVEST BROWN KS BOX 20 (-),1297
2024,60207506,Taiwan,SEVEN STARS 4 KS SOF 20 (-),27091
