SKU,Item per Bundle,CR_BrandId,DF_Market,Location,TMO
THE KING - (RED) KS BOX,200,106308,Spain DP,Madrid Barajas,KING'S TOBACCO
MARLBORO - (RED FWD) KS BOX 600 SPECIAL OUTER - FRANCE DF GHW-FR05 - IDM FRANCE,600,122774,France,Paris Charles De Gaulle,PMI
MARLBORO - GOLD (3.5) KS RCB - SPAIN DF - IDM SPAIN,200,122496,Spain DP,Gerona,PMI
MARLBORO - DOUBLE FUSION PURPLE KS RCB 600 C SPECIAL OUTER WHITE - TURKEY DF,600,118939,Turkey,Istanbul Asia Airport,PMI
MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS  600 C WRG TRANSPARENT BUNDLE WHITE - TURKEY DF,600,125175,Turkey,Istanbul Asia Airport,PMI
DUNHILL - (BLUE) KS BOX,200,49364,China,Chengdu Tianfu,BAT
MILD SEVEN - INTERNATIONAL KS BOX,200,45709,China,Chengdu Tianfu,JTI
MINE - KS BOX,200,46257,Taiwan,Taipei - Taoyuan,JTI
LUCKY STRIKE - AMBER KS BOX C,200,127567,Mexico,Guadalajara,BAT
LUCKY STRIKE - AMBER KS BOX C,200,127567,Brazil,Viracopos,BAT
DOUBLE HAPPINESS - KS SOFT,200,47113,Hong Kong,Hong Kong,NANYANG BROTHERS
DOUBLE HAPPINESS - KS SOFT,200,47113,China,Dalian Zhoushuizi,NANYANG BROTHERS
MARLBORO - GOLD (3.5) KS RCB - TURKEY DF,200,123070,Turkey,Istanbul Airport,PMI
MARLBORO - GOLD (3.5) KS RCB - SPAIN DF - IDM SPAIN,200,122496,Spain,Malaga,PMI
CAMEL - BLUE KS BOX,200,52735,Sweden,Stockholm Arlanda,JTI
NEWPORT - MENTHOL KS BOX,600,44309,Aruba,Oranjestad,BAT
THE KING - (RED) 100's RCB,200,100981,Bulgaria,Sofia,KING'S TOBACCO
SILK CUT - BLUE KS BOX,400,46015,Ireland,Dublin,JTI
MARLBORO - DOUBLE ICE KS RCS C JUMBO WHITE - GCC DF,200,103132,Oman,Salalah,PMI
STERLING - SUPERKINGS MENTHOL MENTHOL 100's BOX,400,91239,Great Britain,London Gatwick,JTI
NATURAL AMERICAN SPIRIT - (YELLOW) KS SOFT,200,49916,Brazil,Sao Paulo - Guarulhos,JTI
KENT - 100's SOFT,200,46202,Japan,Tokyo - Narita,BAT
DAVIDOFF - CLASSIC KS BOX,400,88459,Jordan,Amman,IMPERIAL BRANDS
MARLBORO - WHITE (3.5) KS RCS WHITE - GENERIC DF-ENG TXT,200,123514,Jordan,Amman,PMI
SILK CUT - PURPLE KS BOX,200,45375,Canary Islands,Tenerife,JTI
LAMBERT & BUTLER - KS BOX,200,43912,France,Paris Charles De Gaulle,IMPERIAL BRANDS
ESSE - SILVER KS D-SHAPE PACK (FRONT RCB) SUPERSLIMS,200,57990,United Arab Emirates,Dubai,KT & G
PARLIAMENT - AQUA BLUE KS RCB WHITE - GENERIC DF-ENG TXT - ALTERNATIVE,200,125074,Dominican Republic,Punta Cana - Higuey,PMI
DAVIDOFF - SILVER 100's BOX SUPERSLIMS,200,57669,China,Xiamen Gaoqi,IMPERIAL BRANDS
UNDEFINED,0,0,Japan,Osaka - Kansai,JTI
WINSTON - EXPAND DUO KS BOX C,200,121580,Morocco,Rabat,JTI
LUCKY STRIKE - CLICK & ROLL KS BOX C,200,59257,Morocco,Rabat,BAT
WINSTON - (RED) KS BOX,400,56993,Saudi Arabia,Medina,JTI
LAMBERT & BUTLER - BLUE KS BOX,400,96896,Great Britain,Birmingham,IMPERIAL BRANDS
KARELIA - MENTHOL 100's BOX SLIMS,200,48826,Switzerland,Zurich,KARELIA TOBACCO
WINSTON - (RED) KS BOX,200,56993,Greece,Thessaloniki,JTI
STATE EXPRESS 555 - GOLD KS BOX,200,59744,China,Jinan Xiaoqiang,BAT
SEASONS - KS BOX,200,46300,South Korea,Seoul,KT & G
ARIRANG - KS RCB,200,52866,South Korea,Seoul,KT & G
DAVIDOFF - GOLD 100's OCTAGONAL PACK SLIMS,200,51742,Cambodia,Phnom Penh,IMPERIAL BRANDS
RICHMOND - KS BOX,200,44637,Spain,Murcia,IMPERIAL BRANDS
MARLBORO - SUMMER SPLASH MENTHOL KS BOS C MUL WHITE - KOREA DF,200,144142,South Korea,Seoul,PMI
GAULOISES - BLONDES (BLUE) KS BOX,200,45969,China,Hangzhou Xiaoshan,IMPERIAL BRANDS
SILK CUT - SILVER KS BOX,200,46016,Spain DP,Valencia,JTI
MARLBORO - DOUBLE BURST (2.0) MENTHOL KS BOX C WHITE - CHINA DF - CNSC(ZF),200,121396,China,Nanjing Lukou,PMI
NATURAL AMERICAN SPIRIT - (ORANGE) KS BOX,200,92510,Aruba,Oranjestad,JTI
PRINCE - RICH TASTE KS BOX,400,51120,Turkey,Izmir Airport,BAT
DAVIDOFF - MAGNUM 90's BOX,200,42491,Turkey,Izmir Airport,IMPERIAL BRANDS
MARLBORO - BLOSSOM FUSION MENTHOL KS RCB C CHI WHITE - TURKEY DF,200,125310,Turkey,Izmir Airport,PMI
MURATTI - ROSSO KS RCB 600 WHITE - TURKEY DF,600,97289,Turkey,Izmir Airport,PMI
L&M - RED LABEL (5.0 CWB) 100's SOFT - TURKEY DF,200,122593,Turkey,Izmir Airport,PMI
MAYFAIR - KS BOX,200,44279,Italy,Verona,JTI
STERLING - DUAL KS BOX C,200,99392,Great Britain,Glasgow Prestwick,JTI
VOGUE - MENTHOL 100's BOX SUPERSLIMS,600,46753,Turkey,Istanbul Asia Airport,BAT
NATURAL AMERICAN SPIRIT - (BLUE) KS BOX,200,54054,Mexico,Mexico City,JTI
PARLIAMENT - AQUA 3 KS RCB JUMBO RC WHITE - KOREA DF - IDM KOREA,200,121965,South Korea,Daegu,PMI
BENSON & HEDGES - (RED) KS BOX,200,69843,Tanzania,Kilimanjaro,BAT
MARLBORO - FLAVOR MIX (FWD) KS BOX - TURKEY DF,200,95449,Turkey,Antalya Airport,PMI
STATE EXPRESS 555 - KS BOX,200,44926,Macau,Macau,BAT
SALEM - KS SOFT,200,49692,China,Chongqing Jiangbei,JTI
DOUBLE HAPPINESS - (RED-GOLD) KS BOX,200,52061,China,Chongqing Jiangbei,CHINA NATIONAL
DOUBLE HAPPINESS - KS SOFT,200,47113,China,Chongqing Jiangbei,NANYANG BROTHERS
MARLBORO - GOLD (2.0 ORIGINAL) KS BOX - FRANCE DF GHW-FR05 - IDM FRANCE,200,122766,France,Chambery,PMI
MARLBORO - ICE BLAST (2.0) MENTHOL KS BOX C JUMBO WHITE - TURKEY DF,200,98190,Turkey,Gaziantep Airport,PMI
MARLBORO - (RED FWD) 100's BOX WHITE - LA&CANADA DF-ENG TXT,200,91644,Colombia,Medellin Jose Maria Cordova,PMI
UNDEFINED,0,0,Iraq,Suleymania Airport,BAT
MARLBORO - DOUBLE FUSION SUMMER MENTHOL KS BOX C WRG WHITE - GENERIC DF-ENG TXT,200,122896,Colombia,Bogota,PMI
MARLBORO - RED 3.5 KS BOX - GENERIC DF-ENG TXT,200,125837,Colombia,Bogota,PMI
WINSTON - CLASSIC KS BOX,600,54087,Mexico,Los Cabos,JTI
CAMEL - KS BOX,200,43011,Mexico,Los Cabos,JTI
DUNHILL - INTERNATIONAL KS BOX,400,47577,Mexico,Ixtapa Zihuatanejo,BAT
MARLBORO - GOLD (3.5) KS RCB 600 SPECIAL OUTER - TURKEY DF,600,123072,Turkey,Kayseri Airport,PMI
UNDEFINED,0,0,Kenya,Jomo Kenyatta,BAT
MARLBORO - GOLD (3.5) KS RCS 600 SPECIAL OUTER WHITE - GENERIC DF-ENG TXT,600,123518,Kenya,Jomo Kenyatta,PMI
MORE - INTERNATIONAL (RED) 120's SOFT EXTRA SLIMS,200,62272,Jamaica,Montego Bay,JTI
UNDEFINED,200,0,China,Yanji Zhaoyangchuan,CHINA NATIONAL
L&M - DOUBLE FORWARD MENTHOL KS RCB C WHITE - GENERIC DF-ENG TXT,200,157067,Egypt,Alexandria,PMI
