PASSENGER_COUNTRY_NAME,PASSENGER_NATIONALITY
Mongolia,Mongolia
Chad,Chad
Kenya,Kenya
Poland,Poland
Reunion,Reunion
New Zealand,New Zealand
Rwanda,Rwanda
Guyana,Guyana
Nauru,Nauru
"Bonaire, Saba","Bonaire, Saba"
El Salvador,El Salvador
China,China
Fiji,Fiji
Sint Maarten,Sint Maarten
Austria,Austria
Nepal,Nepal
Swaziland,Swaziland
Hong Kong,Hong Kong
Madagascar,Madagascar
Afghanistan,Afghanistan
Cameroon,Cameroon
Ecuador,Ecuador
Singapore,Singapore
Somalia,Somalia
Iran,Iran
Timor-Leste,Timor-Leste
Mexico,Mexico
Bulgaria,Bulgaria
Luxembourg,Luxembourg
Cyprus,Cyprus
Greece,Greece
Sudan,Sudan
Romania,Romania
Frenc.Polynesia,Frenc.Polynesia
Zimbabwe,Zimbabwe
Taiwan,Taiwan
Tonga,Tonga
Norway,Norway
New Caledonia,New Caledonia
Myanmar,Myanmar
Colombia,Colombia
Israel,Israel
Dominica,Dominica
Malaysia,Malaysia
Bahamas,Bahamas
Palau,Palau
Macau,Macau
Spain,Spain
Barbados,Barbados
Congo,Congo
Armenia,Armenia
Finland,Finland
Ethiopia,Ethiopia
Saint Lucia,Saint Lucia
Netherlands,Netherlands
South Africa,South Africa
Croatia,Croatia
Albania,Albania
Ireland,Ireland
Serbia,Serbia
Montenegro,Montenegro
Kiribati,Kiribati
Bolivia,Bolivia
Vanuatu,Vanuatu
Liberia,Liberia
Mauritius,Mauritius
Yemen,Yemen
Tokelau,Tokelau
Australia,Australia
Paraguay,Paraguay
France,France
Other,Other
Chile,Chile
Pakistan,Pakistan
Cayman Islands,Cayman Islands
Djibouti,Djibouti
Latvia,Latvia
Martinique,Martinique
Monaco,Monaco
Denmark,Denmark
Guatemala,Guatemala
Palestine,Palestine
Lithuania,Lithuania
Russian Fed.,Russian Fed.
Saudi Arabia,Saudi Arabia
Lesotho,Lesotho
Cambodia,Cambodia
Jordan,Jordan
Vietnam,Vietnam
Tajikstan,Tajikstan
Micronesia,Micronesia
Turkmenistan,Turkmenistan
Jamaica,Jamaica
Belarus,Belarus
Kuwait,Kuwait
St. Barthélemy,St. Barthélemy
Uruguay,Uruguay
Dem. Rep. Congo,Dem. Rep. Congo
Sweden,Sweden
Kyrgyzstan,Kyrgyzstan
Niue,Niue
Central Afr.Rep,Central Afr.Rep
Marshall Is.,Marshall Is.
Eritrea,Eritrea
Suriname,Suriname
Guinea,Guinea
Slovakia,Slovakia
Azerbaijan,Azerbaijan
Bosnia-Herz.,Bosnia-Herz.
Belize,Belize
Bermuda,Bermuda
Panama,Panama
Switzerland,Switzerland
South Sudan,South Sudan
Czech Republic,Czech Republic
Haiti,Haiti
USA,USA
Curaçao,Curaçao
St. Vincent,St. Vincent
Grenada,Grenada
Germany,Germany
Libya,Libya
Oman,Oman
Mozambique,Mozambique
Sri Lanka,Sri Lanka
Uzbekistan,Uzbekistan
Sierra Leone,Sierra Leone
Kosovo,Kosovo
Maldives,Maldives
Iraq,Iraq
Zambia,Zambia
Burkina Faso,Burkina Faso
Egypt,Egypt
West Sahara,West Sahara
Senegal,Senegal
United Kingdom,United Kingdom
Costa Rica,Costa Rica
St Kitts&Nevis,St Kitts&Nevis
Iceland,Iceland
North Macedonia,North Macedonia
Moldova,Moldova
St. Helena,St. Helena
Kazakhstan,Kazakhstan
Thailand,Thailand
Hungary,Hungary
Philippines,Philippines
Guinea-Bissau,Guinea-Bissau
"S.Tome,Principe","S.Tome,Principe"
Cuba,Cuba
Argentina,Argentina
Tuvalu,Tuvalu
Anguilla,Anguilla
South Korea,South Korea
Namibia,Namibia
Guadeloupe,Guadeloupe
Ukraine,Ukraine
Angola,Angola
Andorra,Andorra
Saint Martin,Saint Martin
Liechtenstein,Liechtenstein
Benin,Benin
Botswana,Botswana
Cocos (Keeling),Cocos (Keeling)
Tanzania,Tanzania
Georgia,Georgia
Solomon Islands,Solomon Islands
Belgium,Belgium
Mali,Mali
Syria,Syria
Burundi,Burundi
Dominican Rep.,Dominican Rep.
Japan,Japan
Niger,Niger
Christmas Is.,Christmas Is.
Portugal,Portugal
West Samoa,West Samoa
Peru,Peru
Lebanon,Lebanon
"Wallis,Futuna","Wallis,Futuna"
Turkey,Turkey
Turks & Caicos,Turks & Caicos
Equatorial Gui.,Equatorial Gui.
Slovenia,Slovenia
Falkland Is.,Falkland Is.
Togo,Togo
Malawi,Malawi
Laos,Laos
Canada,Canada
India,India
Venezuela,Venezuela
Algeria,Algeria
Tunisia,Tunisia
Ghana,Ghana
Comoros,Comoros
Bhutan,Bhutan
Cape Verde,Cape Verde
Uganda,Uganda
Gambia,Gambia
Brazil,Brazil
UAE,UAE
