2025-02-28 08:34:21,848 - __main__ - INFO - Starting 2023-based portfolio scoring...
2025-02-28 08:34:21,855 - __main__ - INFO - Loaded reference scores for 501 locations
2025-02-28 08:34:21,855 - __main__ - INFO - Loading data files...
2025-02-28 08:34:22,794 - __main__ - INFO - Loaded df_vols: 32937 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded mc_per_product: 10923 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded market_pmi: 1662 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded market_comp: 6057 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded pax_data: 82265 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded mrk_nat_map: 231 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded iata_location: 1011 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded similarity_file: 8536 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded country_figures: 1332 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded dom_volumes: 16841 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded dom_products: 119733 rows
2025-02-28 08:34:22,795 - __main__ - INFO - Loaded selma_df_map: 114923 rows
2025-02-28 08:34:22,799 - __main__ - INFO - Calculating Category A scores (SKU Portfolio Optimization)...
2025-02-28 08:34:31,265 - __main__ - INFO - Category A calculation complete for 564 locations
2025-02-28 08:34:31,281 - __main__ - INFO - Calculating Category B scores (Segment Distribution)...
2025-02-28 08:34:31,285 - __main__ - WARNING - Error calculating Category B score for Cali: Found input variables with inconsistent numbers of samples: [5, 11]
2025-02-28 08:34:31,288 - __main__ - WARNING - Error calculating Category B score for Warsaw: Found input variables with inconsistent numbers of samples: [2, 12]
2025-02-28 08:34:31,290 - __main__ - WARNING - Error calculating Category B score for Ho Chi Minh: Found input variables with inconsistent numbers of samples: [4, 9]
2025-02-28 08:34:31,292 - __main__ - WARNING - Error calculating Category B score for Danang Downtown Shop: Found input variables with inconsistent numbers of samples: [4, 5]
2025-02-28 08:34:31,294 - __main__ - WARNING - Error calculating Category B score for Lyon Saint Exupery: Found input variables with inconsistent numbers of samples: [3, 15]
2025-02-28 08:34:31,296 - __main__ - WARNING - Error calculating Category B score for Amsterdam - Schiphol: Found input variables with inconsistent numbers of samples: [2, 1]
2025-02-28 08:34:31,298 - __main__ - WARNING - Error calculating Category B score for Incheon: Found input variables with inconsistent numbers of samples: [7, 30]
2025-02-28 08:34:31,301 - __main__ - WARNING - Error calculating Category B score for Los Cabos: Found input variables with inconsistent numbers of samples: [5, 15]
2025-02-28 08:34:31,312 - __main__ - WARNING - Error calculating Category B score for Banjul: Found input variables with inconsistent numbers of samples: [1, 10]
2025-02-28 08:34:31,319 - __main__ - WARNING - Error calculating Category B score for Busan - Kimhae (downtown): Found input variables with inconsistent numbers of samples: [7, 27]
2025-02-28 08:34:31,321 - __main__ - WARNING - Error calculating Category B score for Alicante: Found input variables with inconsistent numbers of samples: [2, 18]
2025-02-28 08:34:31,323 - __main__ - WARNING - Error calculating Category B score for Mudanjiang Hailang: Found input variables with inconsistent numbers of samples: [4, 29]
2025-02-28 08:34:31,326 - __main__ - WARNING - Error calculating Category B score for Mitilini: Found input variables with inconsistent numbers of samples: [2, 10]
