Location,Cat_A
Taipei - Taoyuan,5.61
Incheon,2.6
Dubai,4.49
Jeju,3.89
Tel-Aviv,6.01
Shanghai Pudong,4.17
Istanbul Airport,5.89
Doha,5.24
Kuwait,7.57
Tokyo - Narita,5.56
Antalya Airport,4.47
Hong Kong,6.39
Amman,6.93
Tokyo - Haneda,6.26
Osaka - Kansai,6.18
Beijing,6.17
Beirut - Rafik Hariri,5.76
Marrakech,7.38
Istanbul Asia Airport,7.29
Cairo,6.71
Everrich Downtown Kinmen,5.15
Tenerife,6.18
RIYADH,7.89
Guangzhou Baiyun,7.69
Addis Ababa,6.25
Palma De Mallorca,5.73
Muscat,5.98
Casablanca,7.21
Busan - Kimhae,3.19
Jeddah,6.14
Abu Dhabi,6.04
Alicante,7.34
Gran Canaria,5.81
Tunis,6.75
Paris Charles De Gaulle,7.51
Malaga,6.63
Barcelona,7.02
Zurich,6.27
Dalaman Airport,5.86
Manchester,6.85
Belgrade,7.4
Tirana,4.33
Hurgada,6.22
Kuala Lumpur,7.1
Cancun,8.06
Sharjah,6.14
Izmir Airport,7.05
Kaohsiung,5.9
Singapore - Changi,7.43
Gdansk,4.85
Krakow Balice,5.81
Riga,5.89
Roland Garros,4.53
Dublin,5.13
Agadir,6.61
Indira Gandhi,6.22
Paris Orly,7.07
Madrid Barajas,7.34
Monastir,5.21
London Heathrow,8.22
Warsaw,6.26
Punta Cana - Higuey,7.07
Fukuoka,5.68
London Gatwick,5.63
Port Louis,7.14
Geneva,6.57
Sofia,7.35
Fuerteventura,6.33
Fes,6.79
Shanghai Hongqiao,6.32
Baghdad,5.66
Chubu,6.06
Macau,7.14
DAMMAM,6.9
Frankfurt,6.7
Jerba,6.13
Ibiza,6.58
Seoul,2.92
Oslo,6.51
Amsterdam - Schiphol,6.41
Basel,5.28
Tangier,8.12
Rabat,7.59
Yerevan,2.42
Katowice,6.36
Ngurah Rai,8.94
Gibraltar,6.33
Hangzhou Xiaoshan,4.36
Athens,7.07
Rome Fiumicino,6.82
Marsa Aalam,6.86
Colombo,6.32
Wroclaw,6.26
PRISTINA,6.27
London Stansted,7.19
Mexico City,6.8
Johannesburg,6.15
Chattrapati Shivaji,5.97
Bodrum Airport,5.77
Skopje,6.61
Faro Airport,4.92
Hanoi,5.39
Milan - Malpensa,6.54
Kaunas,8.02
Birmingham,7.32
Salalah,4.97
Vilnius,7.27
Xiamen Gaoqi,6.4
Buenos Aires - Ezeiza,5.72
Daegu,4.22
Oujda,8.12
Male,5.18
Lisbon,5.52
Warsaw-Modlin,5.73
Sao Paulo - Guarulhos,6.84
Santiago Arturo Merino Benitez,7.23
Valencia,6.6
Tuzla,5.69
Ankara Airport,7.36
Bogota,5.96
Montego Bay,6.42
Ras El Khaymah,7.03
Kunming Wujiaba,5.71
Glasgow,7.0
Lima,6.84
Newcastle,5.82
Poznan-Lawica,5.98
Edinburgh,5.67
Brussels,6.43
Copenhagen,7.28
Pointe-a-Pitre,6.78
Danang,7.12
Rhodes,6.29
Liverpool,6.12
Sharm El Sheikh,7.21
Fort-de-France,6.49
Prague,5.85
Munich,6.49
Espargos,6.36
Jomo Kenyatta,6.3
London Luton,5.59
Pamandzi,6.58
Porto,7.36
Erbil International Airport,6.04
Rzeszow,6.62
Bristol,5.3
Leopold Sedar Senghar,7.19
Enfidha,5.46
Chengdu Tianfu,4.75
Sevilla,4.16
Tbilisi,5.86
Baku,5.85
Vienna,5.12
Mahon Airport,6.2
Ho Chi Minh,5.02
Soekarno Hatta,8.43
Xian Xianyang,5.79
Chitose,6.45
Santo Domingo Las Americas,6.79
Curacao,5.49
Qingdao Liuting,5.23
Rio de Janeiro,8.43
Basrah,4.74
Lyon Saint Exupery,6.18
Berlin Brandenburg,5.3
Stockholm Arlanda,8.12
Phnom Penh,7.36
Corfu,6.08
Heraklion Airport,5.1
Marseille,8.06
Duesseldorf,5.6
Jersey,6.4
Leeds Bradford,7.11
Shannon,5.5
Oranjestad,7.52
Cape Town,4.81
Panama Tocumen,5.39
Stavanger,7.52
Sandefjord-Torp,5.87
Urumchi Diwobao,7.24
Cheongju,5.73
Bydgoszcz,5.57
Nice,9.02
Taichung,7.16
East Midlands,3.92
Hyderabad,6.76
Shenyang Taoxian,5.66
Naples,4.76
Gerona,6.15
Vientiane,6.75
Bourgas,6.8
Togo,5.36
Cam Ranh,7.24
Puerto Vallarta,7.44
Reus,6.2
Bangalore,5.3
Zakynthos,6.34
Venice,6.97
Hamburg,5.43
Thessaloniki,5.15
Nador,7.19
Kos,6.76
Los Cabos,6.76
Lublin,7.07
Murcia,8.0
Medina,6.15
Cork,4.17
Chongqing Jiangbei,5.3
San Salvador Comalapa,6.07
Rabil,7.84
Sarajevo,5.84
Shenzhen Bao'an,6.48
Abidjan,8.54
Zia,5.16
Bergen,6.16
Bergamo,5.86
Guayaquil,7.14
Alexandria,7.14
Nis,5.42
Szczecin,6.08
Guadalajara,8.14
Billund,7.17
Wuhan Tianhe,5.31
Guernsey,6.09
Quito,7.08
Tashkent,5.67
Santiago Cibao,5.63
Bridgetown,5.66
Zanzibar,8.15
Kutaisi,7.06
Toulouse,6.78
Essaouira,7.39
Guatemala City,5.83
Batumi,4.89
Bamako,7.21
Kayseri Airport,6.22
Yanji Zhaoyangchuan,9.42
Podgorica,6.99
