Location,Cat_B
Taipei - Taoyuan,0.07
Incheon,0.0
Dubai,3.92
Jeju,0.28
Tel-Aviv,5.88
Shanghai Pudong,1.76
Istanbul Airport,6.15
Doha,9.53
Kuwait,8.43
Tokyo - Narita,2.85
Antalya Airport,5.52
Hong Kong,0.8
Amman,6.55
Tokyo - Haneda,10.0
Osaka - Kansai,3.41
Beijing,1.32
Beirut - Rafik Hariri,10.0
Marrakech,6.67
Istanbul Asia Airport,6.31
Cairo,6.21
Everrich Downtown Kinmen,0.43
Tenerife,6.02
RIYADH,8.45
Guangzhou Baiyun,3.85
Addis Ababa,9.33
Palma De Mallorca,3.8
Muscat,10.0
Casablanca,7.37
Busan - Kimhae,0.2
Jeddah,8.6
Abu Dhabi,9.4
Alicante,6.38
Gran Canaria,6.63
Tunis,7.57
Paris Charles De Gaulle,7.02
Malaga,5.55
Barcelona,4.16
Zurich,8.34
Dalaman Airport,5.29
Manchester,5.65
Belgrade,4.02
Tirana,6.8
Hurgada,9.92
Kuala Lumpur,5.33
Cancun,7.48
Sharjah,7.5
Izmir Airport,5.53
Kaohsiung,0.51
Singapore - Changi,10.0
Gdansk,10.0
Krakow Balice,10.0
Riga,9.48
Roland Garros,7.3
Dublin,5.83
Agadir,7.4
Indira Gandhi,9.87
Paris Orly,7.72
Madrid Barajas,3.39
Monastir,10.0
London Heathrow,5.96
Warsaw,9.02
Punta Cana - Higuey,6.16
Fukuoka,3.55
London Gatwick,4.67
Port Louis,9.85
Geneva,7.45
Sofia,1.83
Fuerteventura,6.43
Fes,7.66
Shanghai Hongqiao,0.9
Baghdad,9.98
Chubu,3.63
Macau,1.83
DAMMAM,8.5
Frankfurt,9.65
Jerba,7.89
Ibiza,4.76
Seoul,0.04
Oslo,10.0
Amsterdam - Schiphol,9.71
Basel,8.77
Tangier,7.93
Rabat,7.23
Yerevan,3.38
Katowice,10.0
Ngurah Rai,3.82
Gibraltar,10.0
Hangzhou Xiaoshan,2.18
Athens,6.89
Rome Fiumicino,7.34
Marsa Aalam,9.76
Colombo,5.64
Wroclaw,10.0
PRISTINA,10.0
London Stansted,6.05
Mexico City,6.57
Johannesburg,6.66
Chattrapati Shivaji,10.0
Bodrum Airport,5.97
Skopje,10.0
Faro Airport,6.56
Hanoi,0.38
Milan - Malpensa,6.4
Kaunas,10.0
Birmingham,5.16
Salalah,9.66
Vilnius,9.29
Xiamen Gaoqi,3.2
Buenos Aires - Ezeiza,8.88
Daegu,0.0
Oujda,7.26
Male,10.0
Lisbon,7.56
