Location,Cat_C
Taipei - Taoyuan,7.41
Incheon,4.62
Dubai,3.86
Jeju,2.48
Tel-Aviv,8.83
Shanghai Pudong,1.66
Istanbul Airport,8.54
Doha,5.14
Kuwait,7.62
Tokyo - Narita,7.02
Antalya Airport,8.05
Hong Kong,7.14
Amman,9.54
Tokyo - Haneda,7.57
Osaka - Kansai,6.5
Beijing,2.72
Beirut - Rafik Hariri,3.21
Marrakech,10.0
Istanbul Asia Airport,7.24
Cairo,5.05
Everrich Downtown Kinmen,0.0
Tenerife,9.38
RIYADH,5.6
Guangzhou Baiyun,5.06
Addis Ababa,9.15
Palma De Mallorca,7.67
Muscat,4.38
Casablanca,9.77
Busan - Kimhae,3.1
Jeddah,5.82
Abu Dhabi,4.89
Alicante,8.22
Gran Canaria,9.05
Tunis,4.79
Paris Charles De Gaulle,6.47
Malaga,7.24
Barcelona,8.22
Zurich,9.09
Dalaman Airport,9.63
Manchester,5.37
Belgrade,2.46
Tirana,5.84
Hurgada,7.83
Kuala Lumpur,4.99
Cancun,5.73
Sharjah,4.56
Izmir Airport,9.08
Kaohsiung,7.65
Singapore - Changi,5.24
Gdansk,6.28
Krakow Balice,7.11
Riga,4.22
Roland Garros,8.26
Dublin,7.57
Agadir,9.39
Indira Gandhi,2.75
Paris Orly,8.83
Madrid Barajas,7.83
Monastir,4.21
London Heathrow,5.49
Warsaw,5.68
Punta Cana - Higuey,7.23
Fukuoka,5.89
London Gatwick,6.94
Port Louis,8.9
Geneva,7.23
Sofia,0.97
Fuerteventura,7.69
Fes,9.36
Shanghai Hongqiao,1.27
Baghdad,0.72
Chubu,8.68
Macau,3.84
DAMMAM,7.05
Frankfurt,6.58
Jerba,6.21
Ibiza,6.6
Seoul,4.76
Oslo,4.39
Amsterdam - Schiphol,8.31
Basel,9.26
Tangier,9.94
Rabat,10.0
Yerevan,1.53
Katowice,5.44
Ngurah Rai,4.71
Gibraltar,7.52
Hangzhou Xiaoshan,1.48
Athens,3.42
Rome Fiumicino,7.4
Marsa Aalam,0.63
Colombo,0.55
Wroclaw,5.14
PRISTINA,2.69
London Stansted,8.04
Mexico City,6.09
Johannesburg,6.21
