Location,Cat_D
Taipei - Taoyuan,1.42
Incheon,1.78
Dubai,8.41
Jeju,1.22
Tel-Aviv,7.3
Shanghai Pudong,2.27
Istanbul Airport,8.38
Doha,7.18
Kuwait,9.42
Tokyo - Narita,4.94
Antalya Airport,8.74
Hong Kong,0.05
Amman,9.84
Tokyo - Haneda,5.39
Osaka - Kansai,5.47
Beijing,2.42
Beirut - Rafik Hariri,8.59
Marrakech,8.71
Istanbul Asia Airport,8.06
Cairo,7.81
Everrich Downtown Kinmen,0.54
Tenerife,0.34
RIYADH,0.0
Guangzhou Baiyun,3.66
Addis Ababa,9.77
Palma De Mallorca,8.11
Muscat,8.11
Casablanca,7.45
Busan - Kimhae,0.64
Jeddah,8.89
Abu Dhabi,8.94
Alicante,8.72
Gran Canaria,7.44
Tunis,7.68
Paris Charles De Gaulle,9.84
Malaga,9.63
Barcelona,3.39
Zurich,8.66
Dalaman Airport,6.71
Manchester,6.37
Belgrade,9.29
Tirana,7.68
Hurgada,7.17
Kuala Lumpur,3.76
Cancun,8.79
Sharjah,6.78
Izmir Airport,8.89
Kaohsiung,1.23
Singapore - Changi,1.93
Gdansk,10.0
Krakow Balice,10.0
Riga,6.4
Roland Garros,7.57
Dublin,4.2
Agadir,8.39
Indira Gandhi,9.48
Paris Orly,10.0
Madrid Barajas,6.1
Monastir,9.11
London Heathrow,8.44
Warsaw,9.2
Punta Cana - Higuey,9.19
Fukuoka,5.15
London Gatwick,6.54
Port Louis,9.85
Geneva,8.96
Sofia,9.53
Fuerteventura,8.75
Fes,8.87
Shanghai Hongqiao,1.69
Baghdad,1.5
Chubu,5.88
Macau,2.16
DAMMAM,0.74
Frankfurt,9.42
Jerba,7.93
Ibiza,9.36
Seoul,1.22
Oslo,8.68
Amsterdam - Schiphol,9.92
Basel,9.21
Tangier,8.42
Rabat,8.22
Yerevan,9.92
Katowice,10.0
Ngurah Rai,6.0
Gibraltar,10.0
Hangzhou Xiaoshan,1.54
Athens,9.29
Rome Fiumicino,9.56
Marsa Aalam,0.5
Colombo,0.0
Wroclaw,10.0
PRISTINA,9.84
London Stansted,6.42
Mexico City,8.53
Johannesburg,9.53
Chattrapati Shivaji,9.31
Bodrum Airport,7.57
Skopje,9.49
Faro Airport,7.86
Hanoi,2.94
Milan - Malpensa,8.15
Kaunas,9.9
Birmingham,6.32
Salalah,8.83
Vilnius,0.0
Xiamen Gaoqi,3.9
Buenos Aires - Ezeiza,9.57
Daegu,0.51
Oujda,9.06
Male,8.64
Lisbon,8.4
Warsaw-Modlin,10.0
Sao Paulo - Guarulhos,8.22
Santiago Arturo Merino Benitez,7.46
Valencia,8.91
Tuzla,0.36
Ankara Airport,8.56
Bogota,8.41
Montego Bay,9.21
Ras El Khaymah,9.31
Kunming Wujiaba,1.9
Glasgow,6.63
Lima,9.16
Newcastle,6.02
Poznan-Lawica,9.67
Edinburgh,6.88
Brussels,10.0
Copenhagen,7.79
Pointe-a-Pitre,8.85
Danang,3.05
Rhodes,8.83
Liverpool,5.54
Sharm El Sheikh,7.98
Fort-de-France,10.0
Prague,8.98
Munich,10.0
Espargos,6.74
Jomo Kenyatta,9.12
London Luton,4.53
Pamandzi,9.28
Porto,8.7
Erbil International Airport,0.0
Rzeszow,9.3
Bristol,7.12
Leopold Sedar Senghar,8.17
Enfidha,9.03
Chengdu Tianfu,0.07
Sevilla,2.3
Tbilisi,8.71
Baku,9.15
Vienna,6.95
Mahon Airport,8.66
Ho Chi Minh,2.62
Soekarno Hatta,7.49
Xian Xianyang,2.08
Chitose,6.26
Santo Domingo Las Americas,7.22
Curacao,9.23
Qingdao Liuting,3.02
Rio de Janeiro,8.98
Basrah,2.4
Lyon Saint Exupery,8.28
Berlin Brandenburg,7.62
Stockholm Arlanda,10.0
Phnom Penh,2.71
Corfu,9.86
Heraklion Airport,8.4
Marseille,9.34
Duesseldorf,8.55
Jersey,2.56
Leeds Bradford,4.27
Shannon,10.0
Oranjestad,9.69
Cape Town,7.75
Panama Tocumen,8.27
Stavanger,8.96
Sandefjord-Torp,8.71
