Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_D,Avg_Score
Konya Airport,6.87,5.0,0.0,81.0,8.059718228480742,,7.464859114240371
Paris Charles De Gaulle,6.67,4.0,2.0,69.0,10.0,10.0,8.89
Hohhot Baita,6.71,1.0,0.0,82.0,10.0,9.38,8.696666666666667
Ngurah Rai,6.76,4.0,0.0,140.0,9.96331188355975,0.47,5.731103961186584
Manchester,6.49,0.0,2.0,76.0,0.0,3.39,3.2933333333333334
Warsaw,6.83,3.0,0.0,62.0,0.0,,3.415
Incheon,6.08,0.0,14.0,158.0,9.638618444531948,0.23,5.316206148177316
Dubai,6.57,11.0,9.0,253.0,8.819849319184673,10.0,8.463283106394892
Marrakech,6.43,8.0,12.0,223.0,9.97810923701457,0.0,5.469369745671524
Tangier,6.6,8.0,6.0,196.0,9.989729518358878,0.6,5.729909839452961
DAMMAM,6.77,3.0,0.0,94.0,10.0,1.75,6.173333333333333
Izmir Airport,6.82,17.0,0.0,370.0,9.624082882997323,,8.22204144149866
Chitose,4.94,0.0,7.0,27.0,0.0,,2.47
Komatsu,4.76,0.0,2.0,7.0,0.0,,2.38
Osaka - Kansai,6.58,0.0,3.0,235.0,5.081883479516199,,5.830941739758099
Jeddah,6.45,3.0,5.0,110.0,10.0,,8.225
Hannover,6.79,2.0,0.0,53.0,0.0,,3.395
Changsha Huanghua,6.52,0.0,2.0,92.0,9.448638294849015,9.76,8.576212764949672
Gabon,6.79,2.0,0.0,56.0,0.0,0.12,2.3033333333333332
Chengdu Tianfu,6.52,0.0,2.0,91.0,7.524976896202798,0.13,4.724992298734266
Taipei - Taoyuan,5.89,0.0,5.0,43.0,9.970030221692188,1.75,5.870010073897396
Lagos,6.83,3.0,0.0,60.0,10.0,7.8,8.209999999999999
Samana El Catey,6.85,3.0,0.0,56.0,10.0,,8.425
Banjul,6.9,2.0,0.0,28.0,0.0,,3.45
Casablanca,6.47,7.0,10.0,226.0,9.973674461833982,0.12,5.5212248206113275
Athens,6.26,3.0,7.0,90.0,10.0,7.67,7.976666666666667
Santo Domingo Las Americas,6.8,5.0,0.0,122.0,9.644460176964877,8.55,8.33148672565496
Istanbul Airport,6.79,10.0,0.0,278.0,0.0,,3.395
Mexico City,6.84,8.0,0.0,150.0,9.870943455145348,,8.355471727572674
Faro Airport,6.74,1.0,0.0,48.0,0.0,,3.37
Zakynthos,5.44,0.0,11.0,60.0,0.0,1.14,2.1933333333333334
Jeju,6.06,0.0,13.0,142.0,9.73857357314902,1.25,5.68285785771634
Ouarzazate,6.83,6.0,0.0,126.0,10.0,10.0,8.943333333333333
RIYADH,6.81,4.0,0.0,96.0,9.99964107742663,5.55,7.453213692475543
Weihai Dashuibo,6.75,2.0,0.0,79.0,9.962916170786002,5.7,7.470972056928667
Pisa,6.85,2.0,0.0,36.0,0.0,10.0,5.616666666666667
Bogota,6.84,6.0,0.0,117.0,9.903834942592178,1.21,5.984611647530727
