Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Konya Airport,6.87,5.0,0.0,81.0,8.059718228480742,7.95,,7.626572742826913
Paris Charles De Gaulle,6.67,4.0,2.0,69.0,10.0,9.98,10.0,9.162500000000001
Hohhot Baita,6.71,1.0,0.0,82.0,10.0,0.0,9.38,6.522500000000001
Ngurah Rai,6.76,4.0,0.0,140.0,9.96331188355975,9.98,0.47,6.793327970889938
Manchester,6.49,0.0,2.0,76.0,0.0,9.86,3.39,4.9350000000000005
Warsaw,6.83,3.0,0.0,62.0,0.0,,,3.415
Incheon,6.08,0.0,14.0,158.0,9.638618444531943,9.98,0.23,6.482154611132986
Dubai,6.57,11.0,9.0,253.0,8.819849319184673,9.96,10.0,8.837462329796168
Marrakech,6.43,8.0,12.0,223.0,9.978109237014568,9.89,0.0,6.574527309253642
Tangier,6.6,8.0,6.0,196.0,9.989729518358878,9.84,0.6,6.75743237958972
DAMMAM,6.77,3.0,0.0,94.0,10.0,9.35,1.75,6.967499999999999
Izmir Airport,6.82,17.0,0.0,370.0,9.624082882997326,9.51,,8.651360960999108
Chitose,4.94,0.0,7.0,27.0,0.0,9.99,,4.976666666666667
Komatsu,4.76,0.0,2.0,7.0,0.0,0.0,,1.5866666666666667
Osaka - Kansai,6.58,0.0,3.0,235.0,5.081883479516199,9.75,,7.1372944931720665
Jeddah,6.45,3.0,5.0,110.0,10.0,9.42,,8.623333333333333
Hannover,6.79,2.0,0.0,53.0,0.0,9.94,,5.576666666666667
Changsha Huanghua,6.52,0.0,2.0,92.0,9.448638294849015,9.96,9.76,8.922159573712253
Gabon,6.79,2.0,0.0,56.0,0.0,9.95,0.12,4.215
Chengdu Tianfu,6.52,0.0,2.0,91.0,7.524976896202798,0.0,0.13,3.5437442240506996
Taipei - Taoyuan,5.89,0.0,5.0,43.0,9.970030221692188,9.93,1.75,6.885007555423047
Lagos,6.83,3.0,0.0,60.0,10.0,9.72,7.8,8.587499999999999
Samana El Catey,6.85,3.0,0.0,56.0,10.0,0.0,,5.616666666666667
Banjul,6.9,2.0,0.0,28.0,0.0,9.86,,5.586666666666666
Casablanca,6.47,7.0,10.0,226.0,9.97367446183398,9.9,0.12,6.615918615458495
Athens,6.26,3.0,7.0,90.0,10.0,9.8,7.67,8.4325
Santo Domingo Las Americas,6.8,5.0,0.0,122.0,9.644460176964873,9.84,8.55,8.708615044241219
Istanbul Airport,6.79,10.0,0.0,278.0,0.0,9.89,,5.56
Mexico City,6.84,8.0,0.0,150.0,9.870943455145348,9.85,,8.853647818381782
Faro Airport,6.74,1.0,0.0,48.0,0.0,9.99,,5.576666666666667
Zakynthos,5.44,0.0,11.0,60.0,0.0,9.33,1.14,3.9775
Jeju,6.06,0.0,13.0,142.0,9.738573573149019,10.0,1.25,6.762143393287254
Ouarzazate,6.83,6.0,0.0,126.0,10.0,0.0,10.0,6.7075
RIYADH,6.81,4.0,0.0,96.0,9.99964107742663,9.25,5.55,7.902410269356658
Weihai Dashuibo,6.75,2.0,0.0,79.0,9.962916170785999,0.0,5.7,5.6032290426964995
Pisa,6.85,2.0,0.0,36.0,0.0,9.63,10.0,6.62
Bogota,6.84,6.0,0.0,117.0,9.903834942592178,9.81,1.21,6.940958735648046
Santorini,5.38,2.0,11.0,52.0,0.0,9.02,9.0,5.85
Colombo,6.7,1.0,0.0,116.0,9.999999999999996,0.0,,5.5666666666666655
Lyon Saint Exupery,6.77,4.0,1.0,67.0,10.0,9.95,4.9,7.904999999999999
Changzhou Benniu,6.91,6.0,0.0,81.0,,0.0,,3.455
Istanbul Asia Airport,6.8,15.0,0.0,370.0,8.498638952749872,10.0,10.0,8.824659738187467
Diyarbakir Airport,6.84,11.0,0.0,212.0,8.533975562171115,9.95,,8.44132518739037
Asuncion Silvio Petterossi,6.85,1.0,0.0,18.0,0.0,9.24,,5.363333333333333
Valencia,6.5,3.0,3.0,59.0,0.0,9.89,,5.463333333333334
Erbil International Airport,5.0,0.0,5.0,20.0,0.0,9.74,,4.913333333333333
Alexandoupolis,5.71,1.0,8.0,52.0,0.0,0.0,,1.9033333333333333
Essaouira,6.84,7.0,0.0,138.0,9.985785323847452,0.0,,5.60859510794915
Oranjestad,6.8,6.0,0.0,152.0,9.154446465949409,9.92,1.97,6.9611116164873525
Ibiza,6.46,2.0,3.0,64.0,0.0,9.98,,5.48
Hurgada,6.72,2.0,0.0,116.0,0.0,9.95,0.0,4.1674999999999995
Shenyang Taoxian,6.48,1.0,3.0,91.0,9.887394009788114,9.95,0.02,6.584348502447028
Ho Chi Minh,6.67,0.0,0.0,33.0,0.0,9.96,10.0,6.657500000000001
Reus,6.26,1.0,3.0,41.0,0.0,9.85,,5.37
Wenzhou Longwan,6.55,1.0,2.0,86.0,4.7008795448836445,10.0,0.88,5.532719886220911
Tokyo - Narita,6.55,1.0,3.0,141.0,9.513909961100751,9.94,0.08,6.520977490275188
Agadir,6.43,9.0,12.0,215.0,9.983407241514248,9.92,,8.777802413838083
Gdansk,6.81,2.0,0.0,48.0,0.0,9.94,10.0,6.6875
Ixtapa Zihuatanejo,6.86,5.0,0.0,86.0,9.848042865069353,9.16,10.0,8.967010716267339
Bournemouth,6.22,0.0,3.0,45.0,0.0,9.97,,5.396666666666667
Gaziantep Airport,6.85,11.0,0.0,202.0,8.920204851154985,9.98,10.0,8.937551212788746
Prague,6.07,1.0,3.0,28.0,0.0,9.89,,5.32
Medellin Jose Maria Cordova,5.08,1.0,10.0,40.0,0.0,8.83,,4.636666666666667
Gran Canaria,6.76,2.0,0.0,69.0,0.0,9.95,,5.57
Hong Kong,6.21,1.0,5.0,65.0,9.991764611272654,9.97,,8.723921537090886
Leopold Sedar Senghar,6.72,3.0,1.0,63.0,0.0,10.0,1.01,4.4325
Hefei Xinqiao,6.63,1.0,1.0,85.0,6.541016363962926,0.0,8.71,5.470254090990732
Thessaloniki,5.98,3.0,9.0,73.0,0.0,9.58,,5.1866666666666665
Nuernberg,6.86,3.0,0.0,52.0,0.0,9.98,,5.613333333333333
Antalya Airport,6.78,12.0,0.0,369.0,9.68001793959478,10.0,,8.820005979864927
Taichung,6.03,0.0,4.0,42.0,9.964350742284715,0.0,,5.331450247428239
Belo Horizonte,6.85,5.0,0.0,92.0,9.998608763341059,9.81,,8.886202921113686
Male,5.33,0.0,8.0,40.0,0.0,9.6,,4.976666666666667
Busan - Kimhae,6.02,0.0,14.0,144.0,9.848798862191199,10.0,,8.622932954063733
Lanzarote,6.76,2.0,0.0,70.0,0.0,9.96,,5.573333333333333
Tenerife,6.76,2.0,0.0,71.0,0.0,9.8,,5.5200000000000005
Wuxi Shuofang,6.71,1.0,0.0,81.0,10.0,0.0,9.13,6.460000000000001
Hanoi,5.4,0.0,8.0,42.0,0.0,9.93,10.0,6.3325
Zhengzhou Xinzheng,5.65,0.0,16.0,105.0,2.5301140074920574,9.88,9.35,6.8525285018730155
Zurich,6.27,3.0,10.0,143.0,10.0,9.94,0.0,6.5525
Kuwait,6.05,8.0,19.0,163.0,9.937619137795632,9.98,,8.655873045931878
Guadalajara,6.86,6.0,0.0,104.0,9.90091667072798,9.8,,8.85363889024266
Medina,6.87,5.0,0.0,81.0,10.0,0.0,,5.623333333333334
Melbourne,6.76,2.0,0.0,74.0,0.0,10.0,,5.586666666666666
Xuzhou Guanyin,6.75,2.0,0.0,80.0,3.077488644949546,0.0,,3.2758295483165156
Beijing,5.91,1.0,12.0,101.0,6.270890112579698,,,6.090445056289849
Naples,6.04,2.0,6.0,53.0,0.0,9.82,1.21,4.2675
Skopje,6.8,3.0,0.0,73.0,0.0,9.59,0.0,4.0975
Ningbo Lishe,6.2,1.0,7.0,93.0,0.0946555759218226,10.0,9.64,6.483663893980456
Doha,5.05,1.0,18.0,72.0,0.0,9.97,,5.006666666666667
Batumi,6.83,2.0,0.0,41.0,0.0,0.0,,2.276666666666667
Daegu,6.13,1.0,10.0,119.0,8.336940756877883,10.0,,8.155646918959294
Aktio,6.05,1.0,4.0,38.0,0.0,0.0,,2.0166666666666666
Xian Xianyang,6.49,1.0,3.0,92.0,9.820119889565184,9.97,3.05,7.3325299723912964
Chattrapati Shivaji,5.05,0.0,9.0,37.0,0.0,9.67,,4.906666666666666
Sharm El Sheikh,6.78,4.0,0.0,115.0,0.0,9.93,7.96,6.1675
Bergamo,6.86,3.0,0.0,52.0,0.0,9.53,0.88,4.3175
Fukuoka,6.51,0.0,3.0,130.0,9.463165452712053,9.94,,8.637721817570684
Madrid Barajas,6.83,4.0,0.0,83.0,0.0,9.96,1.27,4.515
Munich,6.35,4.0,5.0,64.0,0.0,10.0,10.0,6.5875
Bodrum Airport,6.75,9.0,0.0,341.0,9.614513125115275,9.54,1.4,6.826128281278818
Geneva,6.41,6.0,9.0,157.0,10.0,9.97,,8.793333333333335
Hyderabad,5.18,1.0,9.0,38.0,0.0,9.33,,4.836666666666667
Sofia,6.75,1.0,0.0,42.0,0.0,9.39,10.0,6.535
Suleymania Airport,6.81,1.0,0.0,24.0,0.0,9.52,,5.4433333333333325
Sao Paulo - Guarulhos,6.85,7.0,0.0,126.0,9.997073720896703,9.89,8.6,8.834268430224176
Manama,6.74,4.0,0.0,187.0,5.513025756141752,7.98,,6.744341918713918
Chubu,6.58,0.0,2.0,157.0,8.980981121470355,9.95,,8.503660373823452
Viracopos,6.85,6.0,0.0,107.0,9.99811370594323,9.57,,8.806037901981076
Stuttgart,6.88,3.0,0.0,48.0,0.0,9.98,0.02,4.22
Amman,6.02,7.0,20.0,170.0,9.999999999999996,9.96,,8.659999999999998
Port Louis,5.24,1.0,2.0,7.0,0.0,9.82,,5.0200000000000005
Abu Dhabi,5.75,7.0,24.0,149.0,9.624509661011393,7.52,0.23,5.781127415252848
Salalah,6.73,1.0,0.0,53.0,0.0,10.0,,5.576666666666667
Sendai,4.89,0.0,4.0,15.0,0.0,0.0,,1.63
Shanghai Pudong,5.93,0.0,11.0,99.0,3.5696188978475636,9.99,7.51,6.74990472446189
Tel-Aviv,5.42,1.0,5.0,24.0,0.0,9.91,,5.11
Aqaba,6.86,5.0,0.0,88.0,10.0,0.0,,5.62
Cancun,6.84,8.0,0.0,153.0,9.858803368436806,9.79,6.6,8.272200842109202
Doncaster,7.32,8.0,0.0,41.0,,0.0,,3.66
Fes,6.51,7.0,8.0,186.0,9.997759779033991,9.93,,8.81258659301133
La Romana,6.83,3.0,0.0,63.0,9.969498785535677,9.42,3.07,7.322374696383919
Adana Airport,6.87,5.0,0.0,84.0,9.159195623169555,9.88,0.1,6.50229890579239
Dalaman Airport,6.79,10.0,0.0,263.0,0.0,10.0,,5.596666666666667
Katima Mulilo,4.76,0.0,2.0,7.0,0.0,0.0,,1.5866666666666667
Qingdao Liuting,6.05,0.0,9.0,97.0,9.875638614121309,9.98,,8.635212871373769
Port-au-Prince (Haiti),6.76,1.0,0.0,35.0,0.0,9.67,,5.476666666666667
Amritsar,4.87,0.0,7.0,26.0,0.0,9.63,,4.833333333333333
Sharjah,5.78,6.0,22.0,143.0,9.304957000175841,10.0,,8.361652333391946
Malaga,6.48,2.0,3.0,73.0,0.0,9.95,,5.476666666666667
Marsa Aalam,6.73,2.0,0.0,111.0,0.0,0.0,0.12,1.7125000000000001
Urumchi Diwobao,6.48,1.0,3.0,89.0,9.998428366126324,0.0,,5.492809455375441
Manas,6.15,3.0,8.0,84.0,0.0,3.05,,3.0666666666666664
Dar Es Salaam,6.5,3.0,3.0,59.0,10.0,9.95,,8.816666666666666
Almaty,5.0,1.0,6.0,22.0,0.0,9.37,,4.79
Punta Cana - Higuey,6.78,6.0,0.0,171.0,9.822873512533823,9.92,4.46,7.745718378133455
Frankfurt,6.82,4.0,0.0,88.0,0.0,9.95,10.0,6.6925
Yanji Zhaoyangchuan,6.54,1.0,2.0,82.0,0.0,10.0,,5.513333333333333
Ankara Airport,6.84,17.0,0.0,324.0,9.520905262573255,9.5,4.71,7.642726315643314
Jomo Kenyatta,6.42,5.0,6.0,93.0,9.993496647525236,9.75,,8.721165549175078
Oujda,6.55,6.0,6.0,176.0,9.998636898988897,9.93,0.47,6.737159224747224
Sevilla,6.44,2.0,3.0,58.0,0.0,9.84,,5.426666666666667
Phnom Penh,6.75,3.0,0.0,126.0,4.27526805025105,9.99,0.16,5.293817012562763
Rome Fiumicino,6.87,4.0,0.0,66.0,0.0,9.95,,5.6066666666666665
Shanghai Hongqiao,6.1,0.0,8.0,94.0,6.633158459977885,0.0,0.72,3.3632896149944713
St. Maarten Princess Juliana,5.76,2.0,4.0,22.0,0.0,0.0,,1.92
Trabzon Airport,6.84,5.0,0.0,99.0,5.385317051936381,8.87,10.0,7.773829262984095
Almeria,6.36,2.0,3.0,43.0,0.0,9.97,0.51,4.210000000000001
Monastir,6.39,4.0,8.0,144.0,9.992678311146388,4.1,,6.827559437048795
Puerto Vallarta,6.84,6.0,0.0,114.0,9.836285392949014,9.74,,8.805428464316337
Jinan Xiaoqiang,6.67,0.0,0.0,87.0,5.902590285782189,0.0,9.9,5.618147571445547
Mykonos,5.53,1.0,8.0,44.0,0.0,9.58,3.5,4.6525
Lublin,6.82,2.0,0.0,43.0,0.0,0.0,,2.2733333333333334
Florence,6.86,3.0,0.0,51.0,0.0,9.58,,5.48
Kunming Wujiaba,6.16,1.0,8.0,98.0,9.994041871579237,9.99,3.84,7.49601046789481
Puerto Plata,6.82,5.0,0.0,106.0,9.110832688288363,9.86,1.72,6.87770817207209
Bangalore,6.18,1.0,7.0,89.0,10.0,9.79,,8.656666666666666
Seoul,5.74,0.0,19.0,136.0,8.5405266339764,10.0,4.72,7.2501316584941
Macau,6.67,0.0,0.0,33.0,10.0,9.97,0.13,6.6925
Samsun Airport,6.84,10.0,0.0,196.0,9.04435424202746,9.9,10.0,8.946088560506865
Jerba,6.47,5.0,7.0,151.0,9.97918802071055,9.14,,8.52972934023685
Humberside,6.67,0.0,0.0,45.0,0.0,0.0,,2.223333333333333
Aberdeen,6.44,0.0,2.0,58.0,0.0,9.97,0.66,4.2675
Astana,6.75,1.0,0.0,40.0,0.0,0.0,,2.25
Kingston,6.67,0.0,0.0,25.0,0.0,9.07,,5.246666666666667
Xiamen Gaoqi,6.11,0.0,8.0,95.0,9.953257374628684,9.98,,8.681085791542895
Cairo,6.79,6.0,0.0,164.0,9.999999999999998,,9.68,8.823333333333332
Guayaquil,5.23,2.0,9.0,37.0,10.0,9.3,,8.176666666666668
Toulouse,6.86,4.0,0.0,69.0,9.999999999999998,9.71,,8.856666666666667
Moscow - Vnukovo,6.74,1.0,0.0,45.0,0.0,9.99,1.87,4.65
Heraklion Airport,6.75,2.0,0.0,78.0,10.0,9.6,1.6,6.987500000000001
Malmo,6.32,0.0,1.0,19.0,0.0,9.82,,5.38
Changchun Longjia,5.96,1.0,10.0,90.0,10.0,9.21,8.91,8.52
Al Hoceima,6.67,0.0,0.0,109.0,,0.0,0.61,2.4266666666666667
Milan - Linate,6.88,3.0,0.0,47.0,0.0,9.61,1.75,4.56
Indira Gandhi,5.25,1.0,9.0,40.0,0.0,9.3,,4.8500000000000005
Hiroshima,4.89,0.0,4.0,15.0,0.0,0.0,,1.63
Lille,6.9,2.0,0.0,29.0,0.0,10.0,0.05,4.2375
Exeter,6.72,1.0,0.0,67.0,0.0,9.14,,5.286666666666666
Belgrade,6.83,2.0,0.0,42.0,0.0,9.9,,5.576666666666667
Managua,6.87,4.0,0.0,66.0,9.45522014164297,9.78,0.12,6.556305035410742
Vaxjo,4.67,1.0,2.0,5.0,0.0,0.0,,1.5566666666666666
Amsterdam - Schiphol,6.79,1.0,0.0,27.0,0.0,10.0,0.0,4.1975
Szczecin,6.89,3.0,0.0,45.0,0.0,9.9,,5.596666666666667
Accra,6.83,4.0,0.0,80.0,9.998051094576688,9.59,,8.806017031525561
Douala,7.0,1.0,0.0,10.0,0.0,10.0,,5.666666666666667
Barcelona,6.54,3.0,3.0,76.0,0.0,9.96,,5.5
Johannesburg,6.82,2.0,0.0,44.0,10.0,9.99,,8.936666666666667
Newcastle,6.47,0.0,2.0,68.0,0.0,9.87,4.87,5.3025
Ibaraki,4.44,0.0,3.0,9.0,0.0,0.0,,1.4800000000000002
Yantai Penglai,6.03,2.0,10.0,94.0,9.972627549374343,9.97,,8.657542516458115
Lima,6.77,4.0,0.0,132.0,9.991862889279197,9.73,1.27,6.940465722319799
London Southend Airport,6.74,1.0,0.0,43.0,0.0,9.86,,5.533333333333334
Rabat,6.53,8.0,8.0,191.0,9.99948396923731,9.86,0.03,6.604870992309328
Guangzhou Baiyun,6.09,1.0,9.0,98.0,9.74763175206672,9.99,8.31,8.534407938016681
Antalya Gazipasa Airport,6.83,10.0,0.0,207.0,9.2301984129937,9.64,,8.566732804331233
Cozumel,6.87,5.0,0.0,83.0,9.9990011315203,9.61,,8.826333710506766
Danang,6.67,0.0,0.0,38.0,0.0,9.99,,5.553333333333334
Berlin Brandenburg,6.82,3.0,0.0,65.0,0.0,9.98,,5.6000000000000005
Tbilisi,6.83,2.0,0.0,41.0,0.0,10.0,,5.609999999999999
Monterrey,6.84,4.0,0.0,77.0,10.0,8.81,,8.549999999999999
Leeds Bradford,6.23,0.0,4.0,61.0,0.0,9.9,3.21,4.835000000000001
Bergen,6.81,2.0,0.0,45.0,0.0,9.83,0.55,4.2975
Naha,4.94,0.0,7.0,27.0,0.0,9.91,,4.95
Katowice,5.0,0.0,5.0,20.0,0.0,9.79,,4.93
Harbin Taiping,6.75,2.0,0.0,77.0,0.0,0.0,,2.25
Baku,4.94,1.0,8.0,29.0,0.0,9.4,,4.78
Zaporizhya,8.04,7.0,0.0,17.0,,0.0,,4.02
Paramaribo,6.79,1.0,0.0,28.0,0.0,9.33,,5.373333333333334
Murcia,6.75,1.0,0.0,39.0,0.0,0.0,2.63,2.3449999999999998
Kayseri Airport,6.84,10.0,0.0,191.0,10.0,9.99,,8.943333333333333
Santiago Cibao,6.79,2.0,0.0,55.0,2.386470660796951,9.5,0.15,4.7066176651992375
Treviso,5.69,1.0,3.0,17.0,0.0,8.53,7.12,5.335
Hangzhou Xiaoshan,6.09,1.0,9.0,98.0,2.4152306386935076,9.99,9.71,7.051307659673377
Montego Bay,6.73,3.0,0.0,155.0,9.611246344354115,9.79,0.05,6.545311586088529
Cayenne,6.45,3.0,3.0,47.0,10.0,,,8.225
Dalian Zhoushuizi,6.75,2.0,0.0,81.0,9.944036592764622,0.0,7.51,6.051009148191156
Rio de Janeiro,6.82,6.0,0.0,128.0,10.0,9.87,9.0,8.9225
Mudanjiang Hailang,6.71,1.0,0.0,82.0,8.446070841184465,0.0,,5.052023613728156
Gerona,6.44,2.0,3.0,59.0,0.0,9.91,5.82,5.5425
Shannon,5.0,0.0,2.0,8.0,0.0,10.0,,5.0
Chongqing Jiangbei,5.99,1.0,10.0,94.0,9.908305088901319,9.99,9.71,8.89957627222533
Los Cabos,6.83,6.0,0.0,121.0,9.93263681903063,9.78,,8.847545606343544
Aswan,6.79,4.0,0.0,108.0,0.0,9.89,8.53,6.3025
Florianopolis,6.79,3.0,0.0,81.0,10.0,9.02,4.51,7.58
Cukurova Airport,6.86,9.0,0.0,158.0,9.083979949225299,0.0,,5.314659983075099
Rostov Don,7.81,13.0,0.0,38.0,,0.0,,3.905
Piarco,6.67,0.0,0.0,85.0,,9.98,0.0,5.55
Fortaleza,6.87,4.0,0.0,67.0,10.0,9.56,0.0,6.6075
Glasgow,6.48,0.0,2.0,73.0,0.0,9.9,0.91,4.322500000000001
Bristol,6.47,0.0,2.0,69.0,0.0,9.66,,5.376666666666666
Nice,6.77,4.0,1.0,65.0,10.0,9.99,,8.92
Yinchuan Hedong,6.52,0.0,2.0,88.0,7.01408010858033,0.0,0.07,3.4010200271450826
Salvador,6.84,3.0,0.0,59.0,10.0,8.56,0.0,6.35
Ulaanbaatar,6.67,0.0,0.0,81.0,0.0,9.71,,5.460000000000001
Bariloche,5.0,1.0,1.0,2.0,0.0,0.0,,1.6666666666666667
Santiago Arturo Merino Benitez,6.67,0.0,0.0,84.0,10.0,9.85,,8.840000000000002
Krakow Balice,6.79,2.0,0.0,55.0,0.0,9.94,8.04,6.1925
Singapore - Changi,6.83,3.0,0.0,62.0,0.0,9.99,6.3,5.78
Addis Ababa,6.81,7.0,0.0,163.0,9.997484903189287,9.59,1.92,7.079371225797322
Oslo,6.78,2.0,0.0,60.0,0.0,9.78,,5.52
Pointe-a-Pitre,6.35,3.0,4.0,53.0,10.0,9.99,4.98,7.830000000000001
Porto,6.89,3.0,0.0,45.0,0.0,9.99,0.01,4.2225
Bujumbura,5.0,0.0,4.0,16.0,0.0,9.58,0.66,3.81
Phu Quok,6.87,2.0,0.0,33.0,0.0,9.92,,5.596666666666667
