Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Taipei - Taoyuan,5.61,0.07,7.41,1.42,3.63
Incheon,2.6,0.0,4.62,1.78,2.25
Dubai,4.49,3.92,3.86,8.41,5.17
Jeju,3.89,0.28,2.48,1.22,1.97
Tel-Aviv,6.01,5.88,8.83,7.3,7.0
Shanghai Pudong,4.17,1.76,1.66,2.27,2.46
Istanbul Airport,5.89,6.15,8.54,8.38,7.24
Doha,5.24,9.53,5.14,7.18,6.77
Kuwait,7.57,8.43,7.62,9.42,8.26
Tokyo - Narita,5.56,2.85,7.02,4.94,5.09
Antalya Airport,4.47,5.52,8.05,8.74,6.7
Hong Kong,6.39,0.8,7.14,0.05,3.6
Amman,6.93,6.55,9.54,9.84,8.22
Tokyo - Haneda,6.26,10.0,7.57,5.39,7.3
Osaka - Kansai,6.18,3.41,6.5,5.47,5.39
Beijing,6.17,1.32,2.72,2.42,3.16
Beirut - Rafik Hariri,5.76,10.0,3.21,8.59,6.89
Marrakech,7.38,6.67,10.0,8.71,8.19
Istanbul Asia Airport,7.29,6.31,7.24,8.06,7.22
Cairo,6.71,6.21,5.05,7.81,6.44
Everrich Downtown Kinmen,5.15,0.43,0.0,0.54,1.53
Tenerife,6.18,6.02,9.38,0.34,5.48
RIYADH,7.89,8.45,5.6,0.0,5.48
Guangzhou Baiyun,7.69,3.85,5.06,3.66,5.07
Addis Ababa,6.25,9.33,9.15,9.77,8.62
Palma De Mallorca,5.73,3.8,7.67,8.11,6.33
Muscat,5.98,10.0,4.38,8.11,7.12
Casablanca,7.21,7.37,9.77,7.45,7.95
Busan - Kimhae,3.19,0.2,3.1,0.64,1.78
Jeddah,6.14,8.6,5.82,8.89,7.36
Abu Dhabi,6.04,9.4,4.89,8.94,7.32
Alicante,7.34,6.38,8.22,8.72,7.66
Gran Canaria,5.81,6.63,9.05,7.44,7.23
Tunis,6.75,7.57,4.79,7.68,6.7
Paris Charles De Gaulle,7.51,7.02,6.47,9.84,7.71
Malaga,6.63,5.55,7.24,9.63,7.26
Barcelona,7.02,4.16,8.22,3.39,5.7
Zurich,6.27,8.34,9.09,8.66,8.09
Dalaman Airport,5.86,5.29,9.63,6.71,6.87
Manchester,6.85,5.65,5.37,6.37,6.06
Belgrade,7.4,4.02,2.46,9.29,5.79
Tirana,4.33,6.8,5.84,7.68,6.16
Hurgada,6.22,9.92,7.83,7.17,7.78
Kuala Lumpur,7.1,5.33,4.99,3.76,5.3
Cancun,8.06,7.48,5.73,8.79,7.52
Sharjah,6.14,7.5,4.56,6.78,6.24
Izmir Airport,7.05,5.53,9.08,8.89,7.64
Kaohsiung,5.9,0.51,7.65,1.23,3.82
