Location,Cat_A,Cat_B,Cat_D,Avg_Score,Cluster
Siem Reap,7.16,0.0,0.0,2.39,0
Aarhus,6.67,0.0,0.0,2.22,0
Ostrava,6.83,0.0,8.43,5.09,1
Mudanjiang Hailang,6.71,8.45,0.0,5.05,2
Piarco,6.67,0.0,2.88,3.18,0
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67,1
Podgorica,5.56,0.0,9.87,5.14,1
Mangalore,4.87,0.0,6.95,3.94,1
Oslo,6.78,0.0,0.0,2.26,0
Basseterre (Saint Kitts),6.79,9.94,0.0,5.58,2
Eindhoven,6.88,0.0,0.0,2.29,0
Wellington,8.57,0.0,0.0,2.86,0
Singapore - Changi,6.83,0.0,7.65,4.83,1
Acapulco,8.48,0.0,0.0,2.83,0
Alicante,6.32,0.0,8.22,4.85,1
Phu Quok,6.87,0.0,9.04,5.3,1
Edinburgh,6.47,0.0,9.52,5.33,1
Durban,6.74,10.0,9.78,8.84,3
Iloilo,0.0,0.0,0.0,0.0,0
Zakynthos,5.44,0.0,4.36,3.27,0
Sochi,6.75,0.0,2.77,3.17,0
Bamako,6.89,0.0,10.0,5.63,1
Jeju (downtown),0.0,0.12,0.0,0.04,0
Porto Alegre,6.85,10.0,7.68,8.18,3
Sihanoukville,6.72,10.0,8.35,8.36,3
Quito,6.86,9.73,6.8,7.8,3
Orebro,7.78,0.0,9.67,5.82,1
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9,1
Granada,5.76,0.0,9.31,5.02,1
Xuzhou Guanyin,6.75,3.08,0.0,3.28,0
Vientiane,5.93,0.0,5.33,3.75,1
Sydney,6.67,0.0,9.84,5.5,1
Daegu,6.13,8.34,0.0,4.82,2
Frankfurt,6.82,0.0,3.33,3.38,0
Mykonos,5.53,0.0,9.37,4.97,1
Madrid Barajas,6.83,0.0,9.6,5.48,1
Shandong,6.85,0.0,0.0,2.28,0
DAMMAM,6.77,10.0,4.11,6.96,2
Lille,6.9,0.0,9.77,5.56,1
Prague,6.07,0.0,0.0,2.02,0
Cordoba,6.89,0.0,0.0,2.3,0
Wuhan Tianhe,6.07,7.37,9.98,7.81,3
Umea,7.08,0.0,9.71,5.6,1
Tokyo - Haneda,5.05,0.0,8.23,4.43,1
