Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cluster
Taichung,6.03,9.96,7.56,5.82,7.34,2
Riga,6.9,0.0,1.11,4.95,3.24,3
Ravenna,0.0,0.0,5.3,0.0,1.32,1
Helsinki,0.0,0.0,5.3,0.0,1.32,1
Dubrovnik,7.78,0.0,5.67,9.32,5.69,3
Shijiazhuang Zhengding,0.0,0.0,1.38,4.63,1.5,1
Weeze,0.0,0.0,5.3,0.0,1.32,1
St. Petersburg Pulkovo,6.75,0.0,3.86,6.04,4.16,3
Isparta Airport,0.0,0.0,5.3,0.0,1.32,1
Trelleborg,0.0,0.0,5.3,0.0,1.32,1
Bangui,8.33,0.0,5.3,0.0,3.41,0
Mykolayiv,0.0,0.0,5.3,0.0,1.32,1
Phoenix,0.0,0.0,5.3,0.0,1.32,1
Colombo,6.7,10.0,0.0,0.0,4.17,2
Cartagena de Indias,0.0,0.0,5.3,0.0,1.32,1
Khorfakan Port,0.0,0.0,5.3,0.0,1.32,1
Coimbatore,0.0,0.0,5.3,0.0,1.32,1
Tabarka,0.0,0.0,5.3,0.0,1.32,1
Istanbul Asia Airport,6.8,8.5,6.69,9.15,7.78,2
Billund,6.67,0.0,2.85,9.35,4.72,3
Johannesburg,6.82,10.0,5.69,8.94,7.86,2
Lucknow,4.87,0.0,3.93,5.82,3.66,3
Dnipropetrovsk,8.0,0.0,5.3,0.0,3.32,0
Trabzon Airport,6.84,5.39,9.33,9.92,7.87,2
San Jose,5.24,0.0,4.69,0.0,2.48,0
San Jose,5.24,0.0,4.69,9.42,4.84,3
Maya,0.0,0.0,5.3,0.0,1.32,1
San Juan,0.0,0.0,5.3,0.0,1.32,1
Helsingborg,0.0,0.0,5.3,0.0,1.32,1
Kayragach,0.0,0.0,5.3,0.0,1.32,1
Burkina Faso,0.0,0.0,5.3,0.0,1.32,1
Algeciras,0.0,0.0,5.3,0.0,1.32,1
Travemunde,0.0,0.0,5.3,0.0,1.32,1
Luang Prabang,0.0,0.0,5.3,0.0,1.32,1
Douala,7.0,0.0,8.17,10.0,6.29,3
Reus,6.26,0.0,8.23,9.78,6.07,3
London Luton,6.46,0.0,6.44,8.77,5.42,3
Kunming Wujiaba,6.16,9.99,5.47,7.04,7.17,2
Cadiz,0.0,0.0,5.3,0.0,1.32,1
Sydney,6.67,0.0,3.63,9.84,5.04,3
Tripoli,0.0,0.0,5.3,0.0,1.32,1
Roscoff,0.0,0.0,5.3,0.0,1.32,1
Glasgow,6.48,0.0,6.49,0.01,3.24,0
Sanya Fenghuang,6.71,0.0,8.45,0.0,3.79,0
Faroe Islands,6.67,0.0,8.67,9.55,6.22,3
Busan - Kimhae,6.02,9.85,3.4,0.52,4.95,2
Perth,6.71,10.0,6.67,0.0,5.84,2
Mangalore,4.87,0.0,3.93,6.95,3.94,3
Split,7.78,0.0,5.38,5.93,4.77,3
Belgorod,7.78,0.0,5.3,0.0,3.27,0
Zanzibar,5.44,0.0,2.7,0.0,2.04,0
Brussels,6.67,0.0,9.55,5.79,5.5,3
Amsterdam - Schiphol,6.79,0.0,8.35,0.0,3.78,0
Melilla,0.0,0.0,5.3,0.0,1.32,1
Trapani,0.0,0.0,5.3,0.0,1.32,1
Bodrum Airport,6.75,9.61,8.54,9.37,8.57,2
Shanghai Hongqiao,6.1,6.63,1.25,3.29,4.32,2
Juba,6.9,0.0,8.87,0.0,3.94,0
Klang Port,0.0,0.0,5.3,0.0,1.32,1
Istanbul Port,0.0,0.0,5.3,0.0,1.32,1
Gaziantep Airport,6.85,8.92,4.48,9.82,7.52,2
Dortmund,6.77,0.0,1.58,7.23,3.9,3
Shizuoka,5.83,0.0,5.48,6.1,4.35,3
Seattle,0.0,0.0,5.3,0.0,1.32,1
Yuzhno-Sakhalinsk,0.0,0.0,5.3,0.0,1.32,1
Hong Kong,6.21,9.99,6.73,0.0,5.73,2
Kagoshima,5.71,0.0,2.4,8.08,4.05,3
Cochin,6.67,0.0,4.17,8.29,4.78,3
Friedrichshafen,0.0,0.0,5.3,0.0,1.32,1
Kuching,0.0,0.0,5.3,0.0,1.32,1
Tokyo - Ginza,0.0,0.0,5.3,0.0,1.32,1
Karlskrona,0.0,0.0,5.3,0.0,1.32,1
Kigali,4.89,0.0,2.83,7.83,3.89,3
Kelowna,0.0,0.0,5.3,0.0,1.32,1
Mitilini Port,0.0,0.0,5.3,0.0,1.32,1
Weihai Dashuibo,6.75,9.96,5.07,4.71,6.62,2
Suez,0.0,0.0,5.3,0.0,1.32,1
Xian Xianyang,6.49,9.82,3.86,5.73,6.48,2
Frankfurt,6.82,0.0,7.38,3.33,4.38,0
Derekoy Turkey Bulgaria Border,0.0,0.0,5.3,0.0,1.32,1
Kazan,8.75,0.0,0.0,0.0,2.19,0
Christchurch,4.44,0.0,2.6,0.0,1.76,0
Cagliari,0.0,0.0,5.3,0.0,1.32,1
Kingston,6.67,0.0,1.45,0.0,2.03,0
Corfu,5.59,10.0,3.39,6.7,6.42,2
Civitavecchia,0.0,0.0,5.3,0.0,1.32,1
Russe/Black Sea,0.0,0.0,5.3,0.0,1.32,1
Nakhichevan,0.0,0.0,5.3,0.0,1.32,1
Surgut,0.0,0.0,5.3,0.0,1.32,1
Tenerife,6.76,0.0,8.85,0.0,3.9,0
Rhodes Port,0.0,0.0,5.3,0.0,1.32,1
Guangzhou Baiyun,6.09,9.75,5.08,9.98,7.72,2
Hatay Airport,9.52,0.0,0.0,0.0,2.38,0
Podgorica,5.56,0.0,4.19,9.87,4.9,3
Dilucu Turkey Nakhchivan Border,0.0,0.0,5.3,0.0,1.32,1
Santorini,5.38,0.0,4.42,8.71,4.63,3
Chernoshevsko,0.0,0.0,5.3,0.0,1.32,1
Daegu,6.13,8.34,1.02,0.0,3.87,2
Rome Fiumicino,6.87,0.0,7.49,9.63,6.0,3
Montego Bay,6.73,9.61,5.37,8.53,7.56,2
London Stansted,6.57,0.0,7.34,9.55,5.86,3
Luqa,0.0,0.0,5.3,0.0,1.32,1
Danang,6.67,0.0,1.3,0.0,1.99,0
Ronne,0.0,0.0,5.3,0.0,1.32,1
Valencia,6.5,0.0,8.19,0.0,3.67,0
Izmir Port,0.0,0.0,5.3,0.0,1.32,1
Corfu Port,0.0,0.0,5.3,0.0,1.32,1
Everrich Downtown Kinmen,5.89,9.96,0.0,4.05,4.98,2
Lima,6.77,9.99,5.43,9.6,7.95,2
Murmansk,0.0,0.0,5.3,0.0,1.32,1
Toronto,0.0,0.0,5.3,0.0,1.32,1
Monastir,6.39,9.99,4.66,0.0,5.26,2
Oran,0.0,0.0,5.3,0.0,1.32,1
Taranto,0.0,0.0,5.3,0.0,1.32,1
