Location,Avg_Score,Top_Category,Cluster,Cat_A,Cat_B,Cat_C,Cat_D
Santa Cruz Viru Viru,10.0,Cat_B,0,10.0,,10.0,
Yingsheng,10.0,Cat_B,0,10.0,,,
Karlsruhe Baden-Baden,10.0,Cat_B,0,10.0,,10.0,
Harare,10.0,Cat_B,0,10.0,,10.0,
La Paz El Alto,10.0,Cat_B,0,10.0,,10.0,
Aktau,10.0,Cat_B,0,10.0,,10.0,
Beijing Daxing,9.99,Cat_A,0,,,9.99,
Cayenne (REC),9.94,Cat_A,0,,,9.94,
Daegu (downtown),9.733431333086468,Cat_A,1,,9.733431333086468,,
Maputo,9.585,Cat_B,0,9.17,,10.0,
Vladivostok,9.585,Cat_B,0,9.67,,9.5,
Conakry,9.525,Cat_B,0,9.17,,9.88,
Memmingen,9.5,Cat_B,0,10.0,,9.0,
Alesund,9.485,Cat_B,0,8.97,,10.0,
Zadar,9.445,Cat_B,0,8.89,,10.0,
Pula,9.445,Cat_B,0,8.89,,10.0,
Tirstrup,9.4,Cat_A,0,,,9.4,
Kazan,9.375,Cat_B,0,8.75,,10.0,
Moi,9.185,Cat_B,0,8.89,,9.48,
Budapest,9.165,Cat_B,0,8.33,,10.0,
