Location,Cat_A,Cat_B,Cat_D,Avg_Score
Panama Tocumen,6.79,9.96,7.83,8.19
Berlin Brandenburg,6.82,0.0,0.0,2.27
La Paz Manuel Marquez de Leon,6.84,0.0,4.86,3.9
Rabil,6.09,10.0,9.57,8.55
Baku,4.94,0.0,9.91,4.95
Dushanbe,7.86,0.0,0.0,2.62
Mandalay,5.42,0.0,0.0,1.81
Katowice,5.0,0.0,9.82,4.94
Sydney,6.67,0.0,9.84,5.5
Chisinau,7.76,0.0,0.0,2.59
Warsaw,6.83,0.0,0.0,2.28
Athens,6.26,10.0,8.18,8.15
Alesund,8.97,0.0,0.0,2.99
Split,7.78,0.0,5.93,4.57
Vladivostok,9.67,0.0,0.0,3.22
Queenstown,4.44,0.0,0.0,1.48
Ankara Airport,6.84,9.52,9.41,8.59
Moscow - Sheremetyevo,6.8,0.0,0.0,2.27
Kyiv - Zhulyany,7.72,0.0,0.0,2.57
Porto,6.89,0.0,9.75,5.55
Samos,6.76,0.0,9.82,5.53
Wellington,8.57,0.0,0.0,2.86
Busan - Kimhae,6.02,9.85,0.52,5.46
Bodrum Airport,6.75,9.61,9.37,8.58
Yingsheng,10.0,0.0,0.0,3.33
Tunis,6.4,9.99,8.87,8.42
Santa Cruz Viru Viru,10.0,0.0,10.0,6.67
Yaounde,8.15,0.0,0.0,2.72
Norwich,6.82,0.0,9.71,5.51
Shymkent,7.92,0.0,0.0,2.64
Incheon,6.08,9.64,4.3,6.67
Montpellier,6.88,0.0,9.71,5.53
Bangui,8.33,0.0,0.0,2.78
Reus,6.26,0.0,9.78,5.35
Amritsar,4.87,0.0,6.89,3.92
Asyut,5.33,0.0,9.87,5.07
Skiathos,6.67,0.0,10.0,5.56
Nairobi,6.67,0.0,0.0,2.22
Khabarovsk,7.67,0.0,0.0,2.56
Jinan Xiaoqiang,6.67,5.9,10.0,7.52
Buenos Aires Aeroparque,6.91,0.0,0.0,2.3
Guadalajara,6.86,9.9,0.0,5.59
Voronezh,7.85,0.0,0.0,2.62
Guiyang Longdongbao,7.78,0.0,0.0,2.59
Roland Garros,6.67,10.0,7.17,7.95
Novosibirsk,6.83,0.0,9.25,5.36
Zanzibar,5.44,0.0,0.0,1.81
Medina,6.87,10.0,0.0,5.62
Pula,8.89,0.0,0.0,2.96
Tozeur,6.36,10.0,0.0,5.45
Umea,7.08,0.0,9.71,5.6
Weihai Dashuibo,6.75,9.96,4.71,7.14
Valencia,6.5,0.0,0.0,2.17
Humberside,6.67,0.0,0.0,2.22
Billund,6.67,0.0,9.35,5.34
Manas,6.15,0.0,0.0,2.05
Cartagena de Indias,0.0,0.0,0.0,0.0
Okayama,6.44,9.93,3.69,6.69
Monterrey,6.84,10.0,8.6,8.48
Wroclaw,5.17,0.0,0.0,1.72
Dalaman Airport,6.79,0.0,0.0,2.26
Belgorod,7.78,0.0,0.0,2.59
Prague,6.07,0.0,0.0,2.02
Zadar,8.89,0.0,0.0,2.96
Birmingham,6.38,0.0,9.72,5.37
London Luton,6.46,0.0,8.77,5.08
Gibraltar,5.33,0.0,10.0,5.11
Sfax,6.12,10.0,8.65,8.26
Singapore - Changi,6.83,0.0,7.65,4.83
Mangalore,4.87,0.0,6.95,3.94
Buenos Aires - Ezeiza,6.84,0.0,0.76,2.53
Quito,6.86,9.73,6.8,7.8
Kunming Wujiaba,6.16,9.99,7.04,7.73
Port Louis,5.24,0.0,9.84,5.03
Moi,8.89,0.0,0.0,2.96
Krasnoyarsk,6.88,0.0,9.48,5.45
Curacao,6.75,0.0,0.0,2.25
Faroe Islands,6.67,0.0,9.55,5.41
Casablanca,6.47,9.97,9.92,8.79
Warsaw-Modlin,6.92,0.0,9.04,5.32
Paderborn,6.82,0.0,9.84,5.55
Jeju,6.06,9.74,3.32,6.37
Amsterdam - Schiphol,6.79,0.0,0.0,2.26
Chengdu Tianfu,6.52,7.52,8.03,7.36
Dnipropetrovsk,8.0,0.0,0.0,2.67
Munich,6.35,0.0,1.1,2.48
Erbil International Airport,5.0,0.0,5.93,3.64
Chattrapati Shivaji,5.05,0.0,0.0,1.68
Belgrade,6.83,0.0,9.37,5.4
Macau,6.67,10.0,8.03,8.23
Haiphong,8.33,0.0,9.9,6.08
Hebei,5.15,0.0,0.0,1.72
Faro Airport,6.74,0.0,0.0,2.25
Windhoek,6.67,0.0,0.0,2.22
Natal,6.84,10.0,4.78,7.21
Treviso,5.69,0.0,9.87,5.19
Hefei Xinqiao,6.63,6.54,9.85,7.67
Niamey,5.0,0.0,0.0,1.67
Sendai,4.89,0.0,7.63,4.17
Dubai,6.57,8.82,9.07,8.15
Douala,7.0,0.0,10.0,5.67
Penang,6.67,10.0,8.58,8.42
Fes,6.51,10.0,0.0,5.5
Beauvais,6.53,0.0,0.0,2.18
Kristiansand,7.6,0.0,0.0,2.53
Denizli Cardak Airport,6.85,9.34,8.75,8.31
Sao Paulo - Guarulhos,6.85,10.0,8.64,8.5
Basrah,6.81,0.0,0.0,2.27
Cairns,7.08,0.0,6.9,4.66
Wenzhou Longwan,6.55,4.7,9.97,7.07
Harbin Taiping,6.75,0.0,0.0,2.25
Fuerteventura,6.76,0.0,9.49,5.42
St. Maarten Princess Juliana,5.76,0.0,0.0,1.92
