Location,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score
Hefei Xinqiao,6.63,6.54,0.07,9.85,5.77
Yancheng Nanyang,6.73,0.0,0.0,0.0,1.68
Kutahya Airport,6.95,10.0,0.0,1.39,4.58
Diyarbakir Airport,6.84,8.53,0.04,0.0,3.85
Sfax,6.12,10.0,0.19,8.65,6.24
Palma De Mallorca,6.48,0.0,0.13,7.17,3.44
Frankfurt,6.82,0.0,0.67,3.33,2.7
Doha,5.05,0.0,0.84,6.68,3.14
Voronezh,7.85,0.0,0.0,0.0,1.96
Elblag,5.0,0.0,0.0,0.0,1.25
Lubumbashi,7.14,0.0,0.0,9.72,4.22
Gibraltar,5.33,0.0,2.62,10.0,4.49
Khabarovsk,7.67,0.0,0.0,0.0,1.92
Sendai,4.89,0.0,2.38,7.63,3.72
Accra,6.83,10.0,0.22,0.0,4.26
Doncaster,7.32,0.0,0.0,0.0,1.83
Barcelona,6.54,0.0,0.16,7.63,3.58
Cam Ranh,6.22,0.0,1.36,6.37,3.49
Hamburg,6.82,0.0,0.66,5.53,3.25
Skopje,6.8,0.0,0.11,8.45,3.84
Phnom Penh,6.75,4.28,0.15,8.24,4.85
Cukurova Airport,6.86,9.08,0.0,0.0,3.99
St. George's Point Saline,6.81,10.0,0.22,9.62,6.66
Aktau,10.0,0.0,5.0,0.0,3.75
Jaipur,4.87,0.0,3.93,0.0,2.2
Hannover,6.79,0.0,0.67,0.0,1.86
Taichung,6.03,9.96,0.26,5.82,5.52
Nairobi,6.67,0.0,0.0,0.0,1.67
Danang,6.67,0.0,1.3,0.0,1.99
Makhachkala,6.94,0.0,5.45,6.75,4.78
Yerevan,6.67,0.0,0.4,3.45,2.63
Bergamo,6.86,0.0,0.46,9.3,4.16
Addis Ababa,6.81,10.0,0.07,7.26,6.03
Jerba,6.47,9.98,0.04,0.0,4.12
Chongqing Jiangbei,5.99,9.91,0.06,9.99,6.49
Lille,6.9,0.0,1.56,9.77,4.56
Radom,5.56,0.0,0.31,7.48,3.34
Zanzibar,5.44,0.0,2.7,0.0,2.04
Sofia,6.75,0.0,0.22,1.33,2.08
Riga,6.9,0.0,1.11,4.95,3.24
Cardiff,6.43,0.0,0.43,9.26,4.03
Salzburg,6.78,0.0,0.33,9.25,4.09
Southampton,6.71,0.0,0.2,0.0,1.73
Taipei - Taoyuan,5.89,9.97,0.25,4.43,5.14
Yangyang,6.67,10.0,0.0,0.0,4.17
Ciampino Airport,5.83,0.0,0.42,0.0,1.56
Minsk,6.79,0.0,0.1,10.0,4.22
Tuzla,4.91,0.0,0.0,9.87,3.7
Paderborn,6.82,0.0,0.85,9.84,4.38
Moscow - Vnukovo,6.74,0.0,0.27,8.86,3.97
Florianopolis,6.79,10.0,0.0,9.55,6.58
Moi,8.89,0.0,5.0,0.0,3.47
Shenzhen Bao'an,7.19,0.0,0.0,0.0,1.8
Shymkent,7.92,0.0,5.0,0.0,3.23
Kazan,8.75,0.0,5.0,0.0,3.44
Ekaterinburg,6.79,0.0,0.2,8.39,3.84
Wroclaw,5.17,0.0,3.1,0.0,2.07
Samarkand,10.0,0.0,5.0,0.0,3.75
Charleroi,6.67,0.0,0.36,0.0,1.76
Hong Kong,6.21,9.99,0.2,0.0,4.1
Panama Tocumen,6.79,9.96,0.47,7.83,6.26
Santorini,5.38,0.0,0.34,8.71,3.61
Heraklion Airport,6.75,10.0,0.22,8.52,6.37
Tarbes - Lourdes,6.67,10.0,0.0,9.5,6.54
Zakynthos,5.44,0.0,0.22,4.36,2.5
Fuerteventura,6.76,0.0,0.13,9.49,4.1
Valencia,6.5,0.0,0.16,0.0,1.66
Bariloche,5.0,0.0,0.0,0.06,1.26
Sanya Fenghuang,6.71,0.0,0.05,0.0,1.69
Vigo,6.86,0.0,0.84,9.71,4.35
Tozeur,6.36,10.0,0.0,0.0,4.09
Togo,5.83,0.0,0.86,9.82,4.13
Gerona,6.44,0.0,0.14,9.72,4.08
Brasilia,6.81,10.0,0.29,8.36,6.36
Manchester,6.49,0.0,0.25,7.16,3.48
Aktio,6.05,0.0,0.0,10.0,4.01
Tirana,6.19,0.0,0.07,9.65,3.98
Shannon,5.0,0.0,4.46,6.95,4.1
Kyiv,7.5,0.0,0.0,0.0,1.88
Huatulco,0.0,0.0,0.0,0.0,0.0
Seoul,5.74,8.54,0.25,5.72,5.06
Asyut,5.33,0.0,0.08,9.87,3.82
Punta Cana - Higuey,6.78,9.82,0.13,8.31,6.26
Tegucigalpa,9.0,0.0,0.0,0.0,2.25
Christchurch,4.44,0.0,2.6,0.0,1.76
Bremen,6.77,0.0,1.89,0.0,2.16
Busan - Kimhae,6.02,9.85,0.19,0.52,4.14
Istanbul Airport,6.79,0.0,0.06,0.0,1.71
Fuzhou Changle,6.02,10.0,0.06,6.37,5.61
Bergen,6.81,0.0,0.47,5.7,3.24
Erbil International Airport,5.0,0.0,3.39,5.93,3.58
Punta del Este,3.33,0.0,0.0,0.0,0.83
London Gatwick,6.58,0.0,0.26,0.0,1.71
Berlin Brandenburg,6.82,0.0,0.66,0.0,1.87
A Coruna,6.92,0.0,0.52,9.35,4.2
Shenyang Taoxian,6.48,9.89,0.06,9.94,6.59
Santo Domingo Las Americas,6.8,9.64,0.27,4.3,5.25
Nantes,6.6,10.0,0.34,9.37,6.58
Banja Luka,6.67,0.0,0.0,10.0,4.17
Nouakchott,6.9,0.0,0.39,10.0,4.32
Kigali,4.89,0.0,2.83,7.83,3.89
Monastir,6.39,9.99,0.08,0.0,4.12
