Location,Cat_A_2023,Cat_B_2023,Cat_C_2023,Cat_D_2023,Avg_Score_2023,Cat_A,Cat_B,Cat_C,Cat_D,Avg_Score,Cat_A_diff,Cat_B_diff,Cat_C_diff,Cat_D_diff,Avg_diff
Taipei - Taoyuan,5.76,0.04,7.47,0.73,3.5,5.61,0.07,7.41,1.42,3.63,-0.15,0.03,-0.06,0.69,0.13
Incheon,2.17,0.0,4.74,0.98,1.97,2.6,0.0,4.62,1.78,2.25,0.43,0.0,-0.12,0.8,0.28
Dubai,5.41,4.06,3.6,8.04,5.28,4.49,3.92,3.86,8.41,5.17,-0.92,-0.14,0.26,0.37,-0.11
Jeju,4.21,0.01,3.37,1.13,2.18,3.89,0.28,2.48,1.22,1.97,-0.32,0.27,-0.89,0.09,-0.21
Tel-Aviv,6.25,5.63,7.7,7.53,6.78,6.01,5.88,8.83,7.3,7.0,-0.24,0.25,1.13,-0.23,0.22
Shanghai Pudong,4.1,1.72,1.86,2.28,2.49,4.17,1.76,1.66,2.27,2.46,0.07,0.04,-0.2,-0.01,-0.03
Istanbul Airport,6.67,6.06,8.47,8.39,7.4,5.89,6.15,8.54,8.38,7.24,-0.78,0.09,0.07,-0.01,-0.16
Doha,5.7,10.0,5.22,7.87,6.26,5.24,9.53,5.14,7.18,6.77,-0.46,-0.47,-0.08,-0.69,0.51
Kuwait,7.24,7.73,7.39,9.18,7.88,7.57,8.43,7.62,9.42,8.26,0.33,0.7,0.23,0.24,0.38
Tokyo - Narita,5.68,2.75,7.32,5.61,5.34,5.56,2.85,7.02,4.94,5.09,-0.12,0.1,-0.3,-0.67,-0.25
Antalya Airport,5.49,6.61,8.24,8.33,7.17,4.47,5.52,8.05,8.74,6.7,-1.02,-1.09,-0.19,0.41,-0.47
Hong Kong,6.41,1.18,6.73,0.02,3.58,6.39,0.8,7.14,0.05,3.6,-0.02,-0.38,0.41,0.03,0.02
Amman,7.37,7.21,9.5,8.78,8.22,6.93,6.55,9.54,9.84,8.22,-0.44,-0.66,0.04,1.06,0.0
Tokyo - Haneda,6.42,10.0,7.36,5.55,6.44,6.26,10.0,7.57,5.39,7.3,-0.16,0.0,0.21,-0.16,0.86
Osaka - Kansai,5.52,3.54,5.61,5.28,4.99,6.18,3.41,6.5,5.47,5.39,0.66,-0.13,0.89,0.19,0.4
Beijing,6.67,1.92,3.1,2.58,3.57,6.17,1.32,2.72,2.42,3.16,-0.5,-0.6,-0.38,-0.16,-0.41
Beirut - Rafik Hariri,5.53,10.0,2.85,8.74,5.71,5.76,10.0,3.21,8.59,6.89,0.23,0.0,0.36,-0.15,1.18
Marrakech,7.56,7.18,9.7,8.07,8.13,7.38,6.67,10.0,8.71,8.19,-0.18,-0.51,0.3,0.64,0.06
Istanbul Asia Airport,6.56,6.77,6.69,8.47,7.12,7.29,6.31,7.24,8.06,7.22,0.73,-0.46,0.55,-0.41,0.1
Cairo,6.92,6.23,5.19,8.64,6.74,6.71,6.21,5.05,7.81,6.44,-0.21,-0.02,-0.14,-0.83,-0.3
Everrich Downtown Kinmen,4.85,0.04,0.0,0.0,1.22,5.15,0.43,0.0,0.54,1.53,0.3,0.39,0.0,0.54,0.31
Tenerife,6.67,6.73,8.85,0.0,5.56,6.18,6.02,9.38,0.34,5.48,-0.49,-0.71,0.53,0.34,-0.08
