Location,Cat_A,Green_Count,Red_Count,Total_SKUs
Konya Airport,6.87,5,0,81
Paris Charles De Gaulle,6.67,4,2,69
Hohhot Baita,6.71,1,0,82
Ngurah Rai,6.76,4,0,140
Manchester,6.49,0,2,76
Warsaw,6.83,3,0,62
Incheon,6.08,0,14,158
Dubai,6.57,11,9,253
Marrakech,6.43,8,12,223
Tangier,6.6,8,6,196
DAMMAM,6.77,3,0,94
Izmir Airport,6.82,17,0,370
Chitose,4.94,0,7,27
Komatsu,4.76,0,2,7
Osaka - Kansai,6.58,0,3,235
Jeddah,6.45,3,5,110
Hannover,6.79,2,0,53
Changsha Huanghua,6.52,0,2,92
Gabon,6.79,2,0,56
Chengdu Tianfu,6.52,0,2,91
Taipei - Taoyuan,5.89,0,5,43
Lagos,6.83,3,0,60
Samana El Catey,6.85,3,0,56
Banjul,6.9,2,0,28
Casablanca,6.47,7,10,226
Athens,6.26,3,7,90
Santo Domingo Las Americas,6.8,5,0,122
Istanbul Airport,6.79,10,0,278
Mexico City,6.84,8,0,150
Faro Airport,6.74,1,0,48
Zakynthos,5.44,0,11,60
Jeju,6.06,0,13,142
Ouarzazate,6.83,6,0,126
RIYADH,6.81,4,0,96
Weihai Dashuibo,6.75,2,0,79
Pisa,6.85,2,0,36
Bogota,6.84,6,0,117
Santorini,5.38,2,11,52
Colombo,6.7,1,0,116
Lyon Saint Exupery,6.77,4,1,67
Changzhou Benniu,6.91,6,0,81
Istanbul Asia Airport,6.8,15,0,370
Diyarbakir Airport,6.84,11,0,212
Asuncion Silvio Petterossi,6.85,1,0,18
Valencia,6.5,3,3,59
Erbil International Airport,5.0,0,5,20
Alexandoupolis,5.71,1,8,52
Essaouira,6.84,7,0,138
Oranjestad,6.8,6,0,152
Ibiza,6.46,2,3,64
Hurgada,6.72,2,0,116
Shenyang Taoxian,6.48,1,3,91
Ho Chi Minh,6.67,0,0,33
Reus,6.26,1,3,41
Wenzhou Longwan,6.55,1,2,86
Tokyo - Narita,6.55,1,3,141
Agadir,6.43,9,12,215
Gdansk,6.81,2,0,48
Ixtapa Zihuatanejo,6.86,5,0,86
Bournemouth,6.22,0,3,45
Gaziantep Airport,6.85,11,0,202
Prague,6.07,1,3,28
Medellin Jose Maria Cordova,5.08,1,10,40
Gran Canaria,6.76,2,0,69
Hong Kong,6.21,1,5,65
Leopold Sedar Senghar,6.72,3,1,63
Hefei Xinqiao,6.63,1,1,85
Thessaloniki,5.98,3,9,73
Nuernberg,6.86,3,0,52
Antalya Airport,6.78,12,0,369
Taichung,6.03,0,4,42
Belo Horizonte,6.85,5,0,92
Male,5.33,0,8,40
Busan - Kimhae,6.02,0,14,144
Lanzarote,6.76,2,0,70
Tenerife,6.76,2,0,71
Wuxi Shuofang,6.71,1,0,81
Hanoi,5.4,0,8,42
Zhengzhou Xinzheng,5.65,0,16,105
Zurich,6.27,3,10,143
Kuwait,6.05,8,19,163
Guadalajara,6.86,6,0,104
Medina,6.87,5,0,81
Melbourne,6.76,2,0,74
Xuzhou Guanyin,6.75,2,0,80
Beijing,5.91,1,12,101
Naples,6.04,2,6,53
Skopje,6.8,3,0,73
Ningbo Lishe,6.2,1,7,93
Doha,5.05,1,18,72
Batumi,6.83,2,0,41
Daegu,6.13,1,10,119
Aktio,6.05,1,4,38
Xian Xianyang,6.49,1,3,92
Chattrapati Shivaji,5.05,0,9,37
Sharm El Sheikh,6.78,4,0,115
Bergamo,6.86,3,0,52
Fukuoka,6.51,0,3,130
Madrid Barajas,6.83,4,0,83
Munich,6.35,4,5,64
Bodrum Airport,6.75,9,0,341
Geneva,6.41,6,9,157
Hyderabad,5.18,1,9,38
Sofia,6.75,1,0,42
Suleymania Airport,6.81,1,0,24
Sao Paulo - Guarulhos,6.85,7,0,126
Manama,6.74,4,0,187
Chubu,6.58,0,2,157
Viracopos,6.85,6,0,107
Stuttgart,6.88,3,0,48
Amman,6.02,7,20,170
Port Louis,5.24,1,2,7
Abu Dhabi,5.75,7,24,149
Salalah,6.73,1,0,53
Sendai,4.89,0,4,15
Shanghai Pudong,5.93,0,11,99
Tel-Aviv,5.42,1,5,24
Aqaba,6.86,5,0,88
Cancun,6.84,8,0,153
Doncaster,7.32,8,0,41
Fes,6.51,7,8,186
La Romana,6.83,3,0,63
Adana Airport,6.87,5,0,84
Dalaman Airport,6.79,10,0,263
Katima Mulilo,4.76,0,2,7
Qingdao Liuting,6.05,0,9,97
Port-au-Prince (Haiti),6.76,1,0,35
Amritsar,4.87,0,7,26
Sharjah,5.78,6,22,143
Malaga,6.48,2,3,73
Marsa Aalam,6.73,2,0,111
Urumchi Diwobao,6.48,1,3,89
Manas,6.15,3,8,84
Dar Es Salaam,6.5,3,3,59
Almaty,5.0,1,6,22
Punta Cana - Higuey,6.78,6,0,171
Frankfurt,6.82,4,0,88
Yanji Zhaoyangchuan,6.54,1,2,82
Ankara Airport,6.84,17,0,324
Jomo Kenyatta,6.42,5,6,93
Oujda,6.55,6,6,176
Sevilla,6.44,2,3,58
Phnom Penh,6.75,3,0,126
Rome Fiumicino,6.87,4,0,66
Shanghai Hongqiao,6.1,0,8,94
St. Maarten Princess Juliana,5.76,2,4,22
Trabzon Airport,6.84,5,0,99
Almeria,6.36,2,3,43
Monastir,6.39,4,8,144
Puerto Vallarta,6.84,6,0,114
Jinan Xiaoqiang,6.67,0,0,87
Mykonos,5.53,1,8,44
Lublin,6.82,2,0,43
Florence,6.86,3,0,51
Kunming Wujiaba,6.16,1,8,98
Puerto Plata,6.82,5,0,106
Bangalore,6.18,1,7,89
Seoul,5.74,0,19,136
Macau,6.67,0,0,33
Samsun Airport,6.84,10,0,196
Jerba,6.47,5,7,151
Humberside,6.67,0,0,45
Aberdeen,6.44,0,2,58
Astana,6.75,1,0,40
Kingston,6.67,0,0,25
Xiamen Gaoqi,6.11,0,8,95
Cairo,6.79,6,0,164
Guayaquil,5.23,2,9,37
Toulouse,6.86,4,0,69
Moscow - Vnukovo,6.74,1,0,45
Heraklion Airport,6.75,2,0,78
Malmo,6.32,0,1,19
Changchun Longjia,5.96,1,10,90
Al Hoceima,6.67,0,0,109
Milan - Linate,6.88,3,0,47
Indira Gandhi,5.25,1,9,40
Hiroshima,4.89,0,4,15
Lille,6.9,2,0,29
Exeter,6.72,1,0,67
Belgrade,6.83,2,0,42
Managua,6.87,4,0,66
Vaxjo,4.67,1,2,5
Amsterdam - Schiphol,6.79,1,0,27
Szczecin,6.89,3,0,45
Accra,6.83,4,0,80
Douala,7.0,1,0,10
Barcelona,6.54,3,3,76
Johannesburg,6.82,2,0,44
Newcastle,6.47,0,2,68
Ibaraki,4.44,0,3,9
Yantai Penglai,6.03,2,10,94
Lima,6.77,4,0,132
London Southend Airport,6.74,1,0,43
Rabat,6.53,8,8,191
Guangzhou Baiyun,6.09,1,9,98
Antalya Gazipasa Airport,6.83,10,0,207
Cozumel,6.87,5,0,83
Danang,6.67,0,0,38
Berlin Brandenburg,6.82,3,0,65
Tbilisi,6.83,2,0,41
Monterrey,6.84,4,0,77
Leeds Bradford,6.23,0,4,61
Bergen,6.81,2,0,45
Naha,4.94,0,7,27
Katowice,5.0,0,5,20
Harbin Taiping,6.75,2,0,77
Baku,4.94,1,8,29
Zaporizhya,8.04,7,0,17
Paramaribo,6.79,1,0,28
Murcia,6.75,1,0,39
Kayseri Airport,6.84,10,0,191
Santiago Cibao,6.79,2,0,55
Treviso,5.69,1,3,17
Hangzhou Xiaoshan,6.09,1,9,98
Montego Bay,6.73,3,0,155
Cayenne,6.45,3,3,47
Dalian Zhoushuizi,6.75,2,0,81
Rio de Janeiro,6.82,6,0,128
Mudanjiang Hailang,6.71,1,0,82
Gerona,6.44,2,3,59
Shannon,5.0,0,2,8
Chongqing Jiangbei,5.99,1,10,94
Los Cabos,6.83,6,0,121
Aswan,6.79,4,0,108
Florianopolis,6.79,3,0,81
Cukurova Airport,6.86,9,0,158
Rostov Don,7.81,13,0,38
Piarco,6.67,0,0,85
Fortaleza,6.87,4,0,67
Glasgow,6.48,0,2,73
Bristol,6.47,0,2,69
Nice,6.77,4,1,65
Yinchuan Hedong,6.52,0,2,88
Salvador,6.84,3,0,59
Ulaanbaatar,6.67,0,0,81
Bariloche,5.0,1,1,2
Santiago Arturo Merino Benitez,6.67,0,0,84
Krakow Balice,6.79,2,0,55
Singapore - Changi,6.83,3,0,62
Addis Ababa,6.81,7,0,163
Oslo,6.78,2,0,60
Pointe-a-Pitre,6.35,3,4,53
Porto,6.89,3,0,45
Bujumbura,5.0,0,4,16
Phu Quok,6.87,2,0,33
Marseille,6.76,4,1,68
Shandong,6.85,4,0,72
Grenoble,6.35,2,2,21
Brasilia,6.81,4,0,93
Porto Alegre,6.85,4,0,73
Nanning Wuxu,6.7,3,1,88
Bydgoszcz,5.17,1,5,20
Abidjan,6.56,4,3,64
Corfu,5.59,1,11,65
Moscow - Domodedovo,6.76,2,0,68
Chania,5.86,2,8,58
Marka,6.89,2,0,30
Praia,6.85,3,0,55
Recife,6.86,5,0,88
Wuhan Tianhe,6.07,1,9,95
Juba,6.9,1,0,14
Cardiff,6.43,0,2,57
Ostrava,6.83,1,0,20
London Gatwick,6.58,2,2,74
Denizli Cardak Airport,6.85,5,0,93
Panama Tocumen,6.79,3,0,81
Basel,6.35,5,7,94
Tokyo - Haneda,5.05,0,8,33
Milan - Malpensa,6.82,3,0,67
Moscow - Sheremetyevo,6.8,2,0,49
London Luton,6.46,2,3,64
London Stansted,6.57,2,2,72
Natal,6.84,4,0,77
Rhodes,5.6,1,13,78
Lodz,6.83,2,0,41
Olsztyn,6.84,2,0,39
Guatemala City,6.89,4,0,61
Perth,6.71,1,0,70
San Salvador Comalapa,6.84,4,0,76
Durban,6.74,1,0,45
Yerevan,6.67,0,0,82
Tunis,6.4,5,9,160
Alicante,6.32,1,4,68
Antigua,6.79,1,0,28
Tegucigalpa,9.0,7,0,10
Ohrid,6.83,3,0,63
Birmingham,6.38,0,3,71
Rosario,6.9,1,0,14
Enfidha,6.85,7,0,127
Basseterre (Saint Kitts),6.79,3,0,81
Krasnodar,7.47,6,0,25
Johor Bahru,6.13,0,2,25
Cordoba,6.89,1,0,15
Palermo,6.86,2,0,34
Cheongju,6.08,0,9,102
Cali,6.8,3,0,73
Mahon Airport,6.26,1,4,58
Copenhagen,6.83,2,0,41
Salzburg,6.78,1,0,29
London City,6.8,2,0,50
Liverpool,6.47,0,2,68
Duesseldorf,6.8,3,0,75
Cape Town,6.9,3,0,42
PRISTINA,6.93,6,0,75
Fuerteventura,6.76,2,0,70
Kazan,8.75,5,0,8
Sardar Vallabh Bhai Patel,4.87,0,7,26
Mangalore,4.87,0,7,26
Zia,4.93,1,7,25
Espargos,6.5,5,5,99
Ekaterinburg,6.79,1,0,28
Novosibirsk,6.83,1,0,21
Strasbourg,6.92,1,0,13
Kota Kinabalu,6.67,0,0,20
Nanchang Changbei,6.62,1,1,80
Muscat,6.78,2,0,61
Beirut - Rafik Hariri,6.77,2,0,63
Elblag,5.0,0,4,16
Sanya Fenghuang,6.71,1,0,80
Southampton,6.71,1,0,72
Cochin,6.67,0,0,31
Stavanger,6.78,2,0,58
Santiago De Compostela,6.79,2,0,53
Billund,6.67,0,0,18
Belize City,5.38,2,6,26
Curacao,6.75,1,0,40
Bourgas,6.2,1,3,36
Oita,7.22,1,0,6
Poznan-Lawica,4.81,0,5,18
Bordeaux,6.5,2,2,39
Kutahya Airport,6.95,9,0,105
Charleroi,6.67,2,1,21
St. George's Point Saline,6.81,3,0,72
Alexandria,6.76,3,0,111
Fort-de-France,6.15,3,6,58
Miyazaki,6.67,0,0,6
Haiphong,8.33,2,0,4
Asyut,5.33,2,6,25
Aomori,4.44,0,2,6
Aalborg,6.67,0,0,13
Varna,6.76,1,0,36
Christchurch,4.44,0,3,9
Asturias,6.97,2,0,22
St. Petersburg Pulkovo,6.75,1,0,38
Pengsheng,5.0,1,4,14
Krasnoyarsk,6.88,3,0,46
Paris Orly,6.76,4,1,68
Bremen,6.77,1,0,31
Yangyang,6.67,0,0,73
East Midlands,6.15,0,5,65
Sochi,6.75,1,0,39
Dresden,7.14,3,0,21
Nador,6.86,6,0,102
Muan,6.56,0,1,61
Vientiane,5.93,0,4,36
Glasgow Prestwick,6.36,0,2,43
Tirana,6.19,4,10,113
Kaohsiung,5.89,0,5,43
Graz,6.79,1,0,26
Rzeszow,5.0,0,5,20
Jaipur,4.87,0,7,26
Cologne,6.91,3,0,41
Mazatlan,6.85,5,0,91
Minsk,6.79,1,0,26
Goa,4.87,0,7,26
Santander,6.92,2,0,26
Palma De Mallorca,6.48,2,3,72
Trichy,4.87,0,7,26
Netaji Subhash Chandra Bose Int. Airport,4.87,0,7,26
Jieyang Chaoshan,6.71,1,0,74
Penang,6.67,0,0,21
Everrich Downtown Kinmen,5.89,0,5,43
Ciampino Airport,5.83,1,5,36
Roland Garros,6.67,2,1,31
A Coruna,6.92,2,0,26
Montpellier,6.88,1,0,16
Stockholm Arlanda,6.92,2,0,26
Niamey,5.0,1,4,14
Tarbes - Lourdes,6.67,0,0,20
Karipur,4.87,0,7,26
Kutaisi,6.78,1,0,29
Samarkand,10.0,8,0,8
Luxor,6.79,4,0,112
Sydney,6.67,0,0,21
Rotterdam,6.92,1,0,13
Hamburg,6.82,3,0,64
Beauvais,6.53,1,1,25
Acapulco,8.48,30,0,55
Min Vody,6.75,1,0,40
Siem Reap,7.16,14,0,95
Queretaro,7.14,2,0,14
Kos,6.72,1,0,60
Shenzhen Bao'an,7.19,13,0,83
Pula,8.89,2,0,3
