Location,Cat_D
Konya Airport,0.78
Paris Charles De Gaulle,3.17
Hohhot Baita,7.72
Ngurah Rai,1.46
Manchester,3.42
Warsaw,1.2
Incheon,3.26
Dubai,1.65
Marrakech,0.8
Tangier,1.39
DAMMAM,2.27
Izmir Airport,1.13
Chitose,4.11
Komatsu,0.5
Osaka - Kansai,0.79
Changsha Huanghua,5.31
Gabon,0.7
Taipei - Taoyuan,1.8
Lagos,0.21
Samana El Catey,1.31
Banjul,0.0
Casablanca,0.05
Athens,0.51
Santo Domingo Las Americas,0.86
Zakynthos,2.19
Jeju,3.99
Ouarzazate,1.3
RIYADH,1.16
Pisa,0.57
Bogota,2.83
Santorini,1.48
Lyon Saint Exupery,2.55
Changzhou Benniu,0.0
Istanbul Asia Airport,0.78
Asuncion Silvio Petterossi,1.78
Erbil International Airport,0.46
Essaouira,0.0
Oranjestad,0.03
Ibiza,0.0
Hurgada,0.0
Shenyang Taoxian,0.01
Ho Chi Minh,2.46
Reus,2.8
Wenzhou Longwan,0.61
Tokyo - Narita,3.05
Agadir,0.0
Gdansk,2.14
Ixtapa Zihuatanejo,0.65
Gaziantep Airport,2.21
Prague,0.0
Medellin Jose Maria Cordova,0.58
Gran Canaria,3.15
Leopold Sedar Senghar,1.12
Hefei Xinqiao,3.26
Thessaloniki,2.28
Taichung,5.34
Male,2.92
Busan - Kimhae,2.1
Lanzarote,2.37
Wuxi Shuofang,6.16
Hanoi,0.72
Zhengzhou Xinzheng,2.43
Zurich,1.17
Medina,0.0
Melbourne,0.04
Naples,1.03
Skopje,0.62
Ningbo Lishe,8.39
Doha,2.9
Batumi,0.83
Aktio,0.0
Xian Xianyang,0.26
Sharm El Sheikh,0.43
Bergamo,3.11
Madrid Barajas,1.35
Munich,2.02
Bodrum Airport,0.14
Sofia,4.35
Sao Paulo - Guarulhos,0.03
Manama,0.0
Chubu,0.65
Viracopos,1.59
Stuttgart,2.16
Amman,0.0
Port Louis,1.0
Abu Dhabi,1.11
Sendai,2.9
Shanghai Pudong,2.16
Tel-Aviv,5.42
Cancun,0.04
La Romana,1.57
Adana Airport,2.53
Qingdao Liuting,1.75
Port-au-Prince (Haiti),1.3
Amritsar,0.78
Sharjah,2.78
Malaga,1.45
Marsa Aalam,0.05
Urumchi Diwobao,2.29
Almaty,1.27
Punta Cana - Higuey,0.55
Frankfurt,0.34
Ankara Airport,1.15
Jomo Kenyatta,3.98
Oujda,1.32
Phnom Penh,1.25
Rome Fiumicino,2.73
Shanghai Hongqiao,3.55
Trabzon Airport,1.27
Almeria,1.81
Monastir,0.0
Puerto Vallarta,0.0
Jinan Xiaoqiang,8.32
Mykonos,0.93
Florence,1.27
Kunming Wujiaba,0.13
Puerto Plata,0.16
Bangalore,4.55
Seoul,3.92
Macau,0.0
Samsun Airport,0.88
Jerba,0.0
Humberside,0.0
Aberdeen,0.93
Astana,1.78
Kingston,0.0
Xiamen Gaoqi,3.86
Cairo,0.39
Toulouse,0.0
Moscow - Vnukovo,1.14
Heraklion Airport,1.31
Malmo,2.68
Changchun Longjia,7.75
Al Hoceima,2.34
Milan - Linate,2.27
Hiroshima,0.0
Lille,0.21
Belgrade,0.93
Managua,0.7
Amsterdam - Schiphol,1.45
