Location,Cat_D
Konya Airport,0.16
Paris Charles De Gaulle,0.22
Hohhot Baita,9.33
Ngurah Rai,0.12
Manchester,0.49
Warsaw,0.26
Incheon,0.24
Dubai,0.16
Marrakech,0.02
Tangier,0.04
DAMMAM,0.67
Izmir Airport,0.06
Chitose,0.0
Komatsu,5.11
Osaka - Kansai,1.7
Changsha Huanghua,9.57
Gabon,0.44
Taipei - Taoyuan,0.25
Lagos,0.18
Samana El Catey,1.39
Casablanca,0.03
Athens,0.16
Santo Domingo Las Americas,0.07
Zakynthos,0.22
Jeju,0.25
Ouarzazate,0.13
RIYADH,0.09
Pisa,0.93
Bogota,0.26
Santorini,0.26
Lyon Saint Exupery,0.38
Istanbul Asia Airport,0.13
Asuncion Silvio Petterossi,2.02
Erbil International Airport,0.22
Oranjestad,0.16
Hurgada,0.07
Shenyang Taoxian,0.0
Ho Chi Minh,0.11
Reus,0.27
Wenzhou Longwan,0.55
Tokyo - Narita,0.04
Gdansk,0.18
Ixtapa Zihuatanejo,1.27
Gaziantep Airport,0.18
Medellin Jose Maria Cordova,2.68
Gran Canaria,0.1
Leopold Sedar Senghar,0.53
Hefei Xinqiao,6.97
Thessaloniki,0.57
Taichung,0.23
Male,0.03
Busan - Kimhae,0.09
Lanzarote,0.14
Wuxi Shuofang,9.09
Hanoi,0.11
Zhengzhou Xinzheng,8.74
Zurich,0.2
Melbourne,1.94
Naples,0.6
Skopje,0.04
Ningbo Lishe,9.6
Doha,0.13
Batumi,0.69
Xian Xianyang,0.49
Sharm El Sheikh,0.48
Bergamo,0.08
Madrid Barajas,0.05
Munich,0.76
Bodrum Airport,0.12
Sofia,0.15
Sao Paulo - Guarulhos,0.0
Chubu,0.13
Viracopos,0.28
Stuttgart,0.5
Port Louis,1.1
Abu Dhabi,0.21
Sendai,0.06
Shanghai Pudong,6.23
Tel-Aviv,0.63
Cancun,0.01
La Romana,0.14
Adana Airport,0.23
Qingdao Liuting,0.0
Port-au-Prince (Haiti),5.33
Amritsar,0.46
Sharjah,0.16
Malaga,0.16
Marsa Aalam,0.03
Urumchi Diwobao,0.2
Almaty,0.2
Punta Cana - Higuey,0.19
Frankfurt,0.52
Ankara Airport,0.26
Jomo Kenyatta,0.4
Oujda,0.03
Phnom Penh,0.05
Rome Fiumicino,0.81
Shanghai Hongqiao,0.21
Trabzon Airport,0.2
Almeria,0.1
Jinan Xiaoqiang,9.88
Mykonos,0.16
Florence,1.0
Kunming Wujiaba,0.86
Puerto Plata,0.08
Bangalore,0.03
Seoul,3.76
Samsun Airport,0.14
Aberdeen,0.01
Astana,2.02
Xiamen Gaoqi,0.04
Cairo,1.05
Moscow - Vnukovo,0.03
Heraklion Airport,0.01
Malmo,0.06
Changchun Longjia,8.88
Al Hoceima,0.06
Milan - Linate,0.67
Lille,0.81
Belgrade,0.16
Managua,0.44
Amsterdam - Schiphol,0.16
Barcelona,0.06
Johannesburg,0.54
Newcastle,0.05
Yantai Penglai,0.09
Lima,0.05
Rabat,0.13
Guangzhou Baiyun,7.57
Monterrey,0.24
Leeds Bradford,0.16
Bergen,0.03
Naha,0.03
Katowice,0.36
Baku,1.65
Paramaribo,0.11
Murcia,0.7
Santiago Cibao,0.07
Treviso,0.16
Hangzhou Xiaoshan,9.49
Montego Bay,0.05
Dalian Zhoushuizi,6.23
Rio de Janeiro,0.26
Gerona,1.11
Shannon,0.0
Chongqing Jiangbei,9.64
Aswan,0.29
Florianopolis,0.0
Piarco,0.05
Fortaleza,0.07
Glasgow,0.07
Salvador,0.04
Bariloche,0.09
Krakow Balice,0.14
Singapore - Changi,3.57
Addis Ababa,1.16
Pointe-a-Pitre,0.59
Porto,1.36
Bujumbura,0.02
Phu Quok,0.0
Marseille,0.2
Brasilia,0.15
Porto Alegre,0.6
Nanning Wuxu,2.92
Bydgoszcz,0.98
Corfu,0.26
Moscow - Domodedovo,2.46
Chania,2.03
Praia,5.51
Recife,0.06
Wuhan Tianhe,9.7
Juba,0.31
Cardiff,0.0
Ostrava,0.19
Denizli Cardak Airport,0.56
Panama Tocumen,0.29
Basel,0.3
Tokyo - Haneda,0.04
Milan - Malpensa,0.15
London Luton,0.32
London Stansted,0.72
Natal,0.19
Rhodes,0.11
Lodz,1.3
Guatemala City,0.14
San Salvador Comalapa,0.0
Durban,0.3
Yerevan,0.06
Tunis,0.15
Alicante,0.16
Ohrid,0.17
Birmingham,1.11
Rosario,4.03
Enfidha,0.06
Johor Bahru,0.09
Palermo,1.11
Cheongju,2.65
Cali,0.08
Copenhagen,0.93
Salzburg,0.53
London City,0.03
Duesseldorf,0.09
Cape Town,0.15
PRISTINA,3.22
Fuerteventura,0.06
Sardar Vallabh Bhai Patel,9.31
Mangalore,0.13
Zia,0.06
Espargos,0.0
Ekaterinburg,1.63
Novosibirsk,0.07
Strasbourg,1.83
Kota Kinabalu,0.47
Nanchang Changbei,4.77
Muscat,1.16
Beirut - Rafik Hariri,0.09
Sanya Fenghuang,0.11
Cochin,0.22
Stavanger,0.01
Santiago De Compostela,0.16
Bourgas,0.5
Bordeaux,0.01
Kutahya Airport,0.28
St. George's Point Saline,0.59
Alexandria,0.22
Fort-de-France,0.1
Haiphong,0.16
Aomori,0.6
Varna,0.34
St. Petersburg Pulkovo,0.55
Krasnoyarsk,0.34
East Midlands,0.26
Sochi,0.09
Nador,0.04
Muan,0.12
Vientiane,5.28
Glasgow Prestwick,0.22
Tirana,0.04
Kaohsiung,0.28
Cologne,0.55
Minsk,9.64
Goa,0.05
Santander,0.05
Palma De Mallorca,0.21
Trichy,2.85
Netaji Subhash Chandra Bose Int. Airport,0.43
Penang,0.62
Everrich Downtown Kinmen,0.15
Roland Garros,0.32
Montpellier,1.27
Stockholm Arlanda,0.38
Tarbes - Lourdes,0.64
Karipur,9.2
Kutaisi,0.16
Luxor,0.34
Sydney,0.03
Rotterdam,0.76
Hamburg,0.41
Min Vody,0.02
Queretaro,0.54
Kos,0.18
Sandefjord-Torp,5.33
Lisbon,0.11
Soekarno Hatta,0.09
Venice,0.06
La Palma,0.06
Torino,0.15
Fuzhou Changle,0.08
Volgograd,0.4
Lusaka,1.27
Sfax,0.06
Taiyuan Wusu,0.55
Makhachkala,0.14
Rabil,5.51
Quito,0.23
Faroe Islands,7.36
Bandaranaike,2.46
Riga,0.12
Norwich,1.5
Togo,0.3
Dortmund,0.48
Ras El Khaymah,0.11
Nantes,0.12
La Paz Manuel Marquez de Leon,0.67
Jerez De La Frontera,0.14
Trondheim,2.78
Lucknow,0.23
Vienna,0.13
Samos,0.3
London Heathrow,0.19
Jersey,0.07
Umea,1.0
Eskisehir Airport,0.31
Buenos Aires - Ezeiza,0.31
Sierra Leone,1.66
Bari,0.24
Edinburgh,0.02
Abuja,0.26
Astrakhan,0.18
Dublin,0.35
Cam Ranh,0.08
Madeira,0.63
Bilbao,0.07
Granada,0.04
Warsaw-Modlin,1.94
Sarajevo,1.3
Okayama,9.2
Tashkent,0.19
Liberia,0.05
Cork,0.08
Lubumbashi,0.07
Kavala,1.63
Munster-Osnabruck,0.63
Brussels,0.23
Entebbe,0.16
Bridgetown,0.34
Guernsey,2.71
Tuzla,0.0
Yangon,1.11
Ioannina,0.28
Paderborn,1.26
Nairobi,0.24
Nanjing Lukou,0.2
Hebei,0.3
Takamatsu,9.31
Quanzhou,0.21
Nykoping,0.41
Orebro,0.67
Zagreb,1.97
Kaunas,0.64
Vigo,1.27
Guiyang Longdongbao,0.11
Iwate,0.01
Bologna,0.17
Kigali,0.08
Auckland,0.06
Brno,1.26
Podgorica,0.16
Shizuoka,0.1
Gothenburg,0.02
Kagoshima,9.19
Gibraltar,9.64
Dubrovnik,0.07
Gaborone,0.1
Montevideo,4.03
Manila - Ninoy Aquino,0.29
Split,0.22
Kalibo,0.11
Cairns,1.63
Adelaide,0.04
Fukushima,7.51
