Location,Cat_A,Green_Count,Red_Count,Total_SKUs,Cat_B,Cat_C,Cat_D,Avg_Score
Konya Airport,6.87,5.0,0.0,81.0,0.34,0.01,0.16,1.845
Paris Charles De Gaulle,6.67,4.0,2.0,69.0,2.5,0.0,0.22,2.3475
Hohhot Baita,6.71,1.0,0.0,82.0,0.21,0.3,9.33,4.1375
Ngurah Rai,6.76,4.0,0.0,140.0,0.93,0.02,0.12,1.9574999999999998
Manchester,6.49,0.0,2.0,76.0,0.01,0.0,0.49,1.7475
Warsaw,6.83,3.0,0.0,62.0,0.2,0.0,0.26,1.8225
Incheon,6.08,0.0,14.0,158.0,0.47,0.0,0.24,1.6975
Dubai,6.57,11.0,9.0,253.0,1.04,0.01,0.16,1.945
Marrakech,6.43,8.0,12.0,223.0,0.92,0.01,0.02,1.8449999999999998
Tangier,6.6,8.0,6.0,196.0,0.26,0.01,0.04,1.7274999999999998
DAMMAM,6.77,3.0,0.0,94.0,0.13,0.02,0.67,1.8974999999999997
Izmir Airport,6.82,17.0,0.0,370.0,0.05,0.0,0.06,1.7325
Chitose,4.94,0.0,7.0,27.0,10.0,0.26,0.0,3.8000000000000003
Komatsu,4.76,0.0,2.0,7.0,10.0,1.94,5.11,5.4525
Osaka - Kansai,6.58,0.0,3.0,235.0,0.76,0.0,1.7,2.26
Jeddah,6.45,3.0,5.0,110.0,0.1,0.01,,2.1866666666666665
Hannover,6.79,2.0,0.0,53.0,10.0,0.0,,5.596666666666667
Changsha Huanghua,6.52,0.0,2.0,92.0,0.3,0.04,9.57,4.1075
Gabon,6.79,2.0,0.0,56.0,3.4,0.03,0.44,2.6649999999999996
Chengdu Tianfu,6.52,0.0,2.0,91.0,0.3,0.53,,2.4499999999999997
Taipei - Taoyuan,5.89,0.0,5.0,43.0,0.02,0.0,0.25,1.5399999999999998
Lagos,6.83,3.0,0.0,60.0,0.35,0.0,0.18,1.8399999999999999
Samana El Catey,6.85,3.0,0.0,56.0,3.77,,1.39,4.003333333333333
Banjul,6.9,2.0,0.0,28.0,7.76,0.02,,4.8933333333333335
Casablanca,6.47,7.0,10.0,226.0,1.0,0.0,0.03,1.875
Athens,6.26,3.0,7.0,90.0,0.11,0.01,0.16,1.635
Santo Domingo Las Americas,6.8,5.0,0.0,122.0,0.25,0.0,0.07,1.78
Istanbul Airport,6.79,10.0,0.0,278.0,10.0,0.0,,5.596666666666667
Mexico City,6.84,8.0,0.0,150.0,0.03,0.0,,2.29
Faro Airport,6.74,1.0,0.0,48.0,0.14,0.0,,2.2933333333333334
Zakynthos,5.44,0.0,11.0,60.0,0.07,0.01,0.22,1.435
Jeju,6.06,0.0,13.0,142.0,0.47,0.1,0.25,1.7199999999999998
