IATA,CLUSTER_IATA,SIMILARITY_SCORE,RANK
AAE,KBP,0.999947406637,1
AAE,QSF,0.999694244149,2
AAE,RVN,0.999337418131,3
AAE,SZZ,0.999093804613,4
AAL,MDT,0.999864618225,1
AAL,GCM,0.999611335523,2
AAL,FNT,0.999116485203,3
AAL,WVB,0.998380982974,4
AAN,TU_009-01,0.999873990538,1
AAN,SDL,0.999723194750,2
AAN,TU_037-03,0.999545878870,3
AAN,LNK,0.999219644572,4
AAQ,SVG,0.999680305009,1
AAQ,GYU,0.999428951459,2
AAQ,PNS,0.998861168213,3
AAQ,DBV,0.997854002089,4
AAR,NSI,0.999834751414,1
AAR,BIS,0.999752560571,2
AAR,GRB,0.999265853075,3
AAR,JKH,0.998442419140,4
AAT,SFQ,0.969989583333,1
AAT,MEA,0.931535984849,2
AAT,NGB,0.904225922375,3
AAT,JUZ,0.895505511294,4
ABE,LIG,0.999385157573,1
ABE,ZIH,0.998557740275,2
ABE,LUN,0.998012911100,3
ABE,BKO,0.997692170507,4
ABI,ZAT,0.995424242424,1
ABI,EDL,0.993303030303,2
ABI,PPS,0.992052678269,3
ABI,HYD,0.988100571904,4
ABJ,FAI,0.999391469523,1
ABJ,TOY,0.999087117095,2
ABJ,PMF,0.999009924375,3
ABJ,PHC,0.998535881821,4
ABQ,OSR,0.999857023203,1
ABQ,PIK,0.999334820166,2
ABQ,RBR,0.998656258360,3
ABQ,SZF,0.997810787570,4
ABS,LGAX,0.998124053030,1
ABS,CTA,0.997799599837,2
ABS,MED,0.991838981302,3
ABS,TPA,0.991475975256,4
ABT,TRN,0.999432483770,1
ABT,SOF,0.998325370860,2
ABT,SYO,0.998211553506,3
ABT,AYQ,0.998161099775,4
ABV,EVN,0.999711569185,1
ABV,LPQ,0.998366902106,2
ABV,NCL,0.997879038946,3
ABV,PEE,0.997850265425,4
ABX,SLL,0.998889224786,1
ABX,VNX,0.998737907867,2
ABX,BHM,0.998695996802,3
ABX,RDZ,0.998525386258,4
ABY,NLT,0.998840909091,1
ABY,WAW,0.998102124775,2
ABY,PTY,0.996396312619,3
ABY,OLB,0.994777335566,4
ABZ,LMT,0.999581628389,1
ABZ,XRY,0.999479923311,2
ABZ,RRS,0.999022916267,3
ABZ,IVC,0.998951270017,4
ACA,IMP,0.998555321918,1
ACA,AVL,0.998535062174,2
ACA,ROS,0.998051397597,3
ACA,ARH,0.997342805862,4
ACC,JNU,0.999143574343,1
ACC,TNR,0.998937548064,2
ACC,NBC,0.998176166597,3
ACC,BCM,0.997781677416,4
ACE,LZY,0.996517706107,1
ACE,FLO,0.989900322497,2
ACE,KIX,0.985088013670,3
ACE,IQQ,0.977662618019,4
ACH,GNB,0.999923842409,1
ACH,BOO,0.999891234833,2
ACH,VLI,0.998381834182,3
ACH,MBA,0.996941056735,4
ACI,TOF,0.999304440076,1
ACI,VGO,0.998454308073,2
ACI,MPL,0.998108999382,3
ACI,TUS,0.996215716739,4
ACK,ASE,0.999984595428,1
ACK,NKC,0.999690526873,2
ACK,EFL,0.999413706859,3
ACK,MRA,0.999241630445,4
ACX,DEL,0.996375217002,1
ACX,NKM,0.981919117539,2
ACX,JUJ,0.979374214465,3
ACX,DEN,0.975518521371,4
ACY,OKJ,0.999339497646,1
ACY,KIS,0.999271324183,2
ACY,CCJ,0.998994588111,3
ACY,RGL,0.997589069759,4
ADA,ADL,0.999859645360,1
ADA,CFU,0.999095586769,2
ADA,HTI,0.995579440257,3
ADA,SVX,0.994707116831,4
ADB,PHE,0.999659189398,1
ADB,KJI,0.999275745044,2
ADB,DAC,0.995135543199,3
ADB,HEK,0.993046578378,4
ADD,MCT,0.998406840024,1
ADD,MII,0.998403972034,2
ADD,LST,0.998401336638,3
ADD,WJU,0.997872543117,4
ADE,CGH,0.915403090117,1
ADE,KWE,0.875470441293,2
ADE,SZX,0.813372164194,3
ADE,SYX,0.435558497978,4
ADF,KRL,0.996278606582,1
ADF,MTJ,0.995500000000,2
ADF,DFW,0.987138901736,3
ADF,KCM,0.979975378788,4
ADL,ADA,0.999859645360,1
ADL,CFU,0.999235941409,2
ADL,HTI,0.995719794897,3
ADL,SVX,0.994847471471,4
ADQ,DLU,0.998152982972,1
ADQ,LBJ,0.990758462515,2
ADQ,BEJ,0.989663526084,3
ADQ,FRO,0.987530303031,4
ADZ,MIU,0.997508232456,1
ADZ,JFK,0.992631103770,2
ADZ,FTE,0.992357565006,3
ADZ,NRT,0.988390585000,4
AEB,GYN,0.997640864253,1
AEB,BHX,0.996858634333,2
AEB,LAP,0.996783115560,3
AEB,KHI,0.996409998981,4
AEP,NST,0.976812751279,1
AEP,TSA,0.955796748472,2
AEP,HSN,0.951149160600,3
AEP,BIR,0.923071020004,4
AER,PNQ,0.997756692338,1
AER,RUH,0.978063521607,2
AER,FUO,0.973200721694,3
AER,KDI,0.972896762715,4
AES,TU_022-04,0.998860776948,1
AES,COO,0.998858532140,2
AES,PNR,0.998639063275,3
AES,NRK,0.998590203959,4
AEX,YFC,0.999586839676,1
AEX,BRN,0.999378808625,2
AEX,TU_048-01,0.998842755141,3
AEX,CWA,0.998091023623,4
AFA,AMM,0.999376711381,1
AFA,BJZ,0.999073863637,2
AFA,MYR,0.998080832936,3
AFA,BHI,0.997216508108,4
AGA,KZN,0.999137669822,1
AGA,BAQ,0.998707115804,2
AGA,JIC,0.997129398668,3
AGA,LCX,0.997103555877,4
AGH,SCN,0.999947868341,1
AGH,CID,0.999556420157,2
AGH,MTT,0.999498105622,3
AGH,RMI,0.999152129040,4
AGP,ZAL,0.999464862474,1
AGP,AMS,0.999181227687,2
AGP,FLG,0.997826604898,3
AGP,MYY,0.996486546251,4
AGS,OUA,0.999521623844,1
AGS,WDH,0.999173087174,2
AGS,SFT,0.999013523904,3
AGS,STX,0.997929152358,4
AGT,MWZ,0.999796466447,1
AGT,PEW,0.998764103853,2
AGT,PBH,0.997156344227,3
AGT,REN,0.996959075193,4
AGU,RAR,0.999464255503,1
AGU,DKA,0.999034076121,2
AGU,BHE,0.998999572742,3
AGU,TGM,0.998296212211,4
AHB,DQA,0.996341567322,1
AHB,TXN,0.996299854282,2
AHB,AZA,0.992747097891,3
AHB,ZHY,0.990915803736,4
AHJ,TU_055-04,0.999928502366,1
AHJ,TU_031-06,0.999630502991,2
AHJ,TU_010-07,0.999487796443,3
AHJ,TU_037-01,0.999457511298,4
AHO,CHC,0.999480467853,1
AHO,SFL,0.997898434305,2
AHO,UBN,0.997667712388,3
AHO,IXM,0.997259663399,4
AHU,MLE,0.999760647780,1
AHU,MLX,0.999690311849,2
AHU,BDL,0.999171181349,3
AHU,LCY,0.999141224090,4
AJA,RES,0.998352737019,1
AJA,FEZ,0.997985228509,2
AJA,DGO,0.996372069830,3
AJA,VSA,0.995951943668,4
AJF,WUZ,0.998900239366,1
AJF,VNO,0.998720399842,2
AJF,VOG,0.997979309285,3
AJF,GAY,0.996680653153,4
AJI,PVG,0.994559775000,1
AJI,ITM,0.984601867907,2
AJI,DLC,0.977120266221,3
AJI,RFP,0.966554924242,4
AJU,SUX,0.999775991166,1
AJU,JDO,0.998907533655,2
AJU,MAO,0.996395430660,3
AJU,LAO,0.994880288858,4
AKA,TU_047-02,0.999915025252,1
AKA,TU_036-02,0.999878390386,2
AKA,IQM,0.999695075758,3
AKA,TU_048-12,0.999677682535,4
AKJ,HAD,0.994407067570,1
AKJ,ZCO,0.989399818543,2
AKJ,GYS,0.988314523339,3
AKJ,IAH,0.986188957695,4
AKL,MXP,0.998751228506,1
AKL,KJA,0.998438905109,2
